Date,Curve,Uniswap,PancakeSwap,SushiSwap ,Balancer,Bancor ,Ellipsis Finance ($),QuickSwap,Trader_Joe,Osmosis ($),Biswap ($),SpookySwap,Orca ($),xExchange ($),Thorchain ($),Katana ($),DODO,ApeSwap
11/3/2021,19001470047,14280673424,5748126298,6792835897,2386143927,1747072989,623216651.5,756779800,1325737342,587479028,647099221.6,674722804.2,1205125189,,304486324.1,61130.52,314332529.3,378099348.5
11/4/2021,18946618101,13686885804,5769510224,6683570348,2339770468,1709506927,626532279.4,748859742.8,1353963180,617418589,644689690.2,694874925.9,1283056189,,402827123.2,148331088.3,296545429.1,366463056.4
11/5/2021,18819577897,13448658461,5964064225,6563083482,2116781310,1726957074,636529042.9,745833887.3,1311903985,629868002.9,581039853.9,683335259.1,1296728936,,355718904.7,785636512.8,301074193.1,374578944.8
11/6/2021,18996816814,14017994575,6065618163,6579709533,2122788560,1716895817,624711856.2,732858108.2,1341909605,619470604,573239414.4,710445531.5,1293793649,,356391890.1,1083861538,302636975.6,376072443.7
11/7/2021,19288663426,14247072728,6124182978,6730008453,2157397604,1764879093,627214831.8,739145569.8,1426893401,620161669,564517530.5,743849845.8,1360015205,,363104225.6,1196743324,302341897.9,378430364.3
11/8/2021,20020021646,14568730367,6181488084,6896100020,2198094428,1825653137,636784600.1,758085366.5,1481107930,657699858.8,580136943.1,793847164.7,1369962128,,372466117.9,1186398245,307769571,384194789.6
11/9/2021,19875330073,14884742032,5846931964,6853057629,2165173100,1834836052,633846927.7,742894707.2,1436258346,702865075,582372371.6,748555652.1,1407563280,,382306736.9,1209036326,308255789.3,381159727
11/10/2021,19865585746,14532974647,5673594180,6508236912,2117227777,1805395123,633190540.5,721744883.4,1396712071,677660336,564277500.1,673833454.5,1369978373,,368281579,1206925641,307375680.3,367918161.4
11/11/2021,19954673315,14986370682,5813246335,6000226957,2223391690,1844096894,634614991.5,733227801,1424277074,617746694,575629176.1,681054955.4,1355812422,,355441208.3,1273169513,305223299.8,375759654.2
11/12/2021,19787695960,15223297116,5797977916,5926277377,2170885536,1818104779,640227731.5,729286863.8,1389651892,647512144.3,574137478,689000498.5,1363280705,,367939571.3,1323094605,308829898.9,371185098
11/13/2021,19859990954,15002395137,5954631436,5915551720,2142748057,1806152598,630011120.7,730540879.2,1511747596,640458686,591577399.8,698755478.1,1328063581,,353616291.6,1367191441,316616780.4,376829766.3
11/14/2021,20386037633,14484758819,5995425007,5905875571,2248353888,1802852158,630717278.3,723923542.3,1497479136,653054314,591637457.2,691123867.5,1354520727,,353616291.6,1338561342,309473423.4,375854837.5
11/15/2021,20307860761,14238705706,5868513469,5817831775,2228405559,1748522495,636336513.5,711845520,1499419944,672192778,547491287.6,664161708.7,1356191247,,353616291.6,1352003286,314326727.2,367887798.9
11/16/2021,19722613302,13465742467,5624438504,5394700688,2138227520,1604510291,621426143.8,667011643.5,1563589611,619096126.9,550703067.9,600681603.9,1355204241,,353616291.6,1237044237,301142241.2,350502818.2
11/17/2021,19585065644,14089941109,5670290023,5453798870,2123412166,1643149778,616826298.1,679095325.3,1692030453,576700054,578662915.2,599235375.4,1294629741,,353616291.6,1261711238,271682008.1,352618776.4
