Date,PancakeSwap (#),Uniswap (#),QuickSwap (#),SushiSwap (#),SpookySwap (#),Trader Joe (#),DODO (#),ApeSwap (#),Pangolin (#),Balancer (#),Biswap (#),Camelot (#),KyberSwap (#),SyncSwap (#),Beethoven X (#),Velodrome (#),Zyberswap (#),Equalizer Exchange (#),Aerodrome (#),Ramses Exchange (#)
2020-05-05,,3.00,,,,,,,,,,,,,,,,,,
2020-05-06,,4.00,,,,,,,,,,,,,,,,,,
2020-05-07,,4.00,,,,,,,,,,,,,,,,,,
2020-05-08,,4.00,,,,,,,,,,,,,,,,,,
2020-05-09,,4.00,,,,,,,,,,,,,,,,,,
2020-05-10,,4.00,,,,,,,,,,,,,,,,,,
2020-05-11,,5.00,,,,,,,,,,,,,,,,,,
2020-05-12,,5.00,,,,,,,,,,,,,,,,,,
2020-05-13,,6.00,,,,,,,,,,,,,,,,,,
2020-05-14,,9.00,,,,,,,,,,,,,,,,,,
2020-05-15,,9.00,,,,,,,,,,,,,,,,,,
2020-05-16,,9.00,,,,,,,,,,,,,,,,,,
2020-05-17,,9.00,,,,,,,,,,,,,,,,,,
2020-05-18,,95.00,,,,,,,,,,,,,,,,,,
2020-05-19,,164.00,,,,,,,,,,,,,,,,,,
2020-05-20,,202.00,,,,,,,,,,,,,,,,,,
2020-05-21,,218.00,,,,,,,,,,,,,,,,,,
2020-05-22,,237.00,,,,,,,,,,,,,,,,,,
2020-05-23,,252.00,,,,,,,,,,,,,,,,,,
2020-05-24,,262.00,,,,,,,,,,,,,,,,,,
2020-05-25,,277.00,,,,,,,,,,,,,,,,,,
2020-05-26,,295.00,,,,,,,,,,,,,,,,,,
2020-05-27,,306.00,,,,,,,,,,,,,,,,,,
2020-05-28,,312.00,,,,,,,,,,,,,,,,,,
2020-05-29,,322.00,,,,,,,,,,,,,,,,,,
2020-05-30,,327.00,,,,,,,,,,,,,,,,,,
2020-05-31,,335.00,,,,,,,,,,,,,,,,,,
2020-06-01,,349.00,,,,,,,,,,,,,,,,,,
2020-06-02,,362.00,,,,,,,,,,,,,,,,,,
2020-06-03,,380.00,,,,,,,,,,,,,,,,,,
2020-06-04,,415.00,,,,,,,,,,,,,,,,,,
2020-06-05,,438.00,,,,,,,,,,,,,,,,,,
2020-06-06,,473.00,,,,,,,,,,,,,,,,,,
2020-06-07,,496.00,,,,,,,,,,,,,,,,,,
2020-06-08,,536.00,,,,,,,,,,,,,,,,,,
2020-06-09,,596.00,,,,,,,,,,,,,,,,,,
2020-06-10,,657.00,,,,,,,,,,,,,,,,,,
2020-06-11,,689.00,,,,,,,,,,,,,,,,,,
2020-06-12,,742.00,,,,,,,,,,,,,,,,,,
2020-06-13,,783.00,,,,,,,,,,,,,,,,,,
2020-06-14,,831.00,,,,,,,,,,,,,,,,,,
2020-06-15,,862.00,,,,,,,,,,,,,,,,,,
2020-06-16,,925.00,,,,,,,,,,,,,,,,,,
2020-06-17,,975.00,,,,,,,,,,,,,,,,,,
2020-06-18,,1025.00,,,,,,,,,,,,,,,,,,
2020-06-19,,1067.00,,,,,,,,,,,,,,,,,,
2020-06-20,,1101.00,,,,,,,,,,,,,,,,,,
2020-06-21,,1134.00,,,,,,,,,,,,,,,,,,
2020-06-22,,1153.00,,,,,,,,,,,,,,,,,,
2020-06-23,,1177.00,,,,,,,,,,,,,,,,,,
2020-06-24,,1193.00,,,,,,,,,,,,,,,,,,
2020-06-25,,1220.00,,,,,,,,,,,,,,,,,,
2020-06-26,,1240.00,,,,,,,,,,,,,,,,,,
2020-06-27,,1260.00,,,,,,,,,,,,,,,,,,
2020-06-28,,1284.00,,,,,,,,,,,,,,,,,,
2020-06-29,,1310.00,,,,,,,,,,,,,,,,,,
2020-06-30,,1334.00,,,,,,,,,,,,,,,,,,
2020-07-01,,1362.00,,,,,,,,,,,,,,,,,,
2020-07-02,,1389.00,,,,,,,,,,,,,,,,,,
2020-07-03,,1423.00,,,,,,,,,,,,,,,,,,
2020-07-04,,1503.00,,,,,,,,,,,,,,,,,,
2020-07-05,,1613.00,,,,,,,,,,,,,,,,,,
2020-07-06,,1690.00,,,,,,,,,,,,,,,,,,
2020-07-07,,1749.00,,,,,,,,,,,,,,,,,,
2020-07-08,,1807.00,,,,,,,,,,,,,,,,,,
2020-07-09,,1851.00,,,,,,,,,,,,,,,,,,
2020-07-10,,1894.00,,,,,,,,,,,,,,,,,,
2020-07-11,,1949.00,,,,,,,,,,,,,,,,,,
2020-07-12,,2000.00,,,,,,,,,,,,,,,,,,
2020-07-13,,2049.00,,,,,,,,,,,,,,,,,,
2020-07-14,,2081.00,,,,,,,,,,,,,,,,,,
2020-07-15,,2117.00,,,,,,,,,,,,,,,,,,
2020-07-16,,2146.00,,,,,,,,,,,,,,,,,,
2020-07-17,,2178.00,,,,,,,,,,,,,,,,,,
2020-07-18,,2197.00,,,,,,,,,,,,,,,,,,
