Date,Uniswap ($),1inch ($),Curve ($),SushiSwap ($),0x ($),DODO ($),Trader Joe ($),PancakeSwap ($),Balancer ($),QuickSwap ($),ParaSwap ($),CoW Protocol ($),KyberSwap ($),Osmosis ($),Maverick Protocol ($),Camelot ($),Thena ($),Uniswap Labs ($),Ramses Exchange ($),Lighter ($)
11/3/2021,2515076969,1059524030,194302277.3,729696116.5,340242376.7,127366972.9,314058660.5,0,166664597.9,177925369.9,125526586.3,22013228.94,26269411.19,37173877,0,0,0,0,0,0
11/4/2021,2317456340,939321639.7,341412277.6,635884183.2,290505444.8,102745194.1,374341552.9,0,139300263.8,113085709.7,93005717.44,31844570.47,25139363.27,40759750,0,0,0,0,0,0
11/5/2021,1944662013,976760658.7,416265266.7,595308060.3,268493251.2,109875025.1,251286892.3,0,121007973.7,87476996.4,81469811.75,33246434.69,20774660.32,40466881,0,0,0,0,0,0
11/6/2021,1765117044,677357678.2,172197639.6,531693972.7,260220095.7,97742508.54,251771616.7,0,65567467.36,71999454.68,101453047.2,33767787.78,29154831.06,33101498,0,0,0,0,0,0
11/7/2021,1669871074,739525720.9,110349489.8,454227413.7,273095142.7,119330706.1,328221524.4,0,71133811.78,68343109.55,113616250.1,47711681.04,46207598.35,63788605,0,0,0,0,0,0
11/8/2021,2376744737,1092908257,352128440.3,540790994.6,323034988.9,117846063,732579387,0,114936014,114075751.5,149630611.6,31438049.91,80170534.99,54008957,0,0,0,0,0,0
11/9/2021,2386372674,979812197.2,288099808,565470477.3,330992760.3,111689328.6,422164182.9,0,79777129.65,74796500.7,131839471.3,39199779.44,39968143.1,46078422,0,0,0,0,0,0
11/10/2021,3968406641,1190012922,584185736.5,793383741.1,622884300.5,132057278.8,498433508.7,0,125235708.4,122773675.2,170727246,44218541.68,48854556.49,34279641,0,0,0,0,0,0
11/11/2021,2842221730,803818081.3,248883904.7,648493894.4,378293530.8,130419647.8,355122857.7,0,88769752.53,80787908.8,186993120.5,29304510.39,46636107.5,30126068,0,0,0,0,0,0
11/12/2021,2958151360,616037996.9,328646210.4,584286092.4,313148962.3,135644019.7,361607648.3,0,87996731,84890301.38,145391759.4,34110351.47,28569436.5,36337336,0,0,0,0,0,0
11/13/2021,1811114890,457332864.8,229806410.8,463039584.6,223999729.8,88791779.94,396326744.8,0,53579717.95,53466454.42,106814646.7,22259814.17,27553375.97,29818735,0,0,0,0,0,0
11/14/2021,1960469364,410894957.1,175278169,330262482.3,228001958.2,115528636.6,371135052.2,0,43602812.43,56809373.58,124058194.9,27623727.02,26821338.6,28766349,0,0,0,0,0,0
11/15/2021,2283614244,579728233.7,219633268.9,482663031.7,270932696.7,129769248.9,450136091.7,0,74021462.71,68246305.06,166586716.9,43299209.65,30856117.45,36723282,0,0,0,0,0,0
11/16/2021,3805946353,905525289.6,581744389.7,779593241.6,546837710.2,213725824,673002997.3,0,175017821.5,134279204.6,155831228.7,56060051.15,38496256.81,27267391,0,0,0,0,0,0
11/17/2021,2979750846,781771721.1,433300064.3,569214257.4,456448192.6,164674700.6,741703895.3,0,104042038.4,89586972.77,118104757.6,69158156.2,51914543.27,39729107,0,0,0,0,0,0
11/18/2021,3528792546,971402480.2,406750664,645628941.6,527296845.9,215488429.1,829360049,0,118894899.3,106711217,146049132,56637558.31,50248356.18,58149397,0,0,0,0,0,0
11/19/2021,2681946602,769435440,372766356.7,475845920.9,446281483.2,130995120,490401536,0,90877817.19,88999863.68,93895751.82,63079402.8,23282534.37,26098204,0,0,0,0,0,0
11/20/2021,2061670586,601508186.3,194018273.4,385065513.6,325079162.7,135618322.6,687758859.4,0,81238132.27,84032745.77,103621978.2,33404307.99,27425538.16,22140741,0,0,0,0,0,0
11/21/2021,2128907499,482946897.7,258704868.8,413867477.1,295051020.7,92024975.15,847101674.1,0,69217775.54,71198338.59,100603214.5,35551300.75,34598566.87,31885158,0,0,0,0,0,0
11/22/2021,3164332971,706144994.4,582869743.3,618705405,380075897.5,136422600.4,886028079.1,0,98196912.71,101397513.7,107714998.8,46317516.63,31975458.94,50091201,0,0,0,0,0,0
11/23/2021,2996812309,634840786.2,322894576.4,786200295,389801780.5,134600870.3,709404847.3,0,112460194.4,104240239.6,127815885.9,49064193.02,26785584.68,46103369,0,0,0,0,0,0
11/24/2021,3092008986,679897774.3,415014216.8,962544939.7,383926164.5,128106802.2,743939154.2,0,91648371.34,103690720.7,125371160.8,35668496.15,16105624.07,37484256,0,0,0,0,0,0
11/25/2021,2908092673,917630404.1,283052385.5,641477663,441680427.1,171946378.9,701208196.7,0,113984085.7,121581096.2,126378723.1,37659877.81,24983469.06,31532854,0,0,0,0,0,0
11/26/2021,4483447403,935564037,462437184.8,757574723.1,581562840.9,170279481.6,909970451.9,0,145361693,162569586.3,126477237.9,30297454.11,25117384.94,42245560,0,0,0,0,0,0
11/27/2021,2273457794,552496680.3,223101216.1,415990799.5,334616631.6,94455021.23,487415502.2,0,53668360.68,77864592.16,76376585.65,40056230.92,16688737.08,28300265,0,0,0,0,0,0
11/28/2021,2716004493,663527902.6,368933820.7,478007538.9,385679715.7,147200642.8,556363770.6,0,73981790.22,93495132.17,86725035.35,50453043.55,12697754.59,38907084,0,0,0,0,0,0
11/29/2021,2582343029,607203287.4,186051681.9,480924863.3,352175364.6,134455307.4,461229057.5,0,67374490.47,92112800.18,95642564.58,30631230.92,17650466.64,29798897,0,0,0,0,0,0
11/30/2021,4113911156,792588932.5,634384536.4,585117237.2,433683357.5,145686601.2,582470317.2,0,98915661.51,165228846.5,93280328.46,41210344.44,16903268.7,42790661,0,0,0,0,0,0
12/1/2021,3045916935,777276968.7,604834094.8,447372564.9,364335314.7,152328028,450926127.9,0,162016996,126010049.4,105577873.6,51786918.08,13853183.18,41073753,0,0,0,0,0,0
12/2/2021,3231536054,710566151,642804516.1,516681503.2,519075215.2,165981304.6,472729489.7,0,143315594.7,156505046.1,105815396.7,32714373.37,11735477.68,61134211,0,0,0,0,0,0
12/3/2021,3735527305,635883872.9,586930367.2,538008918.2,478768098.7,137067746.3,652236657.7,0,163090162.3,198892507.9,136217932.9,27624746.66,14907246.15,67452191,0,0,0,0,0,0
12/4/2021,5781031262,1724103515,1006225637,989000763.6,793038155.4,234143687.6,864669803.4,0,300685814.8,297422401.2,133901521,43512570.28,26427064.05,85127814,0,0,0,0,0,0
12/5/2021,3503030987,616292157.7,629983498.6,419325891.2,396746307.3,121003582.9,576476956.8,0,104744271.1,125689237.2,121981091.1,45700452.34,13560903.88,54319248,0,0,0,0,0,0
12/6/2021,4679908499,893580698.8,659139500.7,657995344.9,566540567.7,183076390.2,719895782.1,0,127468327.6,165999100.4,167516229.4,90850762.46,23776209.66,54570149,0,0,0,0,0,0
12/7/2021,2552152715,712685644.9,346868206,418295973.7,389639271.6,118834285.7,509838039.8,0,90548694.69,149189623.5,102740118.1,56785761.92,15629804.91,40963636,0,0,0,0,0,0
12/8/2021,2641322582,572201928.8,412804639.8,460344656.9,294543069,116770029.7,452265964,0,74615134.78,130159925.6,76063062.38,42467024.64,16726412.31,56865008,0,0,0,0,0,0
12/9/2021,3489057362,635612898.7,737294753.2,469198825.6,452552800.9,108336610.6,608156482.3,0,90106027.9,127449674.3,101999625.8,42764091.15,18645952.93,36207421,0,0,0,0,0,0
12/10/2021,3889901522,733438047.9,596136787.8,449516637.4,492095595.1,146942349.3,476957093.2,0,108307374.5,119502888.7,119658650.5,42477532.33,11544531.14,38394896,0,0,0,0,0,0
12/11/2021,2643410258,416286999.7,474295075.8,257503533.7,253326946.4,84185838.19,336934268,0,76962507.59,86863808.45,56256449.33,26299402.59,10116062.08,41652053,0,0,0,0,0,0
12/12/2021,1757104186,480150773.4,202976051,240015277.9,213773659.7,61928061.32,294188203.7,0,43692685.13,66194755.34,50453469.62,29025489.99,7762421.49,30191829,0,0,0,0,0,0
12/13/2021,3025943701,649126497.1,436010844.5,380931336.1,503278155.6,95861905.42,533273113.8,0,103964131.8,141345208.5,113492114.7,47076065.45,15394836.14,33271286,0,0,0,0,0,0
12/14/2021,2505700864,579702551.6,506028207,360522525.2,378229146.3,100848144.4,650068475.7,0,101960130.6,106619191.5,91290417.84,40435311.64,13288710.92,26693435,0,0,0,0,0,0
12/15/2021,3815052228,623289750.1,362995379.9,396384247.1,404805326.5,132644477.2,634602843.6,0,115197356.7,129849374.5,111867543.9,38797777.46,16212200.53,28466667,0,0,0,0,0,0
12/16/2021,2318188412,491193395.4,231483153.2,261739190.7,365950144.1,94716550.97,543022507.2,0,85938122.04,83340023.62,77692357.76,44941188.12,10637661.15,23252587,0,0,0,0,0,0
12/17/2021,3066519038,584100310.7,437580516.6,400645642.6,400800839.8,143653962,628901317.5,0,110468984.1,93218290.56,103202465.8,39632808.66,10220142.6,34688556,0,0,0,0,0,0
12/18/2021,2245415644,454862024,613909278.7,415875011.8,298424994.6,110133007.7,434881526.9,0,87103597.25,70605506.75,83760819.15,25763177.8,13050151.73,26766544,0,0,0,0,0,0
12/19/2021,2047943682,354095999.6,421067207.2,316173784.5,219658999.8,101176413.4,391128811.5,0,79994988.84,138661767.3,72696701.1,20672662.19,9590948.06,35745258,0,0,0,0,0,0
12/20/2021,2565483256,491932470.7,566212273.4,367539441.4,352488381.3,110702344.9,557381974,0,78617412.69,72876816.31,90123989.3,25317033.98,10278710.48,42812239,0,0,0,0,0,0
12/21/2021,2051849963,469180663.9,929086000.7,362959206.5,312401962.8,106121862.5,618928498.9,0,58040641.2,71564377.06,78764623.13,35230356.74,8882467.47,38695309,0,0,0,0,0,0
12/22/2021,1747297406,502234002.2,471178936.3,379991743.8,304631296.2,104093138.8,459252217.8,0,58198189.83,101273547.3,70485659.89,51976554.85,8004660.64,65604817,0,0,0,0,0,0
12/23/2021,2226367298,636040375,442168503.3,529207654.6,364381156.2,146345115.1,463931766,0,91867631.31,109239622.8,97200099.23,42972360.88,6850843.81,68107684,0,0,0,0,0,0
12/24/2021,1737039513,545605987.2,404557636.9,390530291.8,289999305.5,99328068.72,359979213.9,0,60973910.97,93769817.78,82502257.98,32391644.37,6356990.22,52034290,0,0,0,0,0,0
12/25/2021,1779681801,429805531.9,291731523.1,258600381.9,213361275.4,78347880.34,215338990.9,0,50028030.76,52794595.03,47290615.27,14459308.47,5891663.51,36419326,0,0,0,0,0,0
12/26/2021,1563035524,397294465,213176895.9,250363456,222464860.3,97875441.7,270425409.9,0,57638416.48,77275433.89,60171525.82,32968017.54,6511462.12,50382019,0,0,0,0,0,0
12/27/2021,1543403941,461062869.3,348069825.1,404565139.4,248280653,77303270.72,361169195.6,0,51170369.26,66141736.77,64753003.59,27610993.91,6411741.55,62494880,0,0,0,0,0,0
12/28/2021,2606623346,549562969,244555433,440545822.3,385036997.1,141231866.6,481449237.4,0,90395763.76,147411766,89243156.65,45740078.27,11193534.09,49672562,0,0,0,0,0,0
12/29/2021,1810522864,597474608.7,321435591.6,373779503.6,419198862.1,162071733.7,312746441.7,0,94484597.52,118890013.2,83429068.82,51267692.47,7233200.1,48951504,0,0,0,0,0,0
12/30/2021,1728862003,487598493.4,415552091.3,351465082.5,342385576.8,133336094.8,336091421.3,0,82460727.17,79132022.54,118546296.4,53036302.72,7938275.65,52026868,0,0,0,0,0,0
12/31/2021,1836748397,556320339.8,366984645.3,414438686.8,356840684.2,127113988.7,311694119.2,0,120120644,75580920.92,105543073.6,42191916.9,9770189.22,63723865,0,0,0,0,0,0
