Date,Arbitrum ($),OP Mainnet ($),Starknet ($),zkSync Era ($),Base ($),Manta Pacific ($),Blast ($)
2021-05-30,11.90,,,,,,
2021-05-31,19.75,,,,,,
2021-06-01,20.01,,,,,,
2021-06-02,19.16,,,,,,
2021-06-03,4.58,,,,,,
2021-06-04,2.74,,,,,,
2021-06-05,1.24,,,,,,
2021-06-06,0.38,,,,,,
2021-06-07,9.30,,,,,,
2021-06-08,3.10,,,,,,
2021-06-09,5.28,,,,,,
2021-06-10,2.57,,,,,,
2021-06-11,0.45,,,,,,
2021-06-12,0.31,,,,,,
2021-06-13,0.31,,,,,,
2021-06-14,0.32,,,,,,
2021-06-15,1.21,,,,,,
2021-06-16,0.35,,,,,,
2021-06-17,0.33,,,,,,
2021-06-18,0.54,,,,,,
2021-06-19,0.29,,,,,,
2021-06-20,0.29,,,,,,
2021-06-21,0.29,,,,,,
2021-06-22,0.46,,,,,,
2021-06-23,0.54,,,,,,
2021-06-24,0.43,,,,,,
2021-06-25,0.32,,,,,,
2021-06-26,0.31,,,,,,
2021-06-27,0.27,,,,,,
2021-06-28,0.32,,,,,,
2021-06-29,0.34,,,,,,
2021-06-30,0.29,,,,,,
2021-07-01,0.35,,,,,,
2021-07-02,0.31,,,,,,
2021-07-03,0.29,,,,,,
2021-07-04,0.30,,,,,,
2021-07-05,0.29,,,,,,
2021-07-06,0.39,,,,,,
2021-07-07,1.18,,,,,,
2021-07-08,0.99,,,,,,
2021-07-09,0.75,,,,,,
2021-07-10,0.59,,,,,,
2021-07-11,0.52,,,,,,
2021-07-12,0.63,,,,,,
2021-07-13,0.64,,,,,,
2021-07-14,0.59,,,,,,
2021-07-15,0.52,,,,,,
2021-07-16,0.47,,,,,,
2021-07-17,0.47,,,,,,
2021-07-18,0.47,,,,,,
2021-07-19,0.52,,,,,,
2021-07-20,0.55,,,,,,
2021-07-21,0.42,,,,,,
2021-07-22,0.56,,,,,,
2021-07-23,0.40,,,,,,
2021-07-24,0.42,,,,,,
2021-07-25,0.38,,,,,,
2021-07-26,0.41,,,,,,
2021-07-27,0.40,,,,,,
2021-07-28,0.41,,,,,,
2021-07-29,0.41,,,,,,
2021-07-30,0.45,,,,,,
2021-07-31,0.61,,,,,,
2021-08-01,0.67,,,,,,
2021-08-02,0.78,,,,,,
2021-08-03,0.83,,,,,,
2021-08-04,0.93,,,,,,
2021-08-05,0.98,,,,,,
2021-08-06,1.25,,,,,,
2021-08-07,2.09,,,,,,
2021-08-08,1.98,,,,,,
2021-08-09,1.88,,,,,,
2021-08-10,1.97,,,,,,
2021-08-11,1.90,,,,,,
2021-08-12,4.10,,,,,,
2021-08-13,3.33,,,,,,
2021-08-14,7.28,,,,,,
2021-08-15,2.15,,,,,,
2021-08-16,5.93,,,,,,
2021-08-17,9.34,,,,,,
2021-08-18,2.58,,,,,,
2021-08-19,4.65,,,,,,
2021-08-20,2.85,,,,,,
2021-08-21,2.68,,,,,,
2021-08-22,1.49,,,,,,
2021-08-23,5.56,,,,,,
2021-08-24,5.84,,,,,,
2021-08-25,6.49,,,,,,
2021-08-26,5.15,,,,,,
2021-08-27,6.99,,,,,,
2021-08-28,3.64,,,,,,
2021-08-29,17.32,,,,,,
2021-08-30,16.84,,,,,,
2021-08-31,6.67,,,,,,
2021-09-01,5.48,,,,,,
2021-09-02,4.86,,,,,,
2021-09-03,4.98,,,,,,
2021-09-04,4.78,,,,,,
2021-09-05,4.40,,,,,,
2021-09-06,4.86,,,,,,
2021-09-07,4.56,,,,,,
2021-09-08,5.02,,,,,,
2021-09-09,4.64,,,,,,
2021-09-10,3.75,,,,,,
2021-09-11,2.59,,,,,,
2021-09-12,2.35,,,,,,
2021-09-13,2.19,,,,,,
2021-09-14,2.57,,,,,,
2021-09-15,2.31,,,,,,
2021-09-16,2.35,,,,,,
2021-09-17,2.35,,,,,,
2021-09-18,2.19,,,,,,
2021-09-19,1.76,,,,,,
2021-09-20,1.88,,,,,,
2021-09-21,2.29,,,,,,
2021-09-22,2.64,,,,,,
2021-09-23,2.53,,,,,,
2021-09-24,2.29,,,,,,
2021-09-25,2.00,,,,,,
2021-09-26,1.90,,,,,,
2021-09-27,2.08,,,,,,
2021-09-28,2.27,,,,,,
2021-09-29,2.33,,,,,,
2021-09-30,2.60,,,,,,
2021-10-01,3.28,,,,,,
2021-10-02,2.71,,,,,,
2021-10-03,2.36,,,,,,
2021-10-04,2.83,,,,,,
2021-10-05,3.40,,,,,,
2021-10-06,4.08,,,,,,
2021-10-07,4.76,,,,,,
2021-10-08,4.80,,,,,,
2021-10-09,3.61,,,,,,
2021-10-10,3.11,,,,,,
2021-10-11,3.52,,,,,,
2021-10-12,3.50,,,,,,
2021-10-13,3.49,,,,,,
2021-10-14,4.18,,,,,,
2021-10-15,5.13,,,,,,
2021-10-16,4.08,,,,,,
2021-10-17,3.46,,,,,,
2021-10-18,3.27,,,,,,
2021-10-19,3.07,,,,,,
2021-10-20,3.40,,,,,,
2021-10-21,3.69,,,,,,
2021-10-22,3.38,,,,,,
2021-10-23,3.38,,,,,,
2021-10-24,2.71,,,,,,
2021-10-25,3.41,,,,,,
2021-10-26,5.84,,,,,,
2021-10-27,5.25,,,,,,
2021-10-28,6.91,,,,,,
2021-10-29,7.90,,,,,,
2021-10-30,7.72,,,,,,
