Date,Arbitrum,Starknet,zkSync Era,Manta Pacific,OP Mainnet,Base,Blast
2021-05-28,1622243344000.00,,,,,,
2021-05-29,1755145.83,,,,,,
2021-05-30,3154000.00,,,,,,
2021-05-31,1217629.63,,,,,,
2021-06-01,1762142.86,,,,,,
2021-06-02,478657.30,,,,,,
2021-06-03,720583.33,,,,,,
2021-06-04,765510.00,,,,,,
2021-06-05,3908760.00,,,,,,
2021-06-06,1490672.41,,,,,,
2021-06-07,386008.93,,,,,,
2021-06-08,576113.33,,,,,,
2021-06-09,618299.27,,,,,,
2021-06-10,467760.64,,,,,,
2021-06-11,691056.91,,,,,,
2021-06-12,973056.18,,,,,,
2021-06-13,535863.35,,,,,,
2021-06-14,815981.13,,,,,,
2021-06-15,305411.15,,,,,,
2021-06-16,110750.64,,,,,,
2021-06-17,48285.07,,,,,,
2021-06-18,54063.24,,,,,,
2021-06-19,56488.56,,,,,,
2021-06-20,56442.27,,,,,,
2021-06-21,53035.61,,,,,,
2021-06-22,24154.04,,,,,,
2021-06-23,21033.84,,,,,,
2021-06-24,21875.10,,,,,,
2021-06-25,22055.38,,,,,,
2021-06-26,21587.81,,,,,,
2021-06-27,20371.85,,,,,,
2021-06-28,20135.63,,,,,,
2021-06-29,19937.92,,,,,,
2021-06-30,19854.12,,,,,,
2021-07-01,19801.10,,,,,,
2021-07-02,20056.46,,,,,,
2021-07-03,20009.03,,,,,,
2021-07-04,19946.21,,,,,,
2021-07-05,19177.48,,,,,,
2021-07-06,19134.76,,,,,,
2021-07-07,19852.41,,,,,,
2021-07-08,19083.94,,,,,,
2021-07-09,18649.70,,,,,,
2021-07-10,18704.85,,,,,,
2021-07-11,18654.00,,,,,,
2021-07-12,18402.17,,,,,,
2021-07-13,18179.39,,,,,,
2021-07-14,17136.51,,,,,,
2021-07-15,17469.89,,,,,,
2021-07-16,17696.93,,,,,,
2021-07-17,17939.17,,,,,,
2021-07-18,18360.31,,,,,,
2021-07-19,17999.79,,,,,,
2021-07-20,17918.55,,,,,,
2021-07-21,17796.29,,,,,,
2021-07-22,17232.69,,,,,,
2021-07-23,17902.63,,,,,,
2021-07-24,77506.29,,,,,,
2021-07-25,19571.62,,,,,,
2021-07-26,16211.63,,,,,,
2021-07-27,15890.77,,,,,,
2021-07-28,15694.46,,,,,,
2021-07-29,16224.04,,,,,,
2021-07-30,17370.93,,,,,,
2021-07-31,19991.67,,,,,,
2021-08-01,19406.38,,,,,,
2021-08-02,19653.70,,,,,,
2021-08-03,19508.58,,,,,,
2021-08-04,19027.31,,,,,,
2021-08-05,18585.90,,,,,,
2021-08-06,36495.96,,,,,,
2021-08-07,256615.39,,,,,,
2021-08-08,258089.82,,,,,,
2021-08-09,231302.14,,,,,,
2021-08-10,286443.71,,,,,,
2021-08-11,298930.80,,,,,,
2021-08-12,163803.03,,,,,,
2021-08-13,325667.92,,,,,,
2021-08-14,332619.23,,,,,,
2021-08-15,364966.24,,,,,,
2021-08-16,209208.74,,,,,,
2021-08-17,160806.33,,,,,,
2021-08-18,201378.19,,,,,,
2021-08-19,201391.61,,,,,,
2021-08-20,279899.35,,,,,,
2021-08-21,301076.66,,,,,,
2021-08-22,309215.05,,,,,,
2021-08-23,350680.16,,,,,,
2021-08-24,107215.61,,,,,,
2021-08-25,78726.53,,,,,,
2021-08-26,100948.60,,,,,,
2021-08-27,234154.47,,,,,,
2021-08-28,119264.26,,,,,,
2021-08-29,359074.38,,,,,,
2021-08-30,127491.12,,,,,,
2021-08-31,45044.63,,,,,,
2021-09-01,3870.01,,,,,,
2021-09-02,9577.89,,,,,,
2021-09-03,10109.37,,,,,,
2021-09-04,9411.30,,,,,,
2021-09-05,7669.48,,,,,,
2021-09-06,6945.82,,,,,,
2021-09-07,6969.98,,,,,,
2021-09-08,8090.63,,,,,,
2021-09-09,4962.25,,,,,,
2021-09-10,2943.88,,,,,,
2021-09-11,970.34,,,,,,
2021-09-12,425.73,,,,,,
2021-09-13,858.71,,,,,,
2021-09-14,846.91,,,,,,
2021-09-15,703.79,,,,,,
2021-09-16,756.31,,,,,,
2021-09-17,1249.98,,,,,,
2021-09-18,1218.60,,,,,,
2021-09-19,1237.46,,,,,,
2021-09-20,1479.90,,,,,,
2021-09-21,1401.19,,,,,,
2021-09-22,1705.87,,,,,,
2021-09-23,1583.14,,,,,,
2021-09-24,1885.21,,,,,,
2021-09-25,2008.69,,,,,,
2021-09-26,2339.45,,,,,,
2021-09-27,2416.15,,,,,,
2021-09-28,2502.26,,,,,,
2021-09-29,2527.16,,,,,,
2021-09-30,2470.61,,,,,,
2021-10-01,2529.26,,,,,,
2021-10-02,2948.67,,,,,,
2021-10-03,3027.23,,,,,,
2021-10-04,2764.85,,,,,,
2021-10-05,2937.26,,,,,,
2021-10-06,3151.66,,,,,,
2021-10-07,3464.57,,,,,,
2021-10-08,3628.33,,,,,,
2021-10-09,2810.07,,,,,,
2021-10-10,2363.70,,,,,,
2021-10-11,2514.40,,,,,,
2021-10-12,2460.18,,,,,,
2021-10-13,2846.52,,,,,,
2021-10-14,2915.18,,,,,,
2021-10-15,2679.36,,,,,,
2021-10-16,3411.48,,,,,,
2021-10-17,2664.08,,,,,,
2021-10-18,2979.52,,,,,,
2021-10-19,2573.32,,,,,,
2021-10-20,2949.34,,,,,,
2021-10-21,3419.84,,,,,,
2021-10-22,3551.35,,,,,,
2021-10-23,3801.85,,,,,,
2021-10-24,2352.14,,,,,,
2021-10-25,3426.19,,,,,,
2021-10-26,2023.44,,,,,,
2021-10-27,1779.87,,,,,,
2021-10-28,2399.48,,,,,,
2021-10-29,2675.61,,,,,,
2021-10-30,4283.80,,,,,,
2021-10-31,3598.91,,,,,,
2021-11-01,3491.05,,,,,,
2021-11-02,3773.23,,,,,,
2021-11-03,3954.69,,,,,,
2021-11-04,4575.21,,,,,,
2021-11-05,4301.95,,,,,,
2021-11-06,4630.63,,,,,,
2021-11-07,4513.56,,,,,,
2021-11-08,4006.87,,,,,,
2021-11-09,4386.94,,,,,,
2021-11-10,3192.63,,,,,,
2021-11-11,4268.04,,,,13766.20,,
2021-11-12,4052.71,,,,2870.11,,
2021-11-13,4149.85,,,,3699.73,,
2021-11-14,4164.96,,,,3009.31,,
2021-11-15,4156.62,,,,3555.56,,
2021-11-16,3525.16,9494000.00,,,2071.36,,
2021-11-17,3764.48,9958600.00,,,1878.36,,
2021-11-18,4156.22,7223000.00,,,1978.45,,
2021-11-19,3894.05,7223916.67,,,2507.79,,
2021-11-20,2390.98,7225583.33,,,2943.10,,
2021-11-21,2755.39,7223666.67,,,2771.77,,
2021-11-22,2848.26,7220166.67,,,2422.23,,
2021-11-23,3194.66,7224833.33,,,2698.94,,
2021-11-24,3136.93,7221500.00,,,2734.41,,
2021-11-25,3162.87,6056571.43,,,3091.11,,
2021-11-26,2823.02,5518312.50,,,1913.63,,
2021-11-27,3907.39,7241727.27,,,2903.54,,
2021-11-28,3044.51,7223250.00,,,2335.77,,
2021-11-29,3247.86,7223333.33,,,3282.38,,
2021-11-30,3180.93,7216333.33,,,2314.74,,
2021-12-01,3115.30,7225750.00,,,2871.11,,
2021-12-02,3723.82,7227833.33,,,2830.08,,
2021-12-03,3709.47,7223166.67,,,2490.37,,
2021-12-04,2953.71,7225666.67,,,1654.01,,
2021-12-05,3360.34,7235500.00,,,1935.49,,
2021-12-06,3017.82,7223500.00,,,1879.47,,
2021-12-07,3427.98,7358666.67,,,2625.82,,
2021-12-08,2616.03,7370666.67,,,2168.35,,
2021-12-09,3406.80,7268636.36,,,2285.61,,
2021-12-10,3322.24,7245250.00,,,1997.94,,
2021-12-11,2840.03,7244000.00,,,2428.11,,
2021-12-12,3039.46,7243666.67,,,2705.69,,
2021-12-13,2336.89,7244916.67,,,2101.70,,
2021-12-14,3184.49,7246583.33,,,1617.25,,
2021-12-15,3452.55,7258666.67,,,2054.93,,
2021-12-16,4329.71,7262083.33,,,2962.62,,
2021-12-17,4410.02,7258416.67,,,2383.23,,
2021-12-18,4468.30,7265583.33,,,2606.47,,
2021-12-19,4258.15,7248416.67,,,2497.12,,
2021-12-20,4000.23,7243363.64,,,2462.76,,
2021-12-21,4291.72,7255000.00,,,3425.24,,
2021-12-22,4124.98,5344823.53,,,2769.96,,
2021-12-23,3885.84,8176600.00,,,2324.17,,
2021-12-24,4587.54,7262333.33,,,2130.53,,
2021-12-25,5942.77,7263166.67,,,2889.84,,
2021-12-26,5018.01,7260666.67,,,2084.96,,
2021-12-27,4365.56,7364000.00,,,2135.19,,
2021-12-28,3712.78,10511125.00,,,1885.85,,
2021-12-29,4121.15,7589083.33,,,2082.26,,
2021-12-30,3228.98,7326000.00,,,2398.29,,
2021-12-31,3080.27,9176600.00,,,2393.23,,
2022-01-01,3024.50,7481636.36,,,2909.50,,
2022-01-02,2839.08,7494833.33,,,3567.79,,
2022-01-03,2745.21,7494818.18,,,2470.69,,
2022-01-04,2033.89,7340000.00,,,2270.64,,
2022-01-05,2142.48,7358833.33,,,1852.70,,
2022-01-06,2383.86,7281333.33,,,1971.42,,
2022-01-07,2320.03,7296454.54,,,1610.35,,
2022-01-08,2732.59,7281166.67,,,2038.91,,
2022-01-09,5406.65,7282166.67,,,2264.42,,
2022-01-10,2715.13,7281166.67,,,2082.36,,
2022-01-11,3281.32,7298416.67,,,2729.53,,
2022-01-12,3520.40,7473909.09,,,3092.63,,
2022-01-13,3213.14,7396416.67,,,2779.03,,
2022-01-14,3100.43,7317583.33,,,3263.77,,
2022-01-15,3075.22,7305833.33,,,3978.01,,
2022-01-16,2705.07,7364636.36,,,4083.67,,
2022-01-17,2704.62,7430916.67,,,3455.23,,
2022-01-18,2740.83,7354750.00,,,2816.25,,
2022-01-19,3086.52,7504909.09,,,2423.40,,
2022-01-20,2490.44,7502000.00,,,2639.86,,
2022-01-21,2159.34,7495727.27,,,1247.50,,
2022-01-22,2191.99,7390583.33,,,949.22,,
2022-01-23,3164.73,7527500.00,,,1659.90,,
2022-01-24,1663.57,7326181.82,,,1053.28,,
2022-01-25,1813.87,7320083.33,,,1813.85,,
2022-01-26,1441.01,10653000.00,,,1770.28,,
2022-01-27,1891.48,8589666.67,,,1796.84,,
2022-01-28,2400.76,9098272.73,,,1975.94,,
2022-01-29,2677.37,7283416.67,,,2790.36,,
2022-01-30,1933.88,7248636.36,,,2746.96,,
2022-01-31,2567.88,7266083.33,,,2217.49,,
2022-02-01,2504.00,7242333.33,,,2510.52,,
2022-02-02,2551.51,7249083.33,,,1970.02,,
2022-02-03,2415.38,7240416.67,,,2316.00,,
2022-02-04,2592.99,7234500.00,,,2409.94,,
2022-02-05,2861.64,7278750.00,,,2548.43,,
2022-02-06,1254.63,7272250.00,,,3150.34,,
2022-02-07,1287.11,7263833.33,,,2504.73,,
2022-02-08,1153.73,7248833.33,,,2156.54,,
2022-02-09,1077.77,7251500.00,,,2789.70,,
2022-02-10,1268.43,7236181.82,,,2264.01,,
2022-02-11,1372.00,7247416.67,,,2163.91,,
2022-02-12,1360.72,7237416.67,,,2532.84,,
2022-02-13,1511.31,7241000.00,,,3183.55,,
2022-02-14,1387.74,7246166.67,,,2665.63,,
2022-02-15,1235.06,7259583.33,,,2665.46,,
2022-02-16,1272.67,7272250.00,,,2740.44,,
2022-02-17,1218.68,7266833.33,,,2846.51,,
2022-02-18,1244.93,7260250.00,,,4109.34,,
2022-02-19,1272.14,7257250.00,,,5264.89,,
2022-02-20,994.59,7277583.33,,,3861.73,,
2022-02-21,986.82,6806333.33,,,2824.51,,
2022-02-22,909.26,7224666.67,,,2939.14,,
2022-02-23,1070.42,7225166.67,,,2940.78,,
2022-02-24,1087.72,7236333.33,,,1407.37,,
2022-02-25,1210.87,7231250.00,,,2110.45,,
2022-02-26,1185.07,7313916.67,,,3125.92,,
2022-02-27,1130.88,7234833.33,,,2639.45,,
2022-02-28,1274.28,7226833.33,,,2074.25,,
2022-03-01,1188.16,7228000.00,,,2614.44,,
2022-03-02,785.02,7227750.00,,,2555.40,,
2022-03-03,1381.95,7226500.00,,,3212.09,,
