Date,Arbitrum ($),zkSync Era ($),Base ($),Blast ($),OP Mainnet ($)
2021-05-30,297.58,,,,
2021-05-31,1442.11,,,,
2021-06-01,880.53,,,,
2021-06-02,3276.88,,,,
2021-06-03,522.09,,,,
2021-06-04,257.60,,,,
2021-06-05,22.34,,,,
2021-06-06,20.29,,,,
2021-06-07,2074.80,,,,
2021-06-08,468.62,,,,
2021-06-09,729.00,,,,
2021-06-10,482.94,,,,
2021-06-11,55.33,,,,
2021-06-12,27.27,,,,
2021-06-13,50.19,,,,
2021-06-14,34.15,,,,
2021-06-15,335.00,,,,
2021-06-16,267.96,,,,
2021-06-17,589.05,,,,
2021-06-18,874.39,,,,
2021-06-19,445.48,,,,
2021-06-20,446.59,,,,
2021-06-21,472.82,,,,
2021-06-22,1627.90,,,,
2021-06-23,2211.63,,,,-246.35
2021-06-24,1672.70,,,,-266.88
2021-06-25,1235.77,,,,-263.04
2021-06-26,1228.67,,,,-115.59
2021-06-27,1162.55,,,,-203.78
2021-06-28,1367.80,,,,-260.63
2021-06-29,1456.75,,,,-292.91
2021-06-30,1277.82,,,,-810.85
2021-07-01,1537.87,,,,-341.47
2021-07-02,1356.60,,,,-148.34
2021-07-03,1249.74,,,,-147.97
2021-07-04,1301.31,,,,-236.20
2021-07-05,1322.80,,,,-475.60
2021-07-06,1759.59,,,,-1459.27
2021-07-07,5114.37,,,,-1148.18
2021-07-08,4464.27,,,,-2276.53
2021-07-09,3458.79,,,,-422.86
2021-07-10,2703.36,,,,-72.62
2021-07-11,2396.89,,,,0.00
2021-07-12,2947.02,,,,-549.82
2021-07-13,3064.76,,,,-1179.80
2021-07-14,2958.53,,,,-4386.03
2021-07-15,2581.39,,,,-1968.31
2021-07-16,2286.83,,,,-2787.53
2021-07-17,2258.54,,,,-1447.88
2021-07-18,2197.26,,,,-2052.41
2021-07-19,2471.21,,,,-2730.58
2021-07-20,2676.13,,,,-1572.54
2021-07-21,2033.94,,,,-2637.42
2021-07-22,2784.73,,,,-2088.19
2021-07-23,1936.33,,,,-2981.30
2021-07-24,465.45,,,,-3326.03
2021-07-25,1693.62,,,,-1880.85
2021-07-26,2183.24,,,,-4012.66
