Date,OP Mainnet ($),Arbitrum ($),zkSync Era ($),Base ($),Blast ($)
2021-06-23,246.35,,,,
2021-06-24,266.88,,,,
2021-06-25,263.04,,,,
2021-06-26,115.59,,,,
2021-06-27,203.78,,,,
2021-06-28,260.63,,,,
2021-06-29,292.91,,,,
2021-06-30,810.85,,,,
2021-07-01,341.47,,,,
2021-07-02,148.34,,,,
2021-07-03,147.97,,,,
2021-07-04,236.20,,,,
2021-07-05,475.60,,,,
2021-07-06,1459.27,,,,
2021-07-07,1148.18,,,,
2021-07-08,2276.53,,,,
2021-07-09,422.86,,,,
2021-07-10,72.62,,,,
2021-07-11,0.00,,,,
2021-07-12,549.82,,,,
2021-07-13,1179.80,,,,
2021-07-14,4386.03,,,,
2021-07-15,1968.31,,,,
2021-07-16,2787.53,,,,
2021-07-17,1447.88,,,,
2021-07-18,2052.41,,,,
2021-07-19,2730.58,,,,
2021-07-20,1572.54,,,,
2021-07-21,2637.42,,,,
2021-07-22,2088.19,,,,
2021-07-23,2981.30,,,,
2021-07-24,3326.03,,,,
2021-07-25,1880.85,,,,
2021-07-26,4012.66,,,,
2021-07-27,4721.63,,,,
2021-07-28,6400.26,,,,
2021-07-29,3417.59,,,,
2021-07-30,10708.26,,,,
2021-07-31,5601.20,,,,
2021-08-01,11553.52,,,,
2021-08-02,9906.16,,,,
2021-08-03,10226.67,,,,
2021-08-04,12036.25,,,,
2021-08-05,15339.99,,,,
2021-08-06,16891.52,,,,
2021-08-07,19724.79,,,,
2021-08-08,17080.72,,,,
2021-08-09,18802.93,,,,
2021-08-10,20573.66,,,,
2021-08-11,26101.36,,,,
2021-08-12,20869.77,,,,
2021-08-13,22234.53,,,,
2021-08-14,20748.17,,,,
2021-08-15,23630.88,,,,
2021-08-16,24723.86,,,,
2021-08-17,22875.90,,,,
2021-08-18,17183.62,,,,
2021-08-19,20495.20,,,,
2021-08-20,15823.53,,,,
2021-08-21,20126.21,,,,
2021-08-22,25324.23,,,,
2021-08-23,32929.95,,,,
2021-08-24,32908.61,,,,
2021-08-25,36573.91,,,,
2021-08-26,36957.01,,,,
2021-08-27,35064.62,,,,
2021-08-28,20119.36,,,,
2021-08-29,21845.62,,,,
2021-08-30,33645.92,,,,
2021-08-31,43774.20,4130.32,,,
2021-09-01,61029.18,62188.11,,,
2021-09-02,45093.14,24469.77,,,
2021-09-03,48586.32,27226.05,,,
2021-09-04,47133.91,24413.91,,,
2021-09-05,39198.79,26958.77,,,
2021-09-06,45448.70,32741.41,,,
2021-09-07,72380.09,40980.10,,,
2021-09-08,87572.47,31151.63,,,
2021-09-09,53244.10,37279.82,,,
2021-09-10,59676.19,48065.10,,,
2021-09-11,62534.30,97087.18,,,
2021-09-12,25939.47,242522.36,,,
2021-09-13,51283.57,131532.07,,,
2021-09-14,53356.72,126708.42,,,
2021-09-15,68731.47,175709.85,,,
2021-09-16,67467.28,163546.05,,,
2021-09-17,71648.60,102247.59,,,
2021-09-18,38061.97,74415.39,,,
2021-09-19,41606.46,64997.99,,,
2021-09-20,52711.44,87461.92,,,
2021-09-21,37622.99,89735.29,,,
2021-09-22,58241.64,62653.52,,,
2021-09-23,88786.23,76858.01,,,
2021-09-24,195367.83,60767.77,,,
2021-09-25,39565.64,34291.27,,,
2021-09-26,53863.36,42560.62,,,
2021-09-27,56028.49,52958.19,,,
2021-09-28,51182.21,53891.83,,,
2021-09-29,47690.40,44681.03,,,
2021-09-30,62534.87,56145.49,,,
2021-10-01,102669.49,61471.83,,,
2021-10-02,90434.50,37507.35,,,
2021-10-03,76834.15,37589.59,,,
2021-10-04,95503.27,60172.82,,,
2021-10-05,86932.73,69381.61,,,
2021-10-06,102863.97,79200.76,,,
2021-10-07,100500.34,69617.58,,,
2021-10-08,76139.60,58664.09,,,
2021-10-09,83181.02,51015.07,,,
2021-10-10,94612.76,61560.23,,,
2021-10-11,102749.70,82699.64,,,
2021-10-12,82320.88,70148.59,,,
2021-10-13,79038.75,72146.74,,,
2021-10-14,82652.90,81547.46,,,
2021-10-15,100718.75,104133.57,,,
2021-10-16,76726.33,53894.36,,,
2021-10-17,66273.38,62041.66,,,
2021-10-18,66201.68,61740.23,,,
2021-10-19,51557.22,62295.88,,,
2021-10-20,62035.76,65760.08,,,
2021-10-21,92392.80,63258.07,,,
2021-10-22,61009.02,51800.58,,,
2021-10-23,55218.53,41031.50,,,
2021-10-24,47794.54,65040.12,,,
2021-10-25,53135.20,60423.12,,,
2021-10-26,82519.86,164624.36,,,
2021-10-27,136860.59,169434.38,,,
2021-10-28,138809.44,157696.64,,,
2021-10-29,116018.89,134010.33,,,
2021-10-30,74688.60,78369.17,,,
2021-10-31,84908.41,87741.13,,,
2021-11-01,104648.97,98708.37,,,
2021-11-02,92075.79,103436.41,,,
2021-11-03,118076.01,96436.18,,,
2021-11-04,86090.65,75744.60,,,
2021-11-05,73987.49,68524.86,,,
2021-11-06,60526.82,53224.61,,,
2021-11-07,52529.99,51385.64,,,
2021-11-08,70956.52,72824.75,,,
2021-11-09,106930.80,90185.13,,,
2021-11-10,152547.59,130566.39,,,
2021-11-11,87970.64,84727.97,,,
2021-11-12,85255.58,86326.28,,,
2021-11-13,68649.32,69798.66,,,
2021-11-14,66157.64,60694.15,,,
2021-11-15,75696.98,78371.93,,,
2021-11-16,110647.36,95256.76,,,
2021-11-17,119526.52,80620.08,,,
2021-11-18,113607.26,72224.66,,,
2021-11-19,86122.44,71883.35,,,
2021-11-20,63592.67,97036.77,,,
2021-11-21,67512.96,80359.07,,,
2021-11-22,98769.49,99998.95,,,
2021-11-23,82521.99,90182.05,,,
2021-11-24,83031.08,92299.10,,,
2021-11-25,75128.63,92493.18,,,
2021-11-26,98559.97,89075.95,,,
2021-11-27,64720.64,56935.53,,,
2021-11-28,85292.87,82599.73,,,
2021-11-29,67427.93,89014.09,,,
2021-11-30,100070.28,100491.55,,,
2021-12-01,89060.55,101839.87,,,
2021-12-02,72648.62,71767.01,,,
2021-12-03,77712.04,71658.25,,,
2021-12-04,132963.28,132975.95,,,
2021-12-05,87836.80,74371.79,,,
2021-12-06,95363.43,89407.85,,,
2021-12-07,60492.18,64741.27,,,
2021-12-08,63156.52,80594.42,,,
2021-12-09,59274.54,60607.93,,,
2021-12-10,64279.42,57540.32,,,
2021-12-11,51561.15,60931.46,,,
2021-12-12,40333.64,44027.70,,,
2021-12-13,62434.67,79660.83,,,
2021-12-14,76687.19,55625.08,,,
2021-12-15,73510.56,66572.64,,,
2021-12-16,57259.58,52641.72,,,
2021-12-17,58223.37,44705.41,,,
2021-12-18,46992.02,34843.27,,,
2021-12-19,38606.56,31218.83,,,
2021-12-20,45686.59,43129.32,,,
2021-12-21,33038.07,38944.28,,,
2021-12-22,44980.56,44236.97,,,
2021-12-23,56856.72,54438.22,,,
2021-12-24,56220.24,36933.40,,,
2021-12-25,44768.59,28857.00,,,
2021-12-26,48078.30,26872.56,,,
2021-12-27,60728.87,40965.09,,,
2021-12-28,88086.84,62094.76,,,
2021-12-29,88210.54,66386.36,,,
2021-12-30,71539.81,68962.12,,,
2021-12-31,61759.18,61754.31,,,
2022-01-01,42706.72,52707.32,,,
2022-01-02,44931.26,67993.83,,,
2022-01-03,67126.41,77089.61,,,
2022-01-04,81186.50,111117.79,,,
2022-01-05,116057.12,122373.33,,,
2022-01-06,92047.68,102185.09,,,
2022-01-07,117621.98,110062.94,,,
2022-01-08,78153.72,76872.18,,,
2022-01-09,85760.25,42993.57,,,
2022-01-10,138752.61,137060.98,,,
2022-01-11,90971.19,88095.89,,,
2022-01-12,83155.58,85850.63,,,
2022-01-13,89834.41,82392.36,,,
2022-01-14,82033.10,92839.73,,,
2022-01-15,51869.47,76574.87,,,
2022-01-16,49115.26,81689.34,,,
2022-01-17,57494.46,88359.26,,,
2022-01-18,59376.97,73784.09,,,
2022-01-19,66415.79,66098.61,,,
2022-01-20,70814.92,86829.42,,,
2022-01-21,159819.98,127410.16,,,
2022-01-22,167022.35,130205.36,,,
2022-01-23,80824.94,57358.78,,,
2022-01-24,138044.98,124191.42,,,
2022-01-25,80331.74,100885.27,,,
2022-01-26,93595.82,125092.15,,,
2022-01-27,94727.61,100993.08,,,
2022-01-28,80295.57,85219.91,,,
2022-01-29,47197.05,64388.88,,,
2022-01-30,48307.72,78348.36,,,
2022-01-31,66575.54,72214.03,,,
2022-02-01,76234.12,78576.41,,,
2022-02-02,90955.51,79337.11,,,
2022-02-03,62737.42,79636.69,,,
2022-02-04,61905.08,71499.01,,,
2022-02-05,43364.41,47558.88,,,
2022-02-06,34096.66,84222.66,,,
2022-02-07,70618.87,127969.64,,,
2022-02-08,61403.11,117606.21,,,
2022-02-09,54895.38,133162.60,,,
2022-02-10,63092.29,114133.42,,,
2022-02-11,52077.54,89169.18,,,
2022-02-12,37812.14,67238.70,,,
2022-02-13,25511.10,52504.78,,,
2022-02-14,35624.75,71490.20,,,
2022-02-15,39443.51,85695.26,,,
2022-02-16,45422.56,98890.65,,,
2022-02-17,41665.21,91843.19,,,
2022-02-18,43081.16,118774.83,,,
2022-02-19,20782.95,72898.97,,,
2022-02-20,25052.26,92984.33,,,
2022-02-21,52162.78,135604.29,,,
2022-02-22,46357.10,132375.03,,,
2022-02-23,42366.37,99486.16,,,
2022-02-24,103365.26,151607.52,,,
2022-02-25,49361.93,76764.58,,,
2022-02-26,25604.61,61298.04,,,
2022-02-27,28162.70,61803.97,,,
2022-02-28,56262.63,86946.12,,,
2022-03-01,40373.99,79674.38,,,
2022-03-02,37942.82,146468.61,,,
2022-03-03,27876.93,64951.38,,,
2022-03-04,30540.85,38056.86,,,
2022-03-05,17913.23,17506.48,,,
2022-03-06,23858.45,23145.91,,,
2022-03-07,27373.43,37761.61,,,
2022-03-08,25147.68,43437.65,,,
2022-03-09,26710.30,44158.92,,,
2022-03-10,24682.01,25372.09,,,
2022-03-11,20008.75,26376.50,,,
2022-03-12,10346.81,18878.42,,,
2022-03-13,12659.79,17904.38,,,
2022-03-14,16823.86,24936.26,,,
2022-03-15,22395.32,33318.63,,,
2022-03-16,34319.70,45720.47,,,
2022-03-17,41437.62,53214.41,,,
2022-03-18,35306.73,51326.54,,,
2022-03-19,15215.94,25443.88,,,
2022-03-20,12338.20,23542.30,,,
2022-03-21,35183.13,33363.51,,,
2022-03-22,29955.07,48978.19,,,
2022-03-23,33524.31,72918.24,,,
2022-03-24,49715.73,84661.32,,,
2022-03-25,33546.03,71098.48,,,
2022-03-26,13876.31,33439.24,,,
2022-03-27,27616.78,53458.04,,,
2022-03-28,65369.37,84383.46,,,
2022-03-29,39538.77,70097.52,,,
2022-03-30,48586.08,87668.72,,,
2022-03-31,46806.45,75923.11,,,
2022-04-01,51917.82,108974.18,,,
2022-04-02,39222.13,131528.56,,,
2022-04-03,33214.99,66638.98,,,
2022-04-04,43438.74,83087.79,,,
2022-04-05,42648.11,73625.29,,,
2022-04-06,57436.56,72697.68,,,
2022-04-07,47289.92,70345.91,,,
2022-04-08,42298.35,59366.67,,,
2022-04-09,19418.06,31441.53,,,
2022-04-10,18620.13,30145.33,,,
2022-04-11,38687.58,55117.50,,,
2022-04-12,30518.57,49446.77,,,
2022-04-13,30077.78,51373.87,,,
2022-04-14,30651.13,55983.51,,,
2022-04-15,23539.16,47557.11,,,
2022-04-16,14405.44,32749.10,,,
2022-04-17,13206.37,27510.87,,,
2022-04-18,23911.84,43724.72,,,
2022-04-19,29842.22,55008.44,,,
2022-04-20,77779.16,120534.08,,,
2022-04-21,58158.99,84777.56,,,
2022-04-22,43119.14,65893.17,,,
2022-04-23,27643.83,37459.23,,,
2022-04-24,26723.81,36281.50,,,
2022-04-25,46707.97,72223.76,,,
2022-04-26,49641.04,58484.73,,,
2022-04-27,56840.01,78457.36,,,
2022-04-28,46340.68,82004.08,,,
2022-04-29,45559.78,79613.44,,,
2022-04-30,46662.08,73951.68,,,
2022-05-01,89411.01,73275.37,,,
2022-05-02,54764.47,94400.83,,,
2022-05-03,45008.69,82356.67,,,
2022-05-04,53329.79,81426.80,,,
2022-05-05,61439.01,89292.58,,,
2022-05-06,51478.52,79710.20,,,
2022-05-07,29699.84,54915.87,,,
2022-05-08,27736.66,51353.21,,,
2022-05-09,84781.67,119441.45,,,
2022-05-10,90999.22,105572.46,,,
2022-05-11,195420.96,171952.01,,,
2022-05-12,385073.14,312128.30,,,
2022-05-13,82212.45,83421.16,,,
2022-05-14,31642.47,43192.86,,,
2022-05-15,19297.61,32051.18,,,
2022-05-16,19329.73,38144.95,,,
2022-05-17,23744.46,51581.72,,,
2022-05-18,18877.05,33727.43,,,
2022-05-19,19284.65,35779.49,,,
2022-05-20,19185.74,36111.14,,,
2022-05-21,11867.33,22807.86,,,
2022-05-22,13169.73,25835.06,,,
2022-05-23,18715.53,33411.50,,,
2022-05-24,19767.96,40859.62,,,
2022-05-25,21630.79,34156.80,,,
2022-05-26,33998.57,49066.72,,,
2022-05-27,32359.28,45193.74,,,
2022-05-28,12543.73,20669.67,,,
2022-05-29,10161.00,20890.34,,,
2022-05-30,24351.54,41611.57,,,
2022-05-31,156757.60,58617.29,,,
2022-06-01,269166.80,74746.28,,,
2022-06-02,143450.34,87572.13,,,
2022-06-03,75028.47,71469.12,,,
2022-06-04,52522.99,62570.26,,,
2022-06-05,46061.50,64266.63,,,
2022-06-06,50215.00,73419.47,,,
2022-06-07,54316.32,81504.89,,,
2022-06-08,69975.15,84651.72,,,
2022-06-09,57093.24,76689.82,,,
2022-06-10,47242.86,56260.52,,,
2022-06-11,36175.15,43624.24,,,
2022-06-12,34287.90,35881.90,,,
2022-06-13,106985.48,107300.29,,,
2022-06-14,56466.35,65750.84,,,
2022-06-15,73282.91,81941.70,,,
2022-06-16,25344.05,33249.59,,,
2022-06-17,18502.19,35450.22,,,
2022-06-18,35579.90,46056.90,,,
2022-06-19,17646.71,22009.29,,,
2022-06-20,16463.24,22066.91,,,
2022-06-21,23358.27,40649.39,,,
2022-06-22,23450.73,50072.98,,,
2022-06-23,29038.23,61636.33,,,
2022-06-24,29521.64,59506.42,,,
2022-06-25,22322.27,54513.28,,,
2022-06-26,26156.30,74448.45,,,
2022-06-27,40380.19,90580.06,,,
2022-06-28,17606.43,74219.28,,,
2022-06-29,22800.24,94972.40,,,
2022-06-30,70879.24,67428.93,,,
2022-07-01,13879.46,25340.75,,,
2022-07-02,5232.95,11265.27,,,
2022-07-03,5763.12,11076.46,,,
2022-07-04,10227.72,16478.81,,,
2022-07-05,10876.37,17191.60,,,
2022-07-06,12758.35,19040.25,,,
2022-07-07,13636.94,23266.68,,,
2022-07-08,6982875.41,16475.50,,,
2022-07-09,5630.59,9087.18,,,
2022-07-10,5998.43,8807.02,,,
2022-07-11,9499.08,12688.56,,,
2022-07-12,7009.19,11980.56,,,
2022-07-13,15512.76,21500.76,,,
2022-07-14,1935628.15,21516.13,,,
2022-07-15,450894.22,20489.32,,,
2022-07-16,17961.09,20587.98,,,
2022-07-17,13617.25,18608.54,,,
2022-07-18,29913.48,42895.35,,,
2022-07-19,1400484.37,38470.09,,,
2022-07-20,2396322.09,36229.91,,,
2022-07-21,17809.21,24398.05,,,
2022-07-22,14171.33,16117.21,,,
2022-07-23,10777.92,11148.39,,,
2022-07-24,8861.02,11382.30,,,
2022-07-25,29271.61,19492.28,,,
2022-07-26,265901.24,21628.38,,,
2022-07-27,9499002.56,24740.57,,,
2022-07-28,47626.17,31969.66,,,
2022-07-29,30123.00,19026.45,,,
2022-07-30,13572.53,10208.77,,,
2022-07-31,11355.20,10353.09,,,
2022-08-01,14920.33,14609.86,,,
2022-08-02,18902.71,15930.47,,,
2022-08-03,2603960.76,14403.34,,,
2022-08-04,1957381.51,13846.59,,,
2022-08-05,94527.10,19238.00,,,
2022-08-06,64799.24,10038.32,,,
2022-08-07,73190.41,10224.25,,,
2022-08-08,126346.12,22499.77,,,
2022-08-09,1575476.21,24992.75,,,
2022-08-10,137330.81,38405.26,,,
2022-08-11,59003.28,31725.13,,,
2022-08-12,85048.64,18329.38,,,
2022-08-13,52639.37,12269.27,,,
2022-08-14,101294.63,14331.47,,,
2022-08-15,906458.16,23840.01,,,
2022-08-16,46440.71,16856.59,,,
2022-08-17,66254.87,18811.98,,,
2022-08-18,113493.59,15536.45,,,
2022-08-19,73992.83,23951.58,,,
2022-08-20,45793.13,13310.97,,,
2022-08-21,43982.75,8781.00,,,
2022-08-22,62957.08,16326.25,,,
2022-08-23,112814.82,17045.14,,,
2022-08-24,72437.69,14859.48,,,
2022-08-25,81415.42,20906.44,,,
2022-08-26,1382987.36,24778.05,,,
2022-08-27,827301.65,13728.03,,,
2022-08-28,33270.57,16040.24,,,
2022-08-29,106717.53,28554.53,,,
2022-08-30,108572.46,40737.73,,,
2022-08-31,46569.71,34960.50,,,
2022-09-01,57822.48,14977.41,,,
2022-09-02,1028891.76,10089.01,,,
2022-09-03,30500.49,4960.05,,,
2022-09-04,60660.60,6112.13,,,
2022-09-05,59860.73,9174.39,,,
2022-09-06,104733.79,16035.49,,,
2022-09-07,1275399.58,19323.14,,,
2022-09-08,74285.76,18311.98,,,
2022-09-09,127999.53,20180.52,,,
2022-09-10,74933.57,8295.64,,,
2022-09-11,48710.27,7101.63,,,
2022-09-12,1134815.43,13424.88,,,
2022-09-13,478719.38,16799.00,,,
2022-09-14,33534.42,9515.02,,,
2022-09-15,92183.64,12230.72,,,
2022-09-16,44696.83,5215.62,,,
2022-09-17,25664.40,2561.07,,,
2022-09-18,51417.91,3554.43,,,
2022-09-19,405723.87,5931.25,,,
2022-09-20,40108.07,8684.25,,,
2022-09-21,58318.94,12221.56,,,
2022-09-22,71966.13,7917.30,,,
2022-09-23,100623.19,6708.33,,,
2022-09-24,25703.32,3389.74,,,
2022-09-25,64706.00,4540.67,,,
