Date,Arbitrum ($),zkSync Era ($),OP Mainnet ($),Starknet ($),Base ($),Blast ($),Manta Pacific ($)
2021-05-30,297.58,,,,,,
2021-05-31,1442.11,,,,,,
2021-06-01,880.53,,,,,,
2021-06-02,3276.88,,,,,,
2021-06-03,522.09,,,,,,
2021-06-04,257.60,,,,,,
2021-06-05,22.34,,,,,,
2021-06-06,20.29,,,,,,
2021-06-07,2074.80,,,,,,
2021-06-08,468.62,,,,,,
2021-06-09,729.00,,,,,,
2021-06-10,482.94,,,,,,
2021-06-11,55.33,,,,,,
2021-06-12,27.27,,,,,,
2021-06-13,50.19,,,,,,
2021-06-14,34.15,,,,,,
2021-06-15,335.00,,,,,,
2021-06-16,267.96,,,,,,
2021-06-17,589.05,,,,,,
2021-06-18,874.39,,,,,,
2021-06-19,445.48,,,,,,
2021-06-20,446.59,,,,,,
2021-06-21,472.82,,,,,,
2021-06-22,1627.90,,,,,,
2021-06-23,2211.63,,,,,,
2021-06-24,1672.70,,,,,,
2021-06-25,1235.77,,,,,,
2021-06-26,1228.67,,,,,,
2021-06-27,1162.55,,,,,,
2021-06-28,1367.80,,,,,,
2021-06-29,1456.75,,,,,,
2021-06-30,1277.82,,,,,,
2021-07-01,1537.87,,,,,,
2021-07-02,1356.60,,,,,,
2021-07-03,1249.74,,,,,,
2021-07-04,1301.31,,,,,,
2021-07-05,1322.80,,,,,,
2021-07-06,1759.59,,,,,,
2021-07-07,5114.37,,,,,,
2021-07-08,4464.27,,,,,,
2021-07-09,3458.79,,,,,,
2021-07-10,2703.36,,,,,,
2021-07-11,2396.89,,,,,,
2021-07-12,2947.02,,,,,,
2021-07-13,3064.76,,,,,,
2021-07-14,2958.53,,,,,,
2021-07-15,2581.39,,,,,,
2021-07-16,2286.83,,,,,,
2021-07-17,2258.54,,,,,,
2021-07-18,2197.26,,,,,,
2021-07-19,2471.21,,,,,,
2021-07-20,2676.13,,,,,,
2021-07-21,2033.94,,,,,,
2021-07-22,2784.73,,,,,,
2021-07-23,1936.33,,,,,,
2021-07-24,465.45,,,,,,
2021-07-25,1693.62,,,,,,
2021-07-26,2183.24,,,,,,
2021-07-27,2174.23,,,,,,
