Date,OP Mainnet ($),Arbitrum ($),Base ($),Blast ($),Manta Pacific ($),Starknet ($),zkSync Era ($)
2021-05-30,,0.00,,,,,
2021-05-31,,0.00,,,,,
2021-06-01,,0.00,,,,,
2021-06-02,,0.00,,,,,
2021-06-03,,0.00,,,,,
2021-06-04,,0.00,,,,,
2021-06-05,,0.00,,,,,
2021-06-06,,0.00,,,,,
2021-06-07,,0.00,,,,,
2021-06-08,,0.00,,,,,
2021-06-09,,0.00,,,,,
2021-06-10,,0.00,,,,,
2021-06-11,,0.00,,,,,
2021-06-12,,0.00,,,,,
2021-06-13,,0.00,,,,,
2021-06-14,,0.00,,,,,
2021-06-15,,0.00,,,,,
2021-06-16,,0.00,,,,,
2021-06-17,,0.00,,,,,
2021-06-18,,0.00,,,,,
2021-06-19,,0.00,,,,,
2021-06-20,,0.00,,,,,
2021-06-21,,0.00,,,,,
2021-06-22,,0.00,,,,,
2021-06-23,,0.00,,,,,
2021-06-24,,0.00,,,,,
2021-06-25,,0.00,,,,,
2021-06-26,,0.00,,,,,
2021-06-27,,0.00,,,,,
2021-06-28,,0.00,,,,,
2021-06-29,,0.00,,,,,
2021-06-30,,0.00,,,,,
2021-07-01,,0.00,,,,,
2021-07-02,,0.00,,,,,
2021-07-03,,0.00,,,,,
2021-07-04,,0.00,,,,,
2021-07-05,,0.00,,,,,
2021-07-06,,0.00,,,,,
2021-07-07,,0.00,,,,,
2021-07-08,,0.00,,,,,
2021-07-09,,0.00,,,,,
2021-07-10,,0.00,,,,,
2021-07-11,,0.00,,,,,
2021-07-12,,0.00,,,,,
2021-07-13,,0.00,,,,,
2021-07-14,,0.00,,,,,
2021-07-15,,0.00,,,,,
2021-07-16,,0.00,,,,,
2021-07-17,,0.00,,,,,
2021-07-18,,0.00,,,,,
2021-07-19,,0.00,,,,,
2021-07-20,,0.00,,,,,
2021-07-21,,0.00,,,,,
2021-07-22,,0.00,,,,,
2021-07-23,,0.00,,,,,
2021-07-24,,0.00,,,,,
2021-07-25,,0.00,,,,,
2021-07-26,,0.00,,,,,
2021-07-27,,0.00,,,,,
2021-07-28,,0.00,,,,,
2021-07-29,,0.00,,,,,
2021-07-30,,0.00,,,,,
2021-07-31,,0.00,,,,,
2021-08-01,,0.00,,,,,
2021-08-02,,0.00,,,,,
2021-08-03,,0.00,,,,,
2021-08-04,,0.00,,,,,
2021-08-05,,0.00,,,,,
2021-08-06,,0.00,,,,,
2021-08-07,,0.00,,,,,
2021-08-08,,0.00,,,,,
