Date,Arbitrum ($),OP Mainnet ($),Stacks ($),Mantle ($),Starknet ($),Manta Pacific ($),Metis ($),Boba Network ($),ZKFair ($)
2019-10-26,,,26751947.76,,,,,,
2019-10-27,,,12090642.15,,,,,,
2019-10-28,,,5562416.24,,,,,,
2019-10-29,,,5505901.08,,,,,,
2019-10-30,,,1945305.82,,,,,,
2019-10-31,,,1389598.12,,,,,,
2019-11-01,,,3031440.81,,,,,,
2019-11-02,,,1558141.84,,,,,,
2019-11-03,,,1649790.10,,,,,,
2019-11-04,,,8836108.48,,,,,,
2019-11-05,,,7528887.10,,,,,,
2019-11-06,,,4109786.40,,,,,,
2019-11-07,,,2612760.34,,,,,,
2019-11-08,,,3685845.49,,,,,,
2019-11-09,,,3620059.11,,,,,,
2019-11-10,,,3013133.39,,,,,,
2019-11-11,,,1715656.55,,,,,,
2019-11-12,,,1213719.66,,,,,,
2019-11-13,,,817045.11,,,,,,
2019-11-14,,,558630.58,,,,,,
2019-11-15,,,685494.76,,,,,,
2019-11-16,,,1763876.96,,,,,,
2019-11-17,,,1076403.97,,,,,,
2019-11-18,,,654356.08,,,,,,
2019-11-19,,,866743.31,,,,,,
2019-11-20,,,1365513.82,,,,,,
2019-11-21,,,829094.75,,,,,,
2019-11-22,,,1128855.55,,,,,,
2019-11-23,,,1759968.79,,,,,,
2019-11-24,,,1964428.17,,,,,,
2019-11-25,,,3633395.36,,,,,,
2019-11-26,,,2430326.17,,,,,,
2019-11-27,,,920876.20,,,,,,
2019-11-28,,,930677.72,,,,,,
2019-11-29,,,1039844.78,,,,,,
2019-11-30,,,586653.72,,,,,,
2019-12-01,,,398323.99,,,,,,
2019-12-02,,,284318.19,,,,,,
2019-12-03,,,355147.30,,,,,,
2019-12-04,,,634034.75,,,,,,
2019-12-05,,,546149.54,,,,,,
2019-12-06,,,371023.22,,,,,,
2019-12-07,,,533934.42,,,,,,
2019-12-08,,,281303.25,,,,,,
2019-12-09,,,647573.40,,,,,,
2019-12-10,,,678829.50,,,,,,
2019-12-11,,,444465.34,,,,,,
2019-12-12,,,174931.12,,,,,,
2019-12-13,,,331244.99,,,,,,
2019-12-14,,,310598.20,,,,,,
2019-12-15,,,152681.73,,,,,,
2019-12-16,,,1218036.12,,,,,,
2019-12-17,,,509932.10,,,,,,
2019-12-18,,,185507.33,,,,,,
2019-12-19,,,1237236.80,,,,,,
2019-12-20,,,4274682.94,,,,,,
2019-12-21,,,2167403.44,,,,,,
2019-12-22,,,1404768.81,,,,,,
2019-12-23,,,3647627.60,,,,,,
2019-12-24,,,2291575.89,,,,,,
2019-12-25,,,1993750.73,,,,,,
2019-12-26,,,1364942.24,,,,,,
2019-12-27,,,953586.06,,,,,,
2019-12-28,,,519188.17,,,,,,
2019-12-29,,,446214.41,,,,,,
2019-12-30,,,745418.62,,,,,,
2019-12-31,,,410028.81,,,,,,
2020-01-01,,,296889.50,,,,,,
2020-01-02,,,294080.68,,,,,,
2020-01-03,,,741492.60,,,,,,
2020-01-04,,,498344.56,,,,,,
2020-01-05,,,113356.72,,,,,,
2020-01-06,,,173410.14,,,,,,
2020-01-07,,,694348.42,,,,,,
2020-01-08,,,996649.00,,,,,,
2020-01-09,,,678045.83,,,,,,
2020-01-10,,,433879.82,,,,,,
2020-01-11,,,205420.22,,,,,,
2020-01-12,,,125466.11,,,,,,
2020-01-13,,,303864.92,,,,,,
2020-01-14,,,386883.41,,,,,,
2020-01-15,,,421030.55,,,,,,
2020-01-16,,,413615.58,,,,,,
2020-01-17,,,252749.99,,,,,,
2020-01-18,,,291264.03,,,,,,
2020-01-19,,,291141.60,,,,,,
2020-01-20,,,1125701.01,,,,,,
2020-01-21,,,411540.48,,,,,,
2020-01-22,,,210725.25,,,,,,
2020-01-23,,,249558.50,,,,,,
2020-01-24,,,239461.71,,,,,,
2020-01-25,,,354478.64,,,,,,
2020-01-26,,,144471.26,,,,,,
2020-01-27,,,139923.70,,,,,,
2020-01-28,,,197454.74,,,,,,
2020-01-29,,,123021.91,,,,,,
2020-01-30,,,291925.46,,,,,,
2020-01-31,,,179417.85,,,,,,
2020-02-01,,,225172.06,,,,,,
2020-02-02,,,207376.12,,,,,,
2020-02-03,,,171679.76,,,,,,
2020-02-04,,,426070.28,,,,,,
2020-02-05,,,838868.15,,,,,,
2020-02-06,,,483687.23,,,,,,
2020-02-07,,,9708935.07,,,,,,
2020-02-08,,,12088252.10,,,,,,
2020-02-09,,,3057757.81,,,,,,
2020-02-10,,,4513346.54,,,,,,
2020-02-11,,,1860758.20,,,,,,
2020-02-12,,,3068912.68,,,,,,
2020-02-13,,,18913515.15,,,,,,
2020-02-14,,,3407346.92,,,,,,
2020-02-15,,,3437598.17,,,,,,
2020-02-16,,,3014400.94,,,,,,
2020-02-17,,,1714099.70,,,,,,
2020-02-18,,,1930563.35,,,,,,
2020-02-19,,,1052520.27,,,,,,
2020-02-20,,,495648.97,,,,,,
2020-02-21,,,655628.59,,,,,,
2020-02-22,,,540148.94,,,,,,
2020-02-23,,,368402.82,,,,,,
2020-02-24,,,1194783.05,,,,,,
2020-02-25,,,755340.33,,,,,,
2020-02-26,,,442694.76,,,,,,
2020-02-27,,,800888.35,,,,,,
2020-02-28,,,1239477.73,,,,,,
2020-02-29,,,971619.08,,,,,,
2020-03-01,,,550674.75,,,,,,
2020-03-02,,,260225.64,,,,,,
2020-03-03,,,597530.88,,,,,,
2020-03-04,,,857949.40,,,,,,
2020-03-05,,,1321504.89,,,,,,
2020-03-06,,,1332868.53,,,,,,
2020-03-07,,,603711.34,,,,,,
2020-03-08,,,937224.75,,,,,,
2020-03-09,,,479324.79,,,,,,
2020-03-10,,,525808.23,,,,,,
2020-03-11,,,1649792.44,,,,,,
2020-03-12,,,4792217.81,,,,,,
2020-03-13,,,1300872.23,,,,,,
2020-03-14,,,1162914.33,,,,,,
2020-03-15,,,597306.35,,,,,,
2020-03-16,,,401960.06,,,,,,
2020-03-17,,,455527.63,,,,,,
2020-03-18,,,439809.38,,,,,,
2020-03-19,,,233630.11,,,,,,
2020-03-20,,,535687.63,,,,,,
