Date,Arbitrum (#),zkSync Era (#),OP Mainnet (#),Base (#),Starknet (#),Manta Pacific (#),Blast (#)
2021-05-29,48.00,,,,,,
2021-05-30,25.00,,,,,,
2021-05-31,73.00,,,,,,
2021-06-01,44.00,,,,,,
2021-06-02,171.00,,,,,,
2021-06-03,114.00,,,,,,
2021-06-04,94.00,,,,,,
2021-06-05,18.00,,,,,,
2021-06-06,54.00,,,,,,
2021-06-07,223.00,,,,,,
2021-06-08,151.00,,,,,,
2021-06-09,138.00,,,,,,
2021-06-10,188.00,,,,,,
2021-06-11,123.00,,,,,,
2021-06-12,89.00,,,,,,
2021-06-13,161.00,,,,,,
2021-06-14,106.00,,,,,,
2021-06-15,277.00,,,,,,
2021-06-16,774.00,,,,,,
2021-06-17,1797.00,,,,,,
2021-06-18,1613.00,,,,,,
2021-06-19,1523.00,,,,,,
2021-06-20,1533.00,,,,,,
2021-06-21,1625.00,,,,,,
2021-06-22,3577.00,,,,,,
2021-06-23,4100.00,,,,,,
2021-06-24,3934.00,,,,,,
2021-06-25,3911.00,,,,,,
2021-06-26,3997.00,,,,,,
2021-06-27,4236.00,,,,,,
2021-06-28,4291.00,,,,,,
2021-06-29,4338.00,,,,,,
2021-06-30,4353.00,,,,,,
2021-07-01,4364.00,,,,,,
2021-07-02,4309.00,,,,,,
2021-07-03,4321.00,,,,,,
2021-07-04,4332.00,,,,,,
2021-07-05,4504.00,,,,,,
2021-07-06,4495.00,,,,,,
2021-07-07,4346.00,,,,,,
2021-07-08,4525.00,,,,,,
2021-07-09,4632.00,,,,,,
2021-07-10,4611.00,,,,,,
2021-07-11,4631.00,,,,,,
2021-07-12,4698.00,,,,,,
2021-07-13,4755.00,,,,,,
2021-07-14,5042.00,,,,,,
2021-07-15,4948.00,,,,,,
2021-07-16,4886.00,,,,,,
2021-07-17,4818.00,,,,,,
2021-07-18,4707.00,,,,,,
2021-07-19,4797.00,,,,,,
2021-07-20,4825.00,,,,,,
2021-07-21,4832.00,,,,,,
2021-07-22,5011.00,,,,,,
2021-07-23,4827.00,,,,,,
2021-07-24,1114.00,,,,,,
2021-07-25,4426.00,,,,,,
2021-07-26,5332.00,,,,,,
2021-07-27,5438.00,,,,,,
2021-07-28,5512.00,,,,,,
2021-07-29,5325.00,,,,,,
2021-07-30,4971.00,,,,,,
2021-07-31,4314.00,,,,,,
2021-08-01,4447.00,,,,,,
2021-08-02,4400.00,,,,,,
2021-08-03,4421.00,,,,,,
2021-08-04,4536.00,,,,,,
2021-08-05,4644.00,,,,,,
2021-08-06,2345.00,,,,,,
2021-08-07,324.00,,,,,,
2021-08-08,320.00,,,,,,
2021-08-09,364.00,,,,,,
2021-08-10,295.00,,,,,,
2021-08-11,289.00,,,,,,
2021-08-12,513.00,,,,,,
2021-08-13,253.00,,,,,,
2021-08-14,249.00,,,,,,
2021-08-15,224.00,,,,,,
2021-08-16,404.00,,,,,,
2021-08-17,527.00,,,,,,
2021-08-18,429.00,,,,,,
2021-08-19,436.00,,,,,,
2021-08-20,371.00,,,,,,
2021-08-21,274.00,,,,,,
2021-08-22,267.00,,,,,,
2021-08-23,242.00,,,,,,
2021-08-24,799.00,,,,,,
2021-08-25,1098.00,,,,,,
2021-08-26,857.00,,,,,,
2021-08-27,359.00,,,,,,
2021-08-28,705.00,,,,,,
2021-08-29,236.00,,,,,,
2021-08-30,718.00,,,,,,
2021-08-31,2309.00,,,,,,
2021-09-01,26326.00,,,,,,
2021-09-02,10205.00,,,,,,
2021-09-03,9445.00,,,,,,
2021-09-04,9721.00,,,,,,
2021-09-05,11920.00,,,,,,
2021-09-06,13301.00,,,,,,
2021-09-07,12812.00,,,,,,
2021-09-08,10976.00,,,,,,
2021-09-09,18050.00,,,,,,
2021-09-10,31163.00,,,,,,
2021-09-11,106839.00,,,,,,
2021-09-12,267608.00,,,,,,
2021-09-13,115475.00,,,,,,
2021-09-14,124495.00,,,,,,
2021-09-15,136745.00,,,,,,
2021-09-16,128495.00,,,,,,
2021-09-17,77614.00,,,,,,
2021-09-18,79071.00,,,,,,
2021-09-19,76844.00,,,,,,
2021-09-20,62969.00,,,,,,
2021-09-21,66540.00,,,,,,
2021-09-22,55432.00,,,,,,
2021-09-23,59888.00,,,,,,
2021-09-24,49999.00,,,,,,
2021-09-25,48730.00,,,,,,
2021-09-26,41324.00,,,,,,
2021-09-27,38789.00,,,,,,
2021-09-28,37341.00,,,,,,
2021-09-29,36531.00,,,,,,
2021-09-30,37560.00,,,,,,
2021-10-01,36607.00,,,,,,
2021-10-02,31722.00,,,,,,
2021-10-03,31617.00,,,,,,
2021-10-04,33217.00,,,,,,
2021-10-05,31108.00,,,,,,
2021-10-06,28683.00,,,,,,
2021-10-07,26212.00,,,,,,
2021-10-08,25912.00,,,,,,
2021-10-09,36597.00,,,,,,
2021-10-10,41559.00,,,,,,
2021-10-11,37902.00,,,,,,
2021-10-12,39015.00,,,,,,
2021-10-13,32918.00,,,,,,
2021-10-14,31659.00,,,,,,
2021-10-15,34374.00,,,,,,
2021-10-16,27880.00,,,,,,
2021-10-17,35581.00,,,,,,
2021-10-18,31372.00,,,,,,
2021-10-19,36025.00,,,,,,
2021-10-20,31422.00,,,,,,
2021-10-21,27044.00,,,,,,
2021-10-22,26192.00,,,,,,
2021-10-23,24445.00,,,,,,
2021-10-24,38788.00,,,,,,
2021-10-25,26696.00,,,,,,
2021-10-26,45962.00,,,,,,
2021-10-27,51498.00,,,,,,
2021-10-28,37721.00,,,,,,
2021-10-29,33851.00,,,,,,
2021-10-30,21005.00,,,,,,
2021-10-31,25183.00,,,,,,
2021-11-01,25769.00,,,,,,
2021-11-02,24051.00,,,,,,
2021-11-03,23020.00,,,,,,
2021-11-04,20008.00,,,,,,
2021-11-05,21539.00,,,,,,
2021-11-06,20000.00,,,,,,
2021-11-07,20533.00,,,,,,
2021-11-08,22725.00,,,,,,
2021-11-09,20942.00,,,,,,
2021-11-10,29098.00,,,,,,
2021-11-11,21954.00,,711.00,,,,
2021-11-12,22942.00,,30007.00,,,,
2021-11-13,22352.00,,23402.00,,,,
2021-11-14,22832.00,,28680.00,,,,
2021-11-15,22207.00,,24282.00,,,,
2021-11-16,26817.00,,41840.00,,69.00,,
2021-11-17,24849.00,,45970.00,,165.00,,
2021-11-18,22115.00,,43657.00,,168.00,,
2021-11-19,23953.00,,34463.00,,156.00,,
2021-11-20,40913.00,,29313.00,,153.00,,
2021-11-21,34871.00,,31205.00,,148.00,,
2021-11-22,32683.00,,35599.00,,154.00,,
2021-11-23,29368.00,,32060.00,,154.00,,
2021-11-24,29780.00,,31646.00,,345.00,,
2021-11-25,29682.00,,27847.00,,1459.00,,
2021-11-26,33672.00,,45291.00,,1529.00,,
2021-11-27,24535.00,,29753.00,,142.00,,
2021-11-28,31142.00,,36990.00,,154.00,,
2021-11-29,29027.00,,26287.00,,162.00,,
2021-11-30,29471.00,,37335.00,,149.00,,
2021-12-01,29514.00,,30050.00,,195.00,,
2021-12-02,25427.00,,30556.00,,285.00,,
2021-12-03,25410.00,,34696.00,,209.00,,
2021-12-04,32808.00,,52342.00,,158.00,,
2021-12-05,28492.00,,44626.00,,198.00,,
2021-12-06,30668.00,,45998.00,,203.00,,
2021-12-07,26940.00,,32904.00,,623.00,,
2021-12-08,35566.00,,39834.00,,712.00,,
2021-12-09,27253.00,,37800.00,,347.00,,
2021-12-10,28210.00,,43140.00,,294.00,,
2021-12-11,33508.00,,35612.00,,292.00,,
2021-12-12,31224.00,,31956.00,,292.00,,
2021-12-13,39851.00,,41080.00,,291.00,,
2021-12-14,28793.00,,53510.00,,331.00,,
2021-12-15,26855.00,,41980.00,,304.00,,
2021-12-16,20756.00,,29134.00,,355.00,,
2021-12-17,21004.00,,36229.00,,249.00,,
2021-12-18,20749.00,,33179.00,,260.00,,
2021-12-19,21604.00,,34678.00,,240.00,,
2021-12-20,22793.00,,35025.00,,253.00,,
2021-12-21,21277.00,,25266.00,,268.00,,
2021-12-22,22052.00,,31169.00,,512.00,,
2021-12-23,23394.00,,37113.00,,349.00,,
2021-12-24,19796.00,,40636.00,,261.00,,
2021-12-25,15123.00,,29829.00,,255.00,,
2021-12-26,18253.00,,41478.00,,319.00,,
2021-12-27,21030.00,,40529.00,,529.00,,
2021-12-28,24811.00,,45816.00,,715.00,,
2021-12-29,22237.00,,41491.00,,552.00,,
2021-12-30,29046.00,,35969.00,,339.00,,
2021-12-31,30178.00,,36152.00,,1045.00,,
2022-01-01,31580.00,,29714.00,,1016.00,,
2022-01-02,33447.00,,24215.00,,761.00,,
2022-01-03,34253.00,,34940.00,,664.00,,
2022-01-04,46264.00,,38047.00,,706.00,,
2022-01-05,44508.00,,46659.00,,432.00,,
2022-01-06,39768.00,,43698.00,,329.00,,
2022-01-07,41744.00,,53769.00,,265.00,,
2022-01-08,35689.00,,42384.00,,311.00,,
2022-01-09,17798.00,,38167.00,,319.00,,
2022-01-10,35335.00,,41393.00,,360.00,,
2022-01-11,28693.00,,31682.00,,474.00,,
2022-01-12,26543.00,,27994.00,,647.00,,
2022-01-13,28879.00,,31077.00,,575.00,,
2022-01-14,30390.00,,26440.00,,409.00,,
2022-01-15,30430.00,,21734.00,,392.00,,
2022-01-16,34840.00,,21154.00,,453.00,,
2022-01-17,34896.00,,24972.00,,446.00,,
2022-01-18,34700.00,,30689.00,,476.00,,
2022-01-19,31089.00,,35680.00,,670.00,,
2022-01-20,38749.00,,32737.00,,1096.00,,
2022-01-21,48654.00,,69297.00,,960.00,,
2022-01-22,45992.00,,90805.00,,762.00,,
2022-01-23,30276.00,,52123.00,,673.00,,
2022-01-24,63581.00,,81910.00,,258.00,,
2022-01-25,57715.00,,47794.00,,458.00,,
2022-01-26,71334.00,,48721.00,,982.00,,
2022-01-27,50949.00,,48109.00,,786.00,,
2022-01-28,39402.00,,43774.00,,979.00,,
2022-01-29,35693.00,,30900.00,,1214.00,,
2022-01-30,51373.00,,31493.00,,1046.00,,
2022-01-31,36674.00,,38935.00,,1322.00,,
2022-02-01,36789.00,,34449.00,,956.00,,
2022-02-02,36313.00,,43833.00,,915.00,,
2022-02-03,37498.00,,37329.00,,756.00,,
2022-02-04,35721.00,,35839.00,,740.00,,
2022-02-05,32113.00,,33860.00,,923.00,,
2022-02-06,72845.00,,27472.00,,1465.00,,
2022-02-07,70366.00,,34432.00,,1158.00,,
2022-02-08,78680.00,,40130.00,,767.00,,
2022-02-09,85142.00,,30955.00,,738.00,,
2022-02-10,73865.00,,38085.00,,658.00,,
2022-02-11,67814.00,,40021.00,,654.00,,
2022-02-12,66820.00,,34119.00,,548.00,,
2022-02-13,60008.00,,27116.00,,657.00,,
2022-02-14,68092.00,,32398.00,,616.00,,
2022-02-15,76133.00,,32376.00,,675.00,,
2022-02-16,73823.00,,31526.00,,823.00,,
2022-02-17,76124.00,,30387.00,,712.00,,
2022-02-18,75234.00,,20999.00,,704.00,,
2022-02-19,72019.00,,16452.00,,716.00,,
2022-02-20,94795.00,,22340.00,,716.00,,
2022-02-21,100826.00,,30640.00,,668.00,,
2022-02-22,105852.00,,29410.00,,677.00,,
2022-02-23,87250.00,,29383.00,,822.00,,
2022-02-24,106633.00,,61397.00,,791.00,,
2022-02-25,80525.00,,40934.00,,651.00,,
2022-02-26,81001.00,,27644.00,,633.00,,
2022-02-27,89372.00,,32725.00,,657.00,,
2022-02-28,79774.00,,41658.00,,495.00,,
2022-03-01,77414.00,,33048.00,,445.00,,
2022-03-02,122384.00,,33810.00,,436.00,,
2022-03-03,73572.00,,26899.00,,419.00,,
2022-03-04,46390.00,,34927.00,,535.00,,
2022-03-05,30237.00,,23815.00,,489.00,,
2022-03-06,34519.00,,28540.00,,428.00,,
2022-03-07,61283.00,,36432.00,,507.00,,
2022-03-08,71260.00,,36763.00,,556.00,,
2022-03-09,71514.00,,37875.00,,457.00,,
2022-03-10,47547.00,,44041.00,,450.00,,
2022-03-11,53198.00,,37214.00,,573.00,,
2022-03-12,58682.00,,22368.00,,841.00,,
2022-03-13,44570.00,,22920.00,,823.00,,
2022-03-14,52050.00,,28450.00,,899.00,,
2022-03-15,55317.00,,27622.00,,764.00,,
2022-03-16,63500.00,,45719.00,,779.00,,
2022-03-17,60147.00,,29603.00,,709.00,,
2022-03-18,55490.00,,31170.00,,980.00,,
2022-03-19,48398.00,,32980.00,,639.00,,
2022-03-20,53226.00,,33236.00,,538.00,,
2022-03-21,57450.00,,34863.00,,1051.00,,
2022-03-22,66249.00,,36235.00,,965.00,,
2022-03-23,103030.00,,42073.00,,1076.00,,
2022-03-24,100366.00,,50623.00,,655.00,,
2022-03-25,82758.00,,42618.00,,704.00,,
2022-03-26,56258.00,,30465.00,,397.00,,
2022-03-27,64706.00,,33248.00,,426.00,,
2022-03-28,73990.00,,52974.00,,509.00,,
2022-03-29,71999.00,,58815.00,,621.00,,
2022-03-30,84469.00,,62668.00,,1016.00,,
2022-03-31,70387.00,,59580.00,,617.00,,
2022-04-01,82005.00,,54464.00,,1032.00,,
2022-04-02,138670.00,,47005.00,,716.00,,
2022-04-03,62239.00,,40011.00,,1035.00,,
2022-04-04,58239.00,,42595.00,,781.00,,
2022-04-05,49022.00,,36914.00,,1048.00,,
2022-04-06,62224.00,,72330.00,,939.00,,
2022-04-07,57064.00,,51748.00,,792.00,,
2022-04-08,54635.00,,52867.00,,626.00,,
2022-04-09,45127.00,,38216.00,,775.00,,
2022-04-10,42533.00,,35347.00,,484.00,,
2022-04-11,60086.00,,62052.00,,444.00,,
2022-04-12,54517.00,,47981.00,,320.00,,
2022-04-13,54326.00,,44517.00,,914.00,,
2022-04-14,59918.00,,48453.00,,403.00,,
2022-04-15,68368.00,,44228.00,,479.00,,
2022-04-16,57816.00,,34618.00,,807.00,,
2022-04-17,61625.00,,38313.00,,434.00,,
2022-04-18,64230.00,,45485.00,,358.00,,
2022-04-19,76323.00,,49401.00,,374.00,,
2022-04-20,98533.00,,83864.00,,584.00,,
2022-04-21,77405.00,,71619.00,,552.00,,
2022-04-22,76262.00,,66816.00,,538.00,,
2022-04-23,65539.00,,64676.00,,541.00,,
2022-04-24,60351.00,,63263.00,,579.00,,
2022-04-25,71053.00,,63603.00,,633.00,,
2022-04-26,66352.00,,76087.00,,563.00,,
2022-04-27,90196.00,,94305.00,,748.00,,
2022-04-28,88372.00,,66252.00,,1217.00,,
2022-04-29,92474.00,,70823.00,,1625.00,,
2022-04-30,91691.00,,75047.00,,1297.00,,
2022-05-01,56272.00,,55612.00,,1014.00,,
2022-05-02,77136.00,,59378.00,,865.00,,
2022-05-03,75275.00,,53887.00,,1174.00,,
2022-05-04,88701.00,,78199.00,,1241.00,,
2022-05-05,85195.00,,81367.00,,915.00,,
2022-05-06,96739.00,,88490.00,,849.00,,
2022-05-07,89751.00,,73399.00,,1383.00,,
2022-05-08,106916.00,,87382.00,,1263.00,,
2022-05-09,133735.00,,129371.00,,2863.00,,
2022-05-10,113348.00,,164480.00,,5936.00,,
2022-05-11,123145.00,,215790.00,,7086.00,,
2022-05-12,118514.00,,162661.00,,2760.00,,
2022-05-13,73092.00,,111875.00,,4735.00,,
2022-05-14,82978.00,,86771.00,,5681.00,,
2022-05-15,89754.00,,72383.00,,8851.00,,
2022-05-16,106053.00,,77079.00,,7631.00,,
2022-05-17,95457.00,,58523.00,,3487.00,,
2022-05-18,91139.00,,67093.00,,6196.00,,
2022-05-19,90118.00,,69988.00,,2786.00,,
2022-05-20,86043.00,,62556.00,,3372.00,,
2022-05-21,80448.00,,55305.00,,4363.00,,
2022-05-22,78325.00,,54105.00,,6272.00,,
2022-05-23,87489.00,,68596.00,,4758.00,,
2022-05-24,83054.00,,66511.00,,5591.00,,
2022-05-25,72361.00,,62354.00,,3375.00,,
2022-05-26,74753.00,,74031.00,,5313.00,,
2022-05-27,80659.00,,89510.00,,4790.00,,
2022-05-28,73438.00,,61240.00,,3203.00,,
2022-05-29,75463.00,,52397.00,,2598.00,,
2022-05-30,80859.00,,67407.00,,5561.00,,
2022-05-31,83525.00,,273789.00,,5511.00,,
2022-06-01,97129.00,,487814.00,,4749.00,,
2022-06-02,102699.00,,246024.00,,6645.00,,
2022-06-03,90152.00,,131665.00,,6317.00,,
2022-06-04,92070.00,,109230.00,,5750.00,,
2022-06-05,89497.00,,89594.00,,6246.00,,
2022-06-06,104157.00,,96833.00,,8187.00,,
2022-06-07,116621.00,,109881.00,,6710.00,,
2022-06-08,92291.00,,108684.00,,4491.00,,
2022-06-09,88937.00,,91974.00,,4008.00,,
2022-06-10,83517.00,,102377.00,,3856.00,,
2022-06-11,105899.00,,118200.00,,5026.00,,
2022-06-12,99682.00,,141389.00,,4789.00,,
2022-06-13,128732.00,,192835.00,,2677.00,,
2022-06-14,117981.00,,153278.00,,2477.00,,
2022-06-15,131470.00,,168018.00,,4640.00,,
2022-06-16,103413.00,,117740.00,,992.00,,
2022-06-17,111090.00,,90752.00,,3020.00,,
2022-06-18,111783.00,,109211.00,,4651.00,,
2022-06-19,94115.00,,116132.00,,1139.00,,
2022-06-20,96005.00,,112747.00,,5554.00,,
2022-06-21,121008.00,,110025.00,,3676.00,,
2022-06-22,197854.00,,126865.00,,2645.00,,
2022-06-23,169197.00,,105185.00,,2517.00,,
2022-06-24,185443.00,,115759.00,,1922.00,,
2022-06-25,196837.00,,107459.00,,1833.00,,
2022-06-26,240505.00,,119375.00,,3087.00,,
2022-06-27,287019.00,,146701.00,,2187.00,,
2022-06-28,213912.00,,69818.00,,2938.00,,
2022-06-29,243907.00,,77103.00,,1475.00,,
2022-06-30,156842.00,,78560.00,,13170.00,,
2022-07-01,111532.00,,88363.00,,8513.00,,
2022-07-02,98540.00,,59302.00,,1622.00,,
2022-07-03,83768.00,,60144.00,,1751.00,,
2022-07-04,88084.00,,73263.00,,1654.00,,
2022-07-05,75613.00,,66086.00,,1207.00,,
2022-07-06,76205.00,,71079.00,,2321.00,,
2022-07-07,70252.00,,56529.00,,1846.00,,
2022-07-08,68393.00,,77062.00,,1473.00,,
2022-07-09,62997.00,,54387.00,,1483.00,,
2022-07-10,58855.00,,55608.00,,1560.00,,
2022-07-11,58493.00,,61772.00,,960.00,,
2022-07-12,66184.00,,57982.00,,1316.00,,
2022-07-13,87808.00,,82771.00,,1726.00,,
2022-07-14,78018.00,,84758.00,,2272.00,,
2022-07-15,73912.00,,96168.00,,1360.00,,
2022-07-16,76830.00,,86163.00,,2139.00,,
2022-07-17,88615.00,,92441.00,,1261.00,,
2022-07-18,116795.00,,127899.00,,1871.00,,
2022-07-19,110085.00,,129440.00,,12556.00,,
2022-07-20,107832.00,,130063.00,,1778.00,,
2022-07-21,104285.00,,115780.00,,2766.00,,
2022-07-22,91792.00,,123503.00,,1891.00,,
2022-07-23,77243.00,,122753.00,,1725.00,,
2022-07-24,91852.00,,120842.00,,2159.00,,
2022-07-25,100219.00,,111980.00,,1721.00,,
2022-07-26,92315.00,,120125.00,,1061.00,,
2022-07-27,90729.00,,215747.00,,1129.00,,
2022-07-28,102108.00,,239974.00,,1000.00,,
2022-07-29,93810.00,,271724.00,,1055.00,,
2022-07-30,89154.00,,213770.00,,1566.00,,
2022-07-31,97705.00,,170069.00,,2253.00,,
2022-08-01,86478.00,,148899.00,,18077.00,,
2022-08-02,91211.00,,184361.00,,5818.00,,
2022-08-03,98642.00,,195589.00,,3866.00,,
2022-08-04,87285.00,,220004.00,,3921.00,,
2022-08-05,100436.00,,215635.00,,4107.00,,
2022-08-06,89923.00,,142749.00,,5545.00,,
2022-08-07,92965.00,,112160.00,,8251.00,,
2022-08-08,106276.00,,154660.00,,5267.00,,
2022-08-09,113241.00,,123248.00,,4701.00,,
2022-08-10,107303.00,,152731.00,,6350.00,,
2022-08-11,103906.00,,142975.00,,2679.00,,
2022-08-12,77777.00,,105903.00,,2437.00,,
2022-08-13,81301.00,,104221.00,,2417.00,,
2022-08-14,87100.00,,103694.00,,2746.00,,
2022-08-15,95595.00,,135004.00,,2966.00,,
2022-08-16,102034.00,,176305.00,,3422.00,,
2022-08-17,112710.00,,137055.00,,3759.00,,
2022-08-18,89905.00,,111102.00,,4414.00,,
2022-08-19,117833.00,,168662.00,,3090.00,,
2022-08-20,96816.00,,140351.00,,3613.00,,
2022-08-21,97617.00,,110442.00,,4466.00,,
2022-08-22,101569.00,,120883.00,,3379.00,,
2022-08-23,107840.00,,131952.00,,3106.00,,
2022-08-24,101861.00,,122949.00,,2851.00,,
2022-08-25,116302.00,,101514.00,,2555.00,,
2022-08-26,184507.00,,137911.00,,3120.00,,
2022-08-27,149275.00,,116025.00,,3079.00,,
2022-08-28,179422.00,,115266.00,,3411.00,,
2022-08-29,159310.00,,138127.00,,2977.00,,
2022-08-30,179382.00,,172215.00,,2698.00,,
2022-08-31,255142.00,,154029.00,,2255.00,,
2022-09-01,318777.00,,195086.00,,1579.00,,
2022-09-02,325874.00,,143284.00,,1548.00,,
2022-09-03,298816.00,,106175.00,,2649.00,,
2022-09-04,327882.00,,94642.00,,3636.00,,
2022-09-05,349913.00,,103107.00,,3822.00,,
