Date,Lido Finance (#),Rocket Pool (#),StakeWise (#),Ankr (#),StakeStone (#),StaFi (#)
11/3/2021,127,0,10,0,5,0
11/4/2021,147,1,8,11,7,0
11/5/2021,111,1,6,12,1,0
11/6/2021,152,0,4,9,1,0
11/7/2021,194,0,6,7,1,0
11/8/2021,153,0,8,19,1,0
11/9/2021,126,98,8,5,0,0
11/10/2021,121,97,4,7,2,1
11/11/2021,118,7,11,12,1,0
11/12/2021,117,0,3,6,0,0
11/13/2021,128,0,10,8,0,0
11/14/2021,184,0,8,8,0,0
11/15/2021,141,79,8,7,0,0
11/16/2021,126,26,7,7,0,0
11/17/2021,136,17,5,1,2,0
11/18/2021,134,15,5,7,1,0
11/19/2021,127,26,5,2,1,0
11/20/2021,161,27,9,7,0,0
11/21/2021,161,16,6,10,1,0
11/22/2021,105,26,7,8,1,0
11/23/2021,90,29,5,2,0,0
11/24/2021,116,21,5,4,1,0
11/25/2021,138,25,5,2,1,0
11/26/2021,136,20,4,5,2,0
11/27/2021,144,32,4,9,0,0
11/28/2021,129,22,11,6,1,0
11/29/2021,109,16,7,4,1,0
11/30/2021,133,20,7,5,1,1
12/1/2021,127,18,5,2,0,0
12/2/2021,131,26,5,3,1,0
12/3/2021,141,22,8,3,0,0
12/4/2021,143,13,10,6,0,0
12/5/2021,184,31,13,1,0,0
12/6/2021,121,20,11,3,1,0
12/7/2021,176,32,4,2,1,0
12/8/2021,147,36,14,3,0,0
12/9/2021,165,27,15,2,0,0
12/10/2021,158,30,12,2,0,0
12/11/2021,169,23,14,1,0,0
12/12/2021,180,32,6,3,1,0
12/13/2021,167,26,12,2,0,0
12/14/2021,141,16,14,2,0,0
12/15/2021,130,18,11,1,0,0
12/16/2021,138,19,9,1,3,0
12/17/2021,125,15,7,4,2,0
12/18/2021,161,25,8,1,0,0
12/19/2021,186,29,7,1,0,0
12/20/2021,134,19,16,1,0,0
12/21/2021,148,19,17,2,1,0
12/22/2021,139,18,17,2,1,0
12/23/2021,159,15,7,0,0,0
12/24/2021,163,17,18,1,0,0
12/25/2021,155,9,6,0,0,0
12/26/2021,183,31,15,3,0,0
12/27/2021,180,16,9,3,2,0
12/28/2021,140,15,8,8,0,0
12/29/2021,123,10,9,3,0,0
12/30/2021,155,13,10,2,1,0
12/31/2021,146,20,18,2,1,0
1/1/2022,172,21,19,3,3,0
1/2/2022,202,17,15,1,1,0
1/3/2022,156,19,16,7,1,1
1/4/2022,140,16,14,3,1,0
1/5/2022,142,14,10,1,1,0
1/6/2022,159,12,19,2,1,0
1/7/2022,176,17,16,1,2,0
1/8/2022,173,19,20,2,1,0
1/9/2022,134,8,12,1,1,0
1/10/2022,84,6,11,0,1,1
1/11/2022,96,4,4,0,1,0
1/12/2022,108,8,10,2,4,0
1/13/2022,84,5,7,1,1,0
1/14/2022,81,8,20,0,2,1
1/15/2022,132,8,17,1,1,0
1/16/2022,139,14,16,1,0,0
1/17/2022,99,18,14,0,0,0
1/18/2022,140,11,14,0,1,0
1/19/2022,145,9,10,1,2,0
1/20/2022,133,15,17,0,1,0
1/21/2022,123,9,7,0,1,0
1/22/2022,176,16,13,1,1,0
1/23/2022,188,19,13,0,3,0
1/24/2022,147,9,7,1,8,0
1/25/2022,151,13,10,0,1,0
1/26/2022,129,8,13,2,2,0
1/27/2022,132,6,7,0,5,0
1/28/2022,142,6,14,0,5,0
1/29/2022,160,8,10,2,6,0
1/30/2022,148,13,14,0,2,0
1/31/2022,136,14,14,0,3,0
2/1/2022,118,12,13,0,6,0
2/2/2022,131,14,8,1,3,0
2/3/2022,127,12,16,1,1,0
2/4/2022,154,17,13,0,2,0
2/5/2022,194,22,19,0,8,0
2/6/2022,194,16,24,0,5,0
2/7/2022,138,13,10,1,15,0
2/8/2022,155,10,30,1,15,0
2/9/2022,136,10,20,0,15,0
2/10/2022,328,10,22,2,9,0
2/11/2022,2494,17,47,1,8,0
2/12/2022,495,23,98,1,11,0
2/13/2022,393,18,70,1,7,0
2/14/2022,327,17,75,1,3,1
2/15/2022,180,20,42,0,6,0
2/16/2022,212,18,16,1,3,0
2/17/2022,211,13,20,2,2,0
2/18/2022,136,7,9,1,5,0
2/19/2022,183,13,29,0,12,1
2/20/2022,192,12,19,1,6,0
2/21/2022,158,10,8,3,3,0
2/22/2022,143,6,11,1,3,0
2/23/2022,191,12,16,3,3,0
2/24/2022,144,20,12,0,4,0
2/25/2022,171,28,26,1,7,0
2/26/2022,231,34,10,1,6,0
2/27/2022,226,21,12,0,4,0
2/28/2022,189,20,6,4,6,0
3/1/2022,228,21,11,0,7,1
3/2/2022,221,16,10,1,5,0
3/3/2022,217,21,9,1,5,0
3/4/2022,234,15,5,1,5,0
3/5/2022,268,29,15,2,2,0
3/6/2022,473,25,7,2,10,0
3/7/2022,286,31,4,5,3,0
3/8/2022,255,31,8,4,3,0
3/9/2022,261,36,18,11,3,0
3/10/2022,250,133,8,6,4,0
3/11/2022,248,90,7,3,2,0
3/12/2022,284,92,8,6,5,1
3/13/2022,254,47,7,1,2,0
3/14/2022,290,66,7,10,6,0
3/15/2022,273,30,15,6,7,1
3/16/2022,235,50,7,11,2,0
3/17/2022,232,38,10,3,4,0
3/18/2022,238,40,7,2,3,0
3/19/2022,376,101,6,2,5,1
3/20/2022,329,70,9,1,4,0
3/21/2022,308,56,12,3,3,0
3/22/2022,280,68,10,4,4,0
3/23/2022,288,51,12,2,3,0
3/24/2022,288,25,9,3,4,0
3/25/2022,311,26,6,2,3,0
3/26/2022,319,9,23,4,3,0
3/27/2022,532,17,14,1,2,1
3/28/2022,368,15,30,1,2,0
3/29/2022,324,12,38,3,7,0
3/30/2022,324,10,28,3,4,0
3/31/2022,254,7,21,0,2,0
4/1/2022,252,11,15,2,2,0
4/2/2022,307,10,13,3,4,0
4/3/2022,333,10,19,4,6,0
4/4/2022,266,11,9,4,4,0
4/5/2022,243,6,4,2,8,0
4/6/2022,246,17,37,2,3,0
4/7/2022,284,21,29,4,4,0
4/8/2022,252,31,35,2,4,0
4/9/2022,305,25,23,1,2,0
4/10/2022,345,13,20,2,2,0
4/11/2022,253,11,21,1,3,0
4/12/2022,270,21,20,3,3,0
4/13/2022,268,10,10,2,2,2
4/14/2022,243,44,13,1,2,0
4/15/2022,273,38,23,2,2,0
4/16/2022,306,36,26,2,4,0
4/17/2022,337,22,23,3,2,0
4/18/2022,284,48,14,3,2,1
4/19/2022,248,37,8,8,4,1
4/20/2022,199,23,9,7,2,0
4/21/2022,197,14,7,50,4,0
