Date,StaFi (#),Lido Finance (#),Rocket Pool (#),Ankr (#),Marinade (#),StakeWise (#)
11/3/2021,25,40,6,1,3,1
11/4/2021,27,40,6,1,3,1
11/5/2021,26,38,7,1,4,1
11/6/2021,25,38,7,1,4,1
11/7/2021,25,38,7,1,4,1
11/8/2021,26,36,7,1,4,1
11/9/2021,27,37,7,1,4,1
11/10/2021,26,36,7,1,4,1
11/11/2021,26,37,7,1,3,1
11/12/2021,27,38,8,1,3,1
11/13/2021,27,38,8,1,3,1
11/14/2021,27,38,8,0,3,1
11/15/2021,27,40,7,0,3,1
11/16/2021,27,40,8,0,3,1
11/17/2021,27,37,8,0,3,1
11/18/2021,28,36,8,0,3,1
11/19/2021,29,36,8,0,3,1
11/20/2021,29,36,8,0,3,1
11/21/2021,29,35,8,0,3,1
11/22/2021,30,36,8,0,3,1
11/23/2021,31,36,8,0,4,1
11/24/2021,31,36,9,0,4,1
11/25/2021,31,35,9,1,5,1
11/26/2021,31,35,9,1,5,1
11/27/2021,30,33,9,1,6,1
11/28/2021,30,34,8,1,6,1
11/29/2021,30,35,8,1,6,1
11/30/2021,31,35,8,1,6,1
12/1/2021,32,35,8,1,7,1
12/2/2021,34,35,8,1,7,1
12/3/2021,35,35,8,1,7,1
12/4/2021,36,35,8,1,7,1
12/5/2021,35,35,7,1,7,1
12/6/2021,34,35,7,3,7,1
12/7/2021,36,35,7,3,7,1
12/8/2021,36,35,6,4,7,1
12/9/2021,36,35,6,4,7,1
12/10/2021,36,35,6,4,7,1
12/11/2021,37,35,6,4,7,1
12/12/2021,34,35,7,4,7,1
12/13/2021,34,33,7,4,7,1
12/14/2021,34,34,7,4,7,1
12/15/2021,36,34,7,4,6,1
12/16/2021,36,34,6,5,6,1
12/17/2021,35,33,5,5,6,1
12/18/2021,35,32,5,5,6,1
12/19/2021,35,31,5,5,6,1
12/20/2021,35,32,5,5,6,1
12/21/2021,35,32,6,5,6,1
12/22/2021,35,32,6,5,6,1
12/23/2021,36,34,6,5,6,1
12/24/2021,36,33,7,5,6,1
12/25/2021,35,31,7,5,6,1
12/26/2021,35,31,7,5,6,1
12/27/2021,36,32,7,5,6,1
12/28/2021,36,33,7,5,6,1
12/29/2021,36,33,8,5,6,1
12/30/2021,36,33,8,5,5,1
12/31/2021,35,33,8,5,4,1
1/1/2022,31,33,8,5,4,1
1/2/2022,28,32,8,5,4,1
1/3/2022,27,32,8,5,4,1
1/4/2022,27,33,8,5,4,1
1/5/2022,28,32,8,5,4,1
1/6/2022,25,32,8,6,4,1
1/7/2022,25,32,8,6,4,1
1/8/2022,25,32,8,5,4,1
1/9/2022,24,32,8,4,4,1
1/10/2022,25,34,9,4,4,1
1/11/2022,26,35,8,5,4,1
1/12/2022,26,35,8,5,4,1
1/13/2022,26,33,8,6,4,1
1/14/2022,23,34,8,6,4,1
1/15/2022,23,34,8,6,3,1
1/16/2022,22,34,8,6,3,1
1/17/2022,21,32,8,8,3,1
1/18/2022,22,33,8,8,3,1
1/19/2022,23,35,8,8,3,1
1/20/2022,23,35,7,8,3,1
1/21/2022,23,35,7,9,3,1
1/22/2022,22,35,7,8,3,1
1/23/2022,21,35,6,8,3,1
1/24/2022,21,36,6,9,3,1
1/25/2022,22,36,6,9,3,1
1/26/2022,23,37,6,10,3,1
1/27/2022,23,37,6,11,2,1
1/28/2022,23,38,7,12,2,1
1/29/2022,23,39,8,12,2,1
1/30/2022,23,38,8,12,2,1
1/31/2022,23,38,8,12,2,1
2/1/2022,24,38,8,12,2,1
2/2/2022,23,38,9,13,2,1
2/3/2022,23,37,9,13,2,1
2/4/2022,23,37,9,13,2,1
2/5/2022,23,37,9,12,2,1
2/6/2022,22,37,9,12,2,1
2/7/2022,22,39,9,13,2,1
2/8/2022,23,39,9,13,2,1
2/9/2022,21,37,9,14,2,1
2/10/2022,22,38,8,14,2,2
2/11/2022,21,38,6,14,2,2
2/12/2022,21,38,6,13,2,2
2/13/2022,21,38,6,13,2,2
2/14/2022,21,39,6,13,2,2
2/15/2022,22,40,7,12,2,2
2/16/2022,22,40,7,12,2,2
2/17/2022,21,39,7,12,2,2
2/18/2022,20,38,7,12,2,2
2/19/2022,20,38,8,12,2,2
2/20/2022,20,38,8,12,2,2
2/21/2022,20,39,8,13,2,2
2/22/2022,21,39,8,14,2,2
2/23/2022,21,38,8,15,2,2
2/24/2022,21,38,8,16,2,2
2/25/2022,21,37,8,16,2,2
2/26/2022,21,35,8,16,2,2
2/27/2022,21,34,7,16,2,2
2/28/2022,21,33,6,16,2,2
3/1/2022,21,32,6,16,2,2
3/2/2022,21,33,6,18,2,2
3/3/2022,22,33,6,18,2,2
3/4/2022,22,33,5,17,2,2
3/5/2022,22,32,5,17,2,2
3/6/2022,22,32,5,17,2,2
3/7/2022,22,32,5,17,2,2
3/8/2022,22,32,5,17,2,2
3/9/2022,22,32,5,18,2,2
3/10/2022,23,31,6,19,2,2
3/11/2022,23,32,7,19,2,2
3/12/2022,22,31,7,19,2,2
3/13/2022,22,29,7,18,2,2
3/14/2022,21,29,7,18,2,2
3/15/2022,21,29,7,18,2,2
3/16/2022,22,28,7,18,2,2
3/17/2022,21,30,6,18,2,2
3/18/2022,21,30,7,18,2,2
3/19/2022,21,30,7,18,2,2
3/20/2022,21,31,7,18,2,2
3/21/2022,22,31,6,19,2,2
3/22/2022,23,31,6,19,2,2
3/23/2022,24,32,5,19,2,2
3/24/2022,24,31,5,19,2,2
3/25/2022,24,32,5,18,2,2
3/26/2022,23,32,6,18,3,2
3/27/2022,23,32,6,17,3,2
3/28/2022,23,32,6,17,3,2
3/29/2022,23,32,6,17,3,2
3/30/2022,22,32,6,17,3,2
3/31/2022,22,32,6,17,3,2
4/1/2022,22,30,6,16,3,2
4/2/2022,21,30,6,16,3,2
4/3/2022,19,28,6,16,3,2
4/4/2022,20,28,8,16,3,2
4/5/2022,20,31,8,16,3,2
4/6/2022,19,35,9,17,3,2
4/7/2022,20,38,9,17,3,2
4/8/2022,20,38,9,17,3,2
4/9/2022,19,39,9,14,3,2
4/10/2022,19,38,8,14,3,2
4/11/2022,20,38,8,15,3,2
4/12/2022,21,40,8,15,3,2
4/13/2022,22,41,8,15,3,2
4/14/2022,22,42,8,15,3,2
4/15/2022,21,43,8,15,3,2
4/16/2022,21,41,8,15,3,2
4/17/2022,20,41,7,15,3,2
4/18/2022,20,42,7,15,3,2
4/19/2022,21,43,7,15,3,2
4/20/2022,21,44,7,15,3,2
4/21/2022,21,46,7,15,3,2
4/22/2022,20,45,7,15,3,2
4/23/2022,20,44,7,15,3,2
4/24/2022,19,44,7,16,3,2
4/25/2022,21,46,9,16,2,2
4/26/2022,22,46,9,16,2,2
4/27/2022,22,45,9,16,2,2
4/28/2022,22,45,10,16,2,3
4/29/2022,22,46,10,16,2,3
4/30/2022,22,46,11,17,2,3
5/1/2022,22,46,11,17,2,3
5/2/2022,22,47,11,17,2,3
5/3/2022,21,47,11,17,2,3
5/4/2022,19,46,10,17,2,3
5/5/2022,19,45,10,17,2,4
5/6/2022,19,43,10,17,2,4
5/7/2022,18,42,10,17,2,4
5/8/2022,17,42,11,16,2,4
5/9/2022,16,42,11,16,2,4
5/10/2022,17,42,10,16,2,5
5/11/2022,17,42,10,15,2,5
5/12/2022,17,43,10,15,3,5
5/13/2022,17,42,10,15,3,5
5/14/2022,17,42,9,14,3,5
5/15/2022,17,40,9,14,3,5
5/16/2022,17,41,9,14,3,5
5/17/2022,17,43,10,14,3,5
5/18/2022,17,43,11,12,3,5
5/19/2022,16,43,11,13,3,5
5/20/2022,16,43,12,13,3,5
