Date,Lido Finance ($),Rocket Pool ($),StakeWise ($),StakeStone ($)
11/3/2021,49570.43,0,0,
11/4/2021,48681.52,0,0,
11/5/2021,11746703.56,0,0,
11/6/2021,48761.69,0,0,
11/7/2021,50233.44,0,0,
11/8/2021,51807.51,0,0,
11/9/2021,51270.1,0,0,
11/10/2021,49938.24,0,0,
11/11/2021,51006.01,0,0,
11/12/2021,50607.42,0,0,
11/13/2021,49994.99,0,0,
11/14/2021,49873.35,0,0,
11/15/2021,49328.93,0,0,
11/16/2021,45828.73,0,0,
11/17/2021,46117.35,0,0,
11/18/2021,43648.89,0,0,
11/19/2021,47721.99,0,0,
11/20/2021,48977.07,0,0,
11/21/2021,46953.15,0,0,
11/22/2021,45297.03,0,0,
11/23/2021,47935.16,0,0,
11/24/2021,47494.65,0,0,
11/25/2021,50402.79,149622.37,0,
11/26/2021,45208.31,0,0,
11/27/2021,45479.4,0,0,
11/28/2021,47827.22,0,0,
11/29/2021,49631.08,0,0,
11/30/2021,52532.98,0,24350.87,
12/1/2021,51451.85,0,0,
12/2/2021,50513.76,0,2019.83,
12/3/2021,47074.31,0,0,
12/4/2021,45622.27,0,7337.37,
12/5/2021,47383.52,0,139054.43,
12/6/2021,49347.02,4498.23,5046.57,
12/7/2021,48660.84,969307.44,0,
12/8/2021,50233.2,109100.02,1343.13,
12/9/2021,47542.04,58566.54,2982.61,
12/10/2021,11436078.69,41734.29,7470.55,
12/11/2021,46928.13,19357.62,296.39,
12/12/2021,47632.16,92038.9,218285.54,
12/13/2021,43457.51,12032.98,843.25,
12/14/2021,44670.22,30010.79,4824.66,
12/15/2021,46634.04,4186.28,79085.19,
12/16/2021,46007.47,5451.9,1852.44,
12/17/2021,45036.25,4886.36,2884.3,
12/18/2021,45875.11,11267.22,85980.2,
12/19/2021,45878.14,29838.44,93372.31,
12/20/2021,45813.86,55921.22,1419.06,
12/21/2021,47489.33,393165.59,7248.26,
12/22/2021,46854.25,149940.45,1399.35,
12/23/2021,47976.46,2191339.41,0,
12/24/2021,47146.93,22921.93,0,
12/25/2021,48429.34,4478.86,91975.38,
12/26/2021,48291.81,11558.97,928.87,
12/27/2021,47911.21,9311.7,0,
12/28/2021,45141.96,25330.17,22.04,
12/29/2021,42809.21,3864.09,7486.68,
12/30/2021,44121.84,16982.91,3140.71,
12/31/2021,43942.9,20979.12,346.96,
1/1/2022,44785.68,9035,87035.87,
1/2/2022,45886.73,21371.33,257.18,
1/3/2022,45038.23,7023.3,1273.61,
1/4/2022,45371.76,29659.3,0,
1/5/2022,42238.1,61379.43,3153.59,
1/6/2022,41051.49,39193.38,4.18,
1/7/2022,8032981.28,2966.93,0,
1/8/2022,37236.73,8277,0,
1/9/2022,38291.46,3618.93,65580.99,
1/10/2022,37373.88,1888.37,0,
1/11/2022,38552.95,14515.26,0,
1/12/2022,41055.9,4737.34,3442.05,
1/13/2022,1210216.2,38074.48,0,
1/14/2022,40580.16,1460.69,0,
1/15/2022,40800.61,10490.82,3294.77,
1/16/2022,139981.8,15445.16,141847.33,
