Date,Lido Finance ($),Frax Ether ($),BENQI Liquid Staking ($),StakeWise ($),StakeStone ($),Stader ($)
11/3/2021,991408.7,,,,,
11/4/2021,973630.34,,,,,
11/5/2021,973096.97,,,,,
11/6/2021,975233.73,,,,,
11/7/2021,1004668.75,,,,,
11/8/2021,1036150.22,,,,,
11/9/2021,1025402,,,,,
11/10/2021,998764.73,,,,,
11/11/2021,1020120.21,,,,,
11/12/2021,1012148.49,,,,,
11/13/2021,999899.82,,,,,
11/14/2021,997466.99,,,,,
11/15/2021,986578.56,,,,,
11/16/2021,916574.53,,,,,
11/17/2021,922346.93,,,,,
11/18/2021,872977.8,,,,,
11/19/2021,954439.71,,,,,
11/20/2021,979541.47,,,,,
11/21/2021,939062.98,,,,,
11/22/2021,905940.63,,,,,
11/23/2021,958703.21,,,,,
11/24/2021,949892.99,,,,,
11/25/2021,1008055.75,,,,,
11/26/2021,904166.14,,,,,
11/27/2021,909587.91,,,,,
11/28/2021,956544.46,,,,,
11/29/2021,992621.53,,,,,
11/30/2021,1050659.56,,,,,
12/1/2021,1029036.95,,,,,
12/2/2021,1010275.26,,,,,
12/3/2021,941486.18,,,,,
12/4/2021,912445.47,,,,,
12/5/2021,947670.38,,,,,
12/6/2021,986940.31,,,,,
12/7/2021,973216.84,,,,,
12/8/2021,1004663.93,,,,,
12/9/2021,950840.87,,,,,
12/10/2021,896063.86,,,,,
12/11/2021,938562.65,,,,,
12/12/2021,952643.24,,,,,
12/13/2021,869150.13,,,,,
12/14/2021,893404.31,,,,,
12/15/2021,932680.74,,,,,
12/16/2021,920149.33,,,,,
12/17/2021,900724.97,,,,,
12/18/2021,917502.11,,,,,
12/19/2021,917562.77,,,,,
12/20/2021,916277.14,,,,,
12/21/2021,949786.56,,,,,
12/22/2021,937084.95,,,,,
12/23/2021,959529.13,,,,,
12/24/2021,942938.56,,,,,
12/25/2021,968586.77,,,,,
12/26/2021,965836.29,,,,,
12/27/2021,958224.15,,,,,
12/28/2021,902839.19,,,,,
12/29/2021,856184.13,,,,,
12/30/2021,882436.86,,,,,
12/31/2021,878857.94,,,,,
1/1/2022,895713.52,,,,,
1/2/2022,917734.65,,,,,
1/3/2022,900764.65,,,,,
1/4/2022,907435.15,,,,,
1/5/2022,844761.95,,,15221.65,,
1/6/2022,821029.79,,,23430.07,,
1/7/2022,769011.02,,,13744.39,,
1/8/2022,744734.66,,,13437.4,,
1/9/2022,765829.2,,,15168.98,,
1/10/2022,747477.69,,,13815.6,,
1/11/2022,771059.09,,,14329.41,,
1/12/2022,821118.03,,,14235.18,,
1/13/2022,791385.01,,,15883.54,,
1/14/2022,811603.24,,,0,,
1/15/2022,816012.12,,,14975.17,,
1/16/2022,818285.43,,,24839.25,,
1/17/2022,777797.36,,,17656.65,,
1/18/2022,770350.47,,,0,,
1/19/2022,757571.83,,,14913.05,,
1/20/2022,734839.5,,,13937.12,,
1/21/2022,620855.12,,,17202.06,,
1/22/2022,592540.77,,,11460.13,,
1/23/2022,623387.83,,,12788.23,,
1/24/2022,603134.64,,,11261.58,,
1/25/2022,616700.37,,,11650.32,,
1/26/2022,624873.88,,,12010.57,,
1/27/2022,615534.55,,,11793.89,,
1/28/2022,646968.07,,,12334.71,,
1/29/2022,647346.18,,,0,,
1/30/2022,662127.43,,,28907.83,,
1/31/2022,691537.77,,,15630.12,,
2/1/2022,709932.5,,,13509.52,,
2/2/2022,683111.49,,,13507.76,,
2/3/2022,686350.8,,,14455.13,,
2/4/2022,756165.36,,,15534.63,,
2/5/2022,774148.68,,,15798.85,,
2/6/2022,788508.33,,,15594.92,,
2/7/2022,798307.62,,,16487.73,,
2/8/2022,807905.01,,,17393.64,,
2/9/2022,839532.59,,,19217.68,,
2/10/2022,794877.42,,,18021.02,,
2/11/2022,756785.58,,,17005.71,,
2/12/2022,761030.75,,,17215.08,,
2/13/2022,752211.14,,,16665.94,,
2/14/2022,770240.71,,,0,,
2/15/2022,835638.64,,,19059.69,,
2/16/2022,823591.88,,,19618.3,,
2/17/2022,771852.57,,,16778.08,,
2/18/2022,743098.48,,,17100.6,,
2/19/2022,734183.49,,,16021.1,,
2/20/2022,705157.87,,,22274.5,,
2/21/2022,689461.04,,,15563.91,,
2/22/2022,707013.83,,,15018.56,,
2/23/2022,692659.94,,,0,,
2/24/2022,697229.23,,,33167.57,,
2/25/2022,752294.05,,,0,,
2/26/2022,762937.7,,,15446.6,,
2/27/2022,720379.65,,,20081.37,,
2/28/2022,803290.86,,,17006.59,,
3/1/2022,819409.89,,0,17035.46,,
3/2/2022,814748.99,,8575.92,17754.77,,
3/3/2022,795424.5,,107575.94,15959.33,,
3/4/2022,730260.23,,64957.93,14621.77,,
3/5/2022,760824.05,,0,15071.71,,
3/6/2022,727529.8,,0,14789.27,,
3/7/2022,720232.08,,12853.7,14505.23,,
3/8/2022,744080.27,,27942.94,15247.77,,
3/9/2022,796334.87,,10678.48,16146.95,,
3/10/2022,771570.66,,1757.9,15185.33,,
3/11/2022,753991.85,,11108.08,15905.3,,
3/12/2022,763260.98,,3763.93,14953.77,,
3/13/2022,761608.49,,447.23,14785.96,,
3/14/2022,784340.06,,18137.6,14933.11,,
3/15/2022,803844.36,,2866.95,14567.16,,
3/16/2022,842334.74,,10505.23,15695.87,,
3/17/2022,876914.46,,160649.88,17679.42,,
3/18/2022,916499.31,,27852.45,0,,
3/19/2022,923976.21,,553.21,0,,
3/20/2022,908163.71,,461.38,0,,
3/21/2022,938155.56,,45207.99,69034.32,,
3/22/2022,975292.28,,67256.47,18315.08,,
3/23/2022,998525.53,,11183.8,18057.55,,
3/24/2022,1038955.76,,1931.42,17817.24,,
3/25/2022,1039257.06,,13902.45,25029.36,,
3/26/2022,1066804.24,,2052.27,17787.13,,
3/27/2022,1129274.85,,1716.59,20491.13,,
3/28/2022,1157487.66,,15917.2,18549.33,,
3/29/2022,1180377.08,,12006.57,21156.79,,
3/30/2022,1186356.12,,13620.11,20189.75,,
3/31/2022,1159343.09,,196593.63,18911.75,,
4/1/2022,1239252.61,,30886.57,0,,
4/2/2022,1248139.45,,2719.74,19355.45,,
4/3/2022,1288916.1,,652.38,30085.19,,
4/4/2022,1299127.42,,51358.22,20951.55,,
4/5/2022,1259964.64,,75544.57,18570.28,,
4/6/2022,1185717.02,,14614.25,17722.57,,
4/7/2022,1202338.26,,11821.69,18136.74,,
4/8/2022,1192986.44,,14597.48,17681.1,,
4/9/2022,1241960.16,,3249.03,17968.1,,
4/10/2022,1218003.87,,3821.48,18663.66,,
4/11/2022,1143931.9,,22596.37,16163.74,,
4/12/2022,1173003.03,,9327.92,16687.54,,
4/13/2022,1218208.03,,26536.55,18908.18,,
4/14/2022,1182764.26,,155505.82,17356.33,,
4/15/2022,1196570.65,,25105.64,17105.66,,11.15
4/16/2022,1219184.14,,2574.04,17150.82,,0
4/17/2022,1192329.73,,5833.4,0,,0
4/18/2022,1224739.28,,47155.52,16522.37,,37.18
4/19/2022,1246676.74,,75163.27,34106.82,,0
4/20/2022,1253886.97,,11063.54,19086.11,,90.31
4/21/2022,1228252.49,,14956.11,22193.55,,0
4/22/2022,1217027.38,,24575.82,22153.35,,0
4/23/2022,1212344.26,,6302.09,21896.26,,0
4/24/2022,1224197.28,,48279.35,22552.5,,0
4/25/2022,1270250.1,,20020.46,24889.53,,225.56
4/26/2022,1193345.38,,17011.66,23104.03,,0
4/27/2022,1223059.49,,16574.5,21913.99,,323.67
4/28/2022,1249496.31,,180319.8,22976.1,,0
4/29/2022,1211736.36,,26597.21,20837.93,,822.94
4/30/2022,1192443.44,,5218.86,21350.72,,0
5/1/2022,1229571.84,,9058.66,21280.98,,0
5/2/2022,1245821.11,,37626.76,0,,0
5/3/2022,1215652.3,,59131.76,21122.02,,2329.54
5/4/2022,1291238.17,,9878.81,22390.02,,0
5/5/2022,1211662.81,,17423.56,20018.76,,2626.99
5/6/2022,1197514.56,,20733.44,19371.67,,0
5/7/2022,1170492.39,,6207.73,18978.22,,0
5/8/2022,1129667.38,,38395.18,18703.93,,0
5/9/2022,1001325.98,,12647.62,16497.98,,824.47
5/10/2022,1069984.03,,13625.59,18954.72,,0
5/11/2022,949230.56,,34293.87,15697.58,,0
5/12/2022,901270.98,,47584.12,15547.99,,0
5/13/2022,922645.92,,17013.15,15398.94,,0
5/14/2022,949295.82,,6014.05,19935.88,,0
5/15/2022,1006914.19,,8460.01,16869.29,,0
5/16/2022,957261.5,,23514.34,14936.91,,6977.12
5/17/2022,1002490.49,,57097.73,18506.62,,0
5/18/2022,920610.09,,5910.22,16175.52,,0
5/19/2022,978365.45,,11011.02,16207.56,,0
5/20/2022,942766.93,,10995.7,14651.45,,3634.71
5/21/2022,958633.49,,5878.91,14659.85,,0
5/22/2022,1007932.18,,24032.5,15420.58,,0
5/23/2022,969652.11,,11003.45,14426.11,,0
5/24/2022,996004.3,,9604.75,14432.79,,0
5/25/2022,978849.12,,172718.89,14632.86,,0
5/26/2022,911776.47,,67102.51,13432.22,,2033.2
5/27/2022,872804.02,,13293.4,13816.92,,0
5/28/2022,916933.97,,3909.44,13978.24,,0
5/29/2022,919871.32,,7248.29,13824.21,,0
5/30/2022,1016702.67,,17866.85,15262.58,,0
5/31/2022,993467.12,,64611.17,14993.42,,8582.18
6/1/2022,936273.79,,3213.09,0,,0
6/2/2022,936681.6,,8633.15,0,,0
6/3/2022,909844.68,,8908.64,27203.87,,0
6/4/2022,921429.24,,3847.42,25449.92,,0
6/5/2022,918502.47,,18917.84,14238.56,,0
6/6/2022,950833.09,,9008.74,14158.34,,7591.36
6/7/2022,925185.8,,4937.2,14421.82,,0
6/8/2022,911493.78,,44772,13614.11,,0
6/9/2022,914022.4,,33366.62,13298.82,,0
6/10/2022,836786.68,,1278.59,13716.5,,7315.99
6/11/2022,775104.06,,2620.7,11731.4,,0
6/12/2022,727148.68,,5604.88,11325.08,,0
6/13/2022,608589.94,,10426.52,9260.82,,0
6/14/2022,606416.35,,36924.57,9576.75,,0
6/15/2022,619517.49,,6606.47,9741.61,,0
6/16/2022,527780.25,,6339.96,7886.47,,7025.67
6/17/2022,538952.24,,6246.16,8399.43,,0
6/18/2022,494108.76,,2118.36,7879.25,,0
6/19/2022,554078.69,,12084.33,8654.54,,0
6/20/2022,562911.08,,5794.29,8053.16,,0
6/21/2022,560364.06,,3296.17,8750.94,,0
6/22/2022,524390.7,,29363.9,7997.79,,8621.86
6/23/2022,571845.07,,25141.75,9039.49,,0
6/24/2022,618238.44,,753.6,9960.63,,0
6/25/2022,626050.35,,3221.68,9588.78,,0
6/26/2022,604223.42,,6386.71,10182.96,,0
6/27/2022,599078.2,,9483.36,9694,,0
6/28/2022,574541.03,,30372.11,8975.98,,7541.73
6/29/2022,552622.62,,12347.27,9032.29,,0
6/30/2022,537727.59,,7804.63,8160.91,,0
7/1/2022,531056.47,,6570.82,0,,0
7/2/2022,538679.25,,0,8491.83,,0
7/3/2022,538065.36,,15645.52,8529.22,,0
7/4/2022,579480.54,,9712.57,9506.35,,0
7/5/2022,572861.18,,3645.37,9050.72,,11271.31
7/6/2022,598626.51,,35387.73,9252.11,,0
7/7/2022,630570.51,,27869.48,9729.06,,0
7/8/2022,616095.45,,659.92,9807.74,,0
7/9/2022,617201.41,,8146.81,9297.28,,0
7/10/2022,591285.28,,56.52,9305.45,,14823.93
7/11/2022,558626.66,,688.74,8786.76,,0
7/12/2022,522849.8,,9714.45,8003.11,,0
7/13/2022,562496.92,,13038.06,8897.93,,0
7/14/2022,599864.17,,7432.39,9615.87,,6921.32
7/15/2022,619502.56,,4791.79,10005.08,,3973.27
7/16/2022,687951.67,,0,10417.33,,0
7/17/2022,676571.68,,18819.38,10126.47,,0
7/18/2022,804316.03,,8246.57,12366.61,,0
7/19/2022,783729.31,,4898.72,12199.56,,19942.2
7/20/2022,773603.17,,61358.92,11365.19,,0
7/21/2022,795292.9,,37989.84,12231.03,,5020.3
7/22/2022,780192.31,,9529.76,11816.02,,0
7/23/2022,789899.48,,13464.95,12436.41,,0
7/24/2022,813905.29,,2461.08,12775.76,,0
7/25/2022,734571.96,,13006.2,11741.31,,4791.81
7/26/2022,741181.71,,13432.76,12133.55,,1015.63
7/27/2022,827342.97,,26305.53,13145.49,,1666.1
7/28/2022,879003.93,,84537.72,14003.53,,0
7/29/2022,861641.95,,7892.69,13134.4,,2605.67
7/30/2022,858863.98,,294.22,13703.56,,0
7/31/2022,853663.38,,23746.17,13179.35,,0
8/1/2022,829904.4,,8276.34,21163.52,,0
8/2/2022,829473.83,,5558.74,12683.53,,5821.9
8/3/2022,824770.54,,61018.16,0,,0
8/4/2022,815801.47,,35323.25,12820.11,,0
8/5/2022,881825.95,,13479.93,14110.13,,5963.47
8/6/2022,850426.62,,17096.95,13401.11,,5253.85
8/7/2022,854313.21,,3468.54,13949.9,,5389.34
8/8/2022,901212.24,,17835.11,14204.85,,5413.54
8/9/2022,861115.96,,62171.94,13802.64,,13321.86
8/10/2022,934957.17,,33250.36,14929.88,,7993.02
8/11/2022,958963.19,,11616.08,14897.3,,7876.94
8/12/2022,996937.81,,10547.91,15224.39,,17252.89
8/13/2022,1010245.81,,2259.72,16325.32,,8787.78
8/14/2022,984636.91,,31482.79,15803.75,,8858.59
8/15/2022,962739.03,,12848.42,14980.13,,7781.95
8/16/2022,947795.23,,11144.36,14273.78,,19858.14
8/17/2022,926423.77,,69710.77,14088.16,,7942.05
8/18/2022,930436.84,,40184.51,14270.81,,10061.04
8/19/2022,809003.17,,11608.11,11885.2,,13893.35
8/20/2022,799044.21,,14530.18,12265.44,,6166.19
8/21/2022,815084.46,,6384.89,13095.61,,6463.62
8/22/2022,821376.19,,21972.47,13419.2,,5804.65
8/23/2022,835087.03,,52193.34,13072.51,,14746.38
8/24/2022,832983.02,,27879.46,12106.84,,5836.44
8/25/2022,854324.15,,10697.49,12149.83,,5957.77
8/26/2022,748594.54,,14266.38,10919.96,,11273.61
8/27/2022,755587.19,,2751.62,11354.36,,5562.56
8/28/2022,722500.28,,19056.92,11607.11,,5603.49
8/29/2022,784134.51,,8705.5,11906.73,,5669.29
8/30/2022,769573.15,,10247.39,13541.19,,12621.35
8/31/2022,780802.11,,52530.55,12063.12,,5758.54
9/1/2022,799179.6,,30792.4,12608.79,,5830.27
9/2/2022,793453.42,,9766.18,12215.3,,11398.31
9/3/2022,783742.55,,13105.94,12282.48,,5859.83
9/4/2022,794847.17,,5691.56,11926.84,,5791.86
9/5/2022,815378.55,,24354.12,12540.26,,5692.32
9/6/2022,774356.37,,47650.48,11942.19,,11674.98
9/7/2022,754267.07,,23147.19,11681.04,,4676.51
9/8/2022,802971.13,,9237.33,12430.87,,4898.26
9/9/2022,859009.73,,15035.34,13570.81,,14688.49
9/10/2022,892548.32,,3118.78,14071.7,,1510.67
9/11/2022,883767.85,,22725.15,14052.57,,1606.61
9/12/2022,858914.19,,5224.14,13324.51,,4826.92
9/13/2022,787368.12,,17014.76,12848.57,,20910.78
9/14/2022,819324.43,,52876.3,12655.13,,4628.16
9/15/2022,798455.18,,29169.05,11369.36,,4534.84
9/16/2022,1039755.88,,7406.35,18746.4,,4620.38
9/17/2022,935709.15,,8749.99,7876.23,,1468.74
9/18/2022,819560.23,,5585.51,11308.42,,4828.93
9/19/2022,971316.14,,21454.65,28122.16,,19449.33
9/20/2022,862982.54,,43548.55,19422.58,,24152.32
9/21/2022,876526.12,,20187.25,15010.58,,4606.73
9/22/2022,928886.14,,8597.27,19948.13,,4706.59
9/23/2022,883023.73,,13530.57,18893.16,,20233.07
9/24/2022,895641.26,,2408.22,15872.83,,4741.45
9/25/2022,815048.38,,18821.68,14970.04,,4625.46
9/26/2022,923006.16,,0,15143.97,,4558.49
9/27/2022,978757.04,,15214.5,14180.23,,24348.07
9/28/2022,999025.96,,47858.93,17042.89,,1400.18
9/29/2022,975624.09,,36851.57,15695.03,,8506.07
9/30/2022,1000763.25,,7498.99,14838.66,,21177.05
10/1/2022,955258.79,,8099.49,14560.21,,5128.61
10/2/2022,882235.2,,5961.34,16272.03,,1606.49
10/3/2022,934580.13,,21666.87,13484.88,,8566
10/4/2022,938896.6,,44039.95,19465.49,,25597.37
10/5/2022,967661.81,,21151.07,14225.58,,3657.39
10/6/2022,1039998.33,0,7856.06,13059.18,,3270.07
10/7/2022,916179.58,0,12773.86,15714.17,,21235.17
10/8/2022,1029232.57,0,4366.87,15733.73,,0
10/9/2022,852547.92,0,15165.5,12534.69,,0
10/10/2022,867384.75,0,183.99,15620.07,,0
10/11/2022,911387.64,0,8956.39,13162.1,,22256.25
10/12/2022,858653.68,0,43278.84,14183.47,,4064.38
10/13/2022,910305.23,1.43,39347.62,11941.41,,8160.67
10/14/2022,1091292.93,0,7432.19,13588.57,,16843.23
10/15/2022,861388.65,0,9015.81,12706.33,,12979.19
10/16/2022,885800.08,0,7482.02,13472.89,,4456.45
10/17/2022,922756.75,0,20971.96,13788.8,,1310.48
10/18/2022,1060024.2,0,39518.91,19701.64,,28247.98
10/19/2022,973673.03,0,18350.38,13581.26,,1802.31
10/20/2022,1112730.01,1353.35,8165.15,14091.41,,4575.67
10/21/2022,1009201.19,0,13835.76,0,,18797.3
10/22/2022,1014529.62,0,3560.28,18653.87,,1801.33
10/23/2022,941981.97,0,12353.91,20981.7,,5043.71
10/24/2022,941891.26,0,540.61,20237.89,,1743
10/25/2022,1021469.46,0,15941.6,15675.87,,25135.89
10/26/2022,1329042.33,0,29930.89,18928.61,,5372.56
10/27/2022,1224352.45,2910.02,43778.53,15588.26,,2040.76
10/28/2022,1185965.43,0,7978.81,18996.57,,20210.9
10/29/2022,1226990.12,0,8711.85,17570.58,,4822.83
10/30/2022,1209189.35,0,9986.06,18822.25,,2005.01
10/31/2022,1127287.21,0,24119.45,22286.81,,2252.59
11/1/2022,1210446.16,0,46557.03,16449.08,,24339.24
11/2/2022,1156258.77,0,21676.2,17127.72,,2505.42
11/3/2022,1280028.07,2931.65,9317.01,16597.4,,2834.63
11/4/2022,1476368.3,0,17854.35,17091.92,,29927.7
11/5/2022,1246737.16,0,3860.74,14865.06,,3062.96
11/6/2022,1049611.5,0,13691.54,14992.36,,2987.56
11/7/2022,1128130.87,0,55.67,18892.39,,2200.04
11/8/2022,1136586.94,0,17651.95,18686.29,,28555.89
11/9/2022,6899.62,0,21584.9,31340.13,,1604.16
11/10/2022,2578462.52,5453.93,39573.46,82033.2,,2344.63
11/11/2022,8464.18,0,6120.54,26265.89,,22832.36
11/12/2022,2488667.57,0,6210.72,17352.01,,1737.66
11/13/2022,1780779.13,0,6470.81,11432.24,,1512.27
11/14/2022,1816340.14,0,17683.23,16441.17,,1705.62
11/15/2022,1828851.34,0,37660.02,18052.56,,24651.89
11/16/2022,1702419.79,0,16140.06,11898.11,,1399.92
11/17/2022,952773.7,7050.83,5461.28,12090.33,,1726.75
11/18/2022,920028.34,0,12174.92,12517.48,,17577.85
11/19/2022,843983.2,0,2609.47,11269.99,,1136.74
11/20/2022,881293.49,0,9114.47,11473.56,,1021.73
11/21/2022,857005.85,0,118.77,12733.24,,941.99
11/22/2022,898650.46,0,13625.45,13647.4,,21839.85
11/23/2022,1093412.56,0,23482.8,13972.84,,1002.45
11/24/2022,845900.11,16677.2,6921.24,20460.32,,1065.21
11/25/2022,843578.09,0,44548.97,11798.47,,16412.1
11/26/2022,1340341.14,0,6272.77,13449.16,,929.43
11/27/2022,779015.21,0,6405.56,11659.94,,820.04
11/28/2022,859615.01,0,17135.29,10869.94,,723.42
11/29/2022,854856.24,0,29532.69,11422.67,,20367.19
11/30/2022,896350.44,0,0,13961.86,,0
12/1/2022,891997.58,19667.44,0,12689.87,,2354.67
12/2/2022,965398.39,0,38500.74,16623.59,,17765.27
12/3/2022,829738.58,0,5974.37,10618.1,,1101.7
12/4/2022,856452.71,0,10386.63,11739.17,,1467.73
12/5/2022,821986.51,0,325.8,13018.58,,1098.17
12/6/2022,843627.73,0,13054.82,12096.01,,22370.6
12/7/2022,852183.69,0,21008.74,21956.92,,1093.79
12/8/2022,945622.38,28935.72,46385.9,12670.38,,925.26
12/9/2022,881522.9,0,5083.05,0,,16736.32
12/10/2022,835937.01,0,5390,13170.62,,389.11
12/11/2022,779584.26,0,947.89,12325.76,,359.26
12/12/2022,883958.5,0,6839.16,11615.88,,281.94
12/13/2022,925782.51,0,37398.17,12994.36,,22257.17
12/14/2022,944296.6,0,19481.37,16020.19,,305.77
12/15/2022,881261.68,47467.31,7597.11,11798.64,,359.85
12/16/2022,864556.67,0,10960.34,11310.12,,13560.88
