Date,Rocket Pool ($),Lido Finance ($),StaFi ($),Stride ($),Stader ($),Jito ($),Marinade ($),StakeWise ($),Ether.fi ($),Ankr ($),Meta Pool ($)
2018-07-19,1.01,,,,,,,,,,
2018-07-20,0.93,,,,,,,,,,
2018-07-21,0.98,,,,,,,,,,
2018-07-22,1.00,,,,,,,,,,
2018-07-23,0.95,,,,,,,,,,
2018-07-24,0.82,,,,,,,,,,
2018-07-25,0.84,,,,,,,,,,
2018-07-26,0.84,,,,,,,,,,
2018-07-27,0.76,,,,,,,,,,
2018-07-28,0.77,,,,,,,,,,
2018-07-29,0.70,,,,,,,,,,
2018-07-30,0.70,,,,,,,,,,
2018-07-31,0.70,,,,,,,,,,
2018-08-01,0.70,,,,,,,,,,
2018-08-02,0.62,,,,,,,,,,
2018-08-03,0.62,,,,,,,,,,
2018-08-04,0.62,,,,,,,,,,
2018-08-05,0.62,,,,,,,,,,
2018-08-06,0.62,,,,,,,,,,
2018-08-07,0.58,,,,,,,,,,
2018-08-08,0.53,,,,,,,,,,
2018-08-09,0.05,,,,,,,,,,
2018-08-10,0.36,,,,,,,,,,
2018-08-11,0.37,,,,,,,,,,
2018-08-12,0.37,,,,,,,,,,
2018-08-13,0.37,,,,,,,,,,
2018-08-14,0.37,,,,,,,,,,
2018-08-15,0.37,,,,,,,,,,
2018-08-16,0.56,,,,,,,,,,
2018-08-17,0.56,,,,,,,,,,
2018-08-18,0.56,,,,,,,,,,
2018-08-19,0.56,,,,,,,,,,
2018-08-20,0.56,,,,,,,,,,
2018-08-21,0.56,,,,,,,,,,
2018-08-22,0.56,,,,,,,,,,
2018-08-23,0.56,,,,,,,,,,
2018-08-24,0.22,,,,,,,,,,
2018-08-25,0.22,,,,,,,,,,
2018-08-26,0.38,,,,,,,,,,
2018-08-27,0.36,,,,,,,,,,
2018-08-28,0.01,,,,,,,,,,
2018-08-29,0.41,,,,,,,,,,
2018-08-30,0.40,,,,,,,,,,
2018-08-31,0.40,,,,,,,,,,
2018-09-01,0.40,,,,,,,,,,
2018-09-02,0.40,,,,,,,,,,
2018-09-03,0.40,,,,,,,,,,
2018-09-04,0.40,,,,,,,,,,
2018-09-05,0.42,,,,,,,,,,
2018-09-06,0.36,,,,,,,,,,
2018-09-07,0.36,,,,,,,,,,
2018-09-08,0.36,,,,,,,,,,
2018-09-09,0.29,,,,,,,,,,
2018-09-10,0.33,,,,,,,,,,
2018-09-11,0.33,,,,,,,,,,
2018-09-12,0.33,,,,,,,,,,
2018-09-13,0.33,,,,,,,,,,
2018-09-14,0.32,,,,,,,,,,
2018-09-15,0.32,,,,,,,,,,
2018-09-16,0.32,,,,,,,,,,
2018-09-17,0.32,,,,,,,,,,
2018-09-18,0.32,,,,,,,,,,
2018-09-19,0.32,,,,,,,,,,
2018-09-20,0.32,,,,,,,,,,
2018-09-21,0.32,,,,,,,,,,
2018-09-22,0.27,,,,,,,,,,
2018-09-23,0.27,,,,,,,,,,
2018-09-24,0.36,,,,,,,,,,
2018-09-25,0.37,,,,,,,,,,
2018-09-26,0.55,,,,,,,,,,
2018-09-27,0.42,,,,,,,,,,
2018-09-28,0.46,,,,,,,,,,
2018-09-29,0.22,,,,,,,,,,
2018-09-30,0.58,,,,,,,,,,
2018-10-01,0.58,,,,,,,,,,
2018-10-02,0.46,,,,,,,,,,
2018-10-03,0.45,,,,,,,,,,
2018-10-04,0.45,,,,,,,,,,
2018-10-05,0.45,,,,,,,,,,
2018-10-06,0.45,,,,,,,,,,
2018-10-07,0.45,,,,,,,,,,
2018-10-08,0.45,,,,,,,,,,
2018-10-09,0.45,,,,,,,,,,
2018-10-10,0.46,,,,,,,,,,
2018-10-11,0.45,,,,,,,,,,
2018-10-12,0.51,,,,,,,,,,
2018-10-13,0.38,,,,,,,,,,
2018-10-14,0.38,,,,,,,,,,
2018-10-15,0.43,,,,,,,,,,
2018-10-16,0.58,,,,,,,,,,
2018-10-17,0.50,,,,,,,,,,
2018-10-18,0.53,,,,,,,,,,
2018-10-19,0.55,,,,,,,,,,
2018-10-20,0.55,,,,,,,,,,
2018-10-21,0.59,,,,,,,,,,
2018-10-22,0.60,,,,,,,,,,
2018-10-23,0.60,,,,,,,,,,
2018-10-24,0.60,,,,,,,,,,
2018-10-25,0.61,,,,,,,,,,
2018-10-26,0.55,,,,,,,,,,
2018-10-27,0.61,,,,,,,,,,
2018-10-28,0.61,,,,,,,,,,
2018-10-29,0.61,,,,,,,,,,
2018-10-30,0.63,,,,,,,,,,
2018-10-31,0.72,,,,,,,,,,
2018-11-01,0.72,,,,,,,,,,
2018-11-02,0.64,,,,,,,,,,
2018-11-03,0.64,,,,,,,,,,
2018-11-04,0.64,,,,,,,,,,
2018-11-05,0.64,,,,,,,,,,
2018-11-06,0.72,,,,,,,,,,
2018-11-07,0.74,,,,,,,,,,
2018-11-08,0.74,,,,,,,,,,
2018-11-09,0.74,,,,,,,,,,
2018-11-10,0.74,,,,,,,,,,
2018-11-11,0.74,,,,,,,,,,
