Date,Lido Finance ($),Frax Ether ($),StakeWise ($),Stader ($),StakeStone ($)
1/7/2021,264.7,,,,
1/8/2021,0,,,,
1/9/2021,350.49,,,,
1/10/2021,174.81,,,,
1/11/2021,154.7,,,,
1/12/2021,193.26,,,,
1/13/2021,209.44,,,,
1/14/2021,222.13,,,,
1/15/2021,265.71,,,,
1/16/2021,294.2,,,,
1/17/2021,301.68,,,,
1/18/2021,458.73,,,,
1/19/2021,515.44,,,,
1/20/2021,0,,,,
1/21/2021,504.44,,,,
1/22/2021,1195.72,,,,
1/23/2021,619.81,,,,
1/24/2021,684.7,,,,
1/25/2021,683.82,,,,
1/26/2021,718.55,,,,
1/27/2021,674.21,,,,
1/28/2021,755.31,,,,
1/29/2021,869.24,,,,
1/30/2021,942.73,,,,
1/31/2021,964.79,,,,
2/1/2021,1248.6,,,,
2/2/2021,2196.61,,,,
2/3/2021,2034.23,,,,
2/4/2021,2605.23,,,,
2/5/2021,3185.87,,,,
2/6/2021,3214.79,,,,
2/7/2021,3157.17,,,,
2/8/2021,3357.99,,,,
2/9/2021,2881.64,,,,
2/10/2021,3202.62,,,,
2/11/2021,3654.63,,,,
2/12/2021,3710.22,,,,
2/13/2021,3689.83,,,,
2/14/2021,4160.6,,,,
2/15/2021,4484.31,,,,
2/16/2021,4245.31,,,,
2/17/2021,5241.88,,,,
2/18/2021,6196.49,,,,
2/19/2021,6668.18,,,,
2/20/2021,6742.14,,,,
2/21/2021,7279.91,,,,
2/22/2021,6504.46,,,,
2/23/2021,0,,,,
2/24/2021,0,,,,
2/25/2021,17602.35,,,,
2/26/2021,6066.13,,,,
2/27/2021,6430.54,,,,
2/28/2021,6106.41,,,,
3/1/2021,6889.13,,,,
3/2/2021,6452.79,,,,
3/3/2021,6788.24,,,,
3/4/2021,6622.6,,,,
3/5/2021,6550.42,,,,
3/6/2021,7121.78,,,,
3/7/2021,7091.98,,,,
3/8/2021,7715.79,,,,
3/9/2021,7920.99,,,,
3/10/2021,0,,,,
3/11/2021,11425.86,,,,
3/12/2021,7225.48,,,,
3/13/2021,8332.49,,,,
3/14/2021,7902.94,,,,
3/15/2021,7697.06,,,,
3/16/2021,0,,,,
3/17/2021,0,,,,
3/18/2021,21865.26,,,,
3/19/2021,7525.72,,,,
3/20/2021,7846.95,,,,
3/21/2021,7472.72,,,,
3/22/2021,6841.85,,,,
3/23/2021,7076.19,,,,
3/24/2021,6790.85,,,,
3/25/2021,6745.89,,,,
3/26/2021,7059.32,,,,
3/27/2021,7352.51,,,,
3/28/2021,7229.54,,,,
3/29/2021,7599.66,,,,
3/30/2021,7989.82,,,,
3/31/2021,8417.82,,,,
4/1/2021,8624.24,,,,
4/2/2021,9078.39,,,,
4/3/2021,8797.64,,,,
4/4/2021,9104.52,,,,
4/5/2021,9092.37,,,,
4/6/2021,9230.6,,,,
4/7/2021,8566.82,,,,
4/8/2021,8924.3,,,,
4/9/2021,8682.94,,,,
4/10/2021,9407.08,,,,
4/11/2021,9410.03,,,,
4/12/2021,9703.42,,,,
4/13/2021,10751.32,,,,
4/14/2021,11825.61,,,,
4/15/2021,12655.61,,,,
4/16/2021,12187.18,,,,
4/17/2021,11707.45,,,,
4/18/2021,11080.09,,,,
4/19/2021,10890.67,,,,
4/20/2021,11847.63,,,,
4/21/2021,12353.8,,,,
4/22/2021,12850.45,,,,
4/23/2021,13122.84,,,,
4/24/2021,12196.65,,,,
4/25/2021,12764.62,,,,
4/26/2021,14069.83,,,,
4/27/2021,14830.52,,,,
4/28/2021,15268.94,,,,
4/29/2021,15360.06,,,,
4/30/2021,15627.71,,,,
5/1/2021,16560.64,,,,
5/2/2021,16611,,,,
5/3/2021,19347.98,,,,
5/4/2021,18307.5,,,,
5/5/2021,19895.14,,,,
5/6/2021,18913.16,,,,
5/7/2021,19429.52,,,,
5/8/2021,22450.82,,,,
5/9/2021,23025.55,,,,
5/10/2021,23149.13,,,,
5/11/2021,23782.2,,,,
5/12/2021,22942.59,,,,
5/13/2021,24284.18,,,,
5/14/2021,21812.91,,,,
5/15/2021,22788.37,,,,
5/16/2021,25396.81,,,,
5/17/2021,23193.84,,,,
5/18/2021,23839.49,,,,
5/19/2021,17238.71,,,,
5/20/2021,19382.81,,,,
5/21/2021,17097.08,,,,
5/22/2021,16453.96,,,,
5/23/2021,15033.38,,,,
5/24/2021,18780.74,,,,
5/25/2021,19352.73,,,,
5/26/2021,20573.53,,,,
5/27/2021,19521.95,,,,
5/28/2021,17883.4,,,,
5/29/2021,17878.39,,,,
5/30/2021,19714.82,,,,
5/31/2021,22330.69,,,,
6/1/2021,22113.49,,,,
6/2/2021,22649.1,,,,
6/3/2021,23819.23,,,,
6/4/2021,22431.34,,,,
6/5/2021,21874.57,,,,
6/6/2021,22378.69,,,,
6/7/2021,21451.31,,,,
6/8/2021,21125.43,,,,
6/9/2021,22430.15,,,,
6/10/2021,21200.69,,,,
6/11/2021,20311.85,,,,
6/12/2021,20715.89,,,,
6/13/2021,21952.97,,,,
6/14/2021,22705.44,,,,
6/15/2021,22348.44,,,,
6/16/2021,20734.72,,,,
6/17/2021,18380.6,,,,
6/18/2021,19721.92,,,,
6/19/2021,19096.11,,,,
6/20/2021,19775.55,,,,
6/21/2021,16782.22,,,,
6/22/2021,17072.33,,,,
6/23/2021,18531.14,,,,
6/24/2021,18754.42,,,,
6/25/2021,17161.86,,,,
6/26/2021,17438.04,,,,
6/27/2021,19171.98,,,,
6/28/2021,20236.73,,,,
6/29/2021,21251.17,,,,
6/30/2021,22351.86,,,,
7/1/2021,20809.62,,,,
7/2/2021,21043.22,,,,
7/3/2021,21748.62,,,,
7/4/2021,22630.24,,,,
7/5/2021,21412.28,,,,
7/6/2021,22683.23,,,,
7/7/2021,22743.53,,,,
7/8/2021,20979.41,,,,
7/9/2021,21693.29,,,,
7/10/2021,21873.2,,,,
7/11/2021,22209.88,,,,
7/12/2021,21229.99,,,,
7/13/2021,20850.03,,,,
7/14/2021,21205.41,,,,
7/15/2021,20416.09,,,,
7/16/2021,19981.58,,,,
7/17/2021,20233.89,,,,
7/18/2021,20123.99,,,,
7/19/2021,19290.03,,,,
7/20/2021,19520.02,,,,
7/21/2021,22292.84,,,,
7/22/2021,22560.53,,,,
7/23/2021,23654.53,,,,
7/24/2021,24459.79,,,,
7/25/2021,25109.09,,,,
7/26/2021,25741.22,,,,
7/27/2021,26522.72,,,,
7/28/2021,26494.85,,,,
7/29/2021,27573.98,,,,
7/30/2021,28650.7,,,,
7/31/2021,29766.74,,,,
8/1/2021,30122.57,,,,
8/2/2021,30938.29,,,,
8/3/2021,29855.39,,,,
8/4/2021,32721.68,,,,
8/5/2021,34315.36,,,,
8/6/2021,35863.17,,,,
8/7/2021,39710.09,,,,
8/8/2021,37969.75,,,,
8/9/2021,40071.96,,,,
8/10/2021,39786.74,,,,
8/11/2021,40482.4,,,,
8/12/2021,38866.93,,,,
8/13/2021,42370.12,,,,
8/14/2021,41692.09,,,,
8/15/2021,42804.87,,,,
8/16/2021,40841.96,,,,
8/17/2021,39123.04,,,,
8/18/2021,40019.78,,,,
8/19/2021,43260.24,,,,
8/20/2021,43712.98,,,,
8/21/2021,41802.23,,,,
8/22/2021,45130.06,,,,
8/23/2021,45588.61,,,,
8/24/2021,43792.97,,,,
8/25/2021,43969.79,,,,
8/26/2021,43597.69,,,,
8/27/2021,46416.29,,,,
8/28/2021,47374.48,,,,
8/29/2021,48273.05,,,,
8/30/2021,49185.18,,,,
8/31/2021,53402.18,,,,
9/1/2021,59553.12,,,,
9/2/2021,59771.07,,,,
9/3/2021,63208.72,,,,
9/4/2021,64613.04,,,,
9/5/2021,66689.33,,,,
9/6/2021,65719.35,,,,
9/7/2021,56898.44,,,,
9/8/2021,56607.27,,,,
9/9/2021,56140.73,,,,
9/10/2021,55824.02,,,,
9/11/2021,57929.98,,,,
9/12/2021,61570.36,,,,
9/13/2021,60375.66,,,,
9/14/2021,62859.47,,,,
9/15/2021,65996.95,,,,
9/16/2021,67463.66,,,,
9/17/2021,66195.02,,,,
9/18/2021,67628.29,,,,
9/19/2021,65719.11,,,,
9/20/2021,58891.93,,,,
9/21/2021,55744.5,,,,
9/22/2021,61794.66,,,,
9/23/2021,63918.03,,,,
9/24/2021,57897.34,,,,
9/25/2021,58665.93,,,,
9/26/2021,61886.81,,,,
9/27/2021,59172.22,,,,
9/28/2021,56206.55,,,,
9/29/2021,57675.14,,,,
9/30/2021,61120.5,,,,
10/1/2021,67130.51,,,,
10/2/2021,69171.43,,,,
10/3/2021,69541.94,,,,
10/4/2021,69099.14,,,,
10/5/2021,71811.63,,,,
10/6/2021,72692.86,,,,
