Date,Lido_Finance,Rocket_Pool,Marinade,StakeWise,Ankr,StaFi
11/3/2021,6612911126,440783.32,1637198056,177012647.9,242663613.4,74277310.11
11/4/2021,6552643646,435457.85,1800534274,174949645.8,239870142.2,73341251.29
11/5/2021,6469075570,715630.45,1801378554,172574210.1,236633049.5,72323956.1
11/6/2021,6536488700,722110.89,1754903230,174210141.9,239010579.4,73030831.61
11/7/2021,6689814976,738005.12,1868957871,178074648.2,244342885.5,74881897.02
11/8/2021,6929489699,763222.67,1843287036,184217560.1,252968724.4,76020878.39
11/9/2021,6870498162,3174780.61,1878988153,182500474.7,250558221.5,75291517.17
11/10/2021,6761861936,5178137.11,1798421296,180110628.3,245393767.1,73715471.44
11/11/2021,6925559930,5297967.4,1739620669,184422613.9,251434437.2,75435929.66
11/12/2021,6849347761,5233972.38,1789871623,182270550.1,248785194.1,75443662.01
11/13/2021,6812258395,5196508.29,1767299860,182238212.3,247048499.8,74421145.69
11/14/2021,6795427970,5174660.51,1819806697,181695908,246351726.2,74132734.4
11/15/2021,6744819198,13915557.57,1687717214,180211362.9,244353986.7,73452408.66
11/16/2021,6240496342,12844491.66,1667187860,166397358.3,225594905.4,68027902.84
11/17/2021,6348147579,13029020.47,1565603328,168819332.3,228857316,68952316.05
11/18/2021,5927236725,12147930.73,1557374772,157574085.6,213404777.1,64163669.17
11/19/2021,6383337979,13066355.88,1442832183,169530160.5,229545356,68936606.46
11/20/2021,6555221859,13394679.12,1589413015,175241694.1,235511505,70608663.02
11/21/2021,6366542196,12981459.13,1576980320,169885379.3,228278104.8,68412680.07
11/22/2021,6122238055,48649644.87,1697393715,163094662.6,219161896.6,65500106.39
11/23/2021,6487666221,72732958.38,1600951757,172652378.3,231991157.3,69255121.73
11/24/2021,6392016539,75674745.39,1615883434,169955195.2,228324895.9,68197162.28
11/25/2021,6796241989,83674538.84,1500594233,180168102,242123696.5,72256252.05
11/26/2021,6071586560,77536273.44,1498403772,160992068.6,216183649.2,63230628.33
11/27/2021,6149025313,81998337.8,1396536225,162948037.6,218863306.6,63998751.31
11/28/2021,6470994309,93475189.3,1317374254,171079131.2,229736124.3,66823135.64
11/29/2021,6711560507,104289465.5,1389679829,177394127,238169110.5,69329914.59
11/30/2021,7023314803,120931574.7,1472276960,185561727.3,248429993.5,72301219.17
12/1/2021,6945314822,122472147.8,1525624632,183271460.1,245288565.3,71382964.16
12/2/2021,6850394005,124575964.3,1672104942,180655702.4,241714180.5,70339085.65
12/3/2021,6461076151,126222119.1,1716533788,169524612.8,226299434.5,65938686.81
12/4/2021,6319142275,125535889.7,1556131764,166143260.1,221099425.6,64031316.85
12/5/2021,6445153767,130855395.9,1432562287,169450228.4,225047098.2,65168236.83
12/6/2021,6693454382,139658551.1,1464326769,176059763.5,233499044.7,67619519.81
12/7/2021,6672189402,165029649.6,1456438362,174875424.8,230788816.3,65306209.24
12/8/2021,6881059629,183942920.2,1419085308,181692303.5,237475730.4,65866991.52
12/9/2021,6409194562,180312815.6,1456662035,169212075.4,220937157.9,61291009.35
12/10/2021,6084625182,185661043.8,1373167094,161324950.4,209435590.1,58098551.88
12/11/2021,6372991349,199688680.3,1289168432,168863452.8,219069868.4,60823868.37
12/12/2021,6490200554,212831565.8,1295974935,171293802,222284994.7,63593921.71
12/13/2021,5947624126,198770184,1293769448,156697641,203304628.9,58124437.12
12/14/2021,6074858241,207361100.4,1215321817,159986628.8,207421766.2,59059913.25
12/15/2021,6326587266,217512186.2,1240055534,166453081.7,215776494.3,61148918.33
12/16/2021,6246098365,215810949.5,1386052681,164333082.4,212715086.3,60278538.37
12/17/2021,6124694669,214228452.4,1357833983,160877941.4,208252148.8,59012084.86
12/18/2021,6253669851,226795805.3,1370131466,164155810.9,212469506.2,60206590.13
12/19/2021,6204631867,230872688.1,1427073203,164446784.4,210532914,59748394.35
