Date,Lido Finance ($),Rocket Pool ($)
12/17/2020,365.57,
12/18/2020,399.33,
12/19/2020,399.7,
12/20/2020,398.23,
12/21/2020,396.66,
12/22/2020,397.06,
12/23/2020,396.43,
12/24/2020,398.07,
12/25/2020,398.56,
12/26/2020,398.33,
12/27/2020,401.2,
12/28/2020,402.41,
12/29/2020,404.25,
12/30/2020,405.25,
12/31/2020,403.51,
1/1/2021,403.47,
1/2/2021,405.03,
1/3/2021,416.35,
1/4/2021,417.14,
1/5/2021,653552278.2,
1/6/2021,635321448.3,
1/7/2021,512418720.8,
1/8/2021,540470965.8,
1/9/2021,303519429.9,
1/10/2021,356374257.5,
1/11/2021,316412925.3,
1/12/2021,298445263.9,
1/13/2021,382853605.2,
1/14/2021,384149354.1,
1/15/2021,337857218.1,
1/16/2021,312492447.8,
1/17/2021,274910130.9,
1/18/2021,279013285.2,
1/19/2021,305448929.4,
1/20/2021,278330579.9,
1/21/2021,214820566.9,
1/22/2021,225110749.7,
1/23/2021,274438653.2,
1/24/2021,489773633.6,
1/25/2021,371923608.2,
1/26/2021,670779709.9,
1/27/2021,545798022.5,
1/28/2021,490908624.1,
1/29/2021,502868801,
1/30/2021,492177707.4,
1/31/2021,691571840,
2/1/2021,1054595165,
2/2/2021,1001800316,
2/3/2021,1081293104,
2/4/2021,934472510.5,
2/5/2021,1035353692,
2/6/2021,953470985.1,
2/7/2021,905807420.9,
2/8/2021,949962555.8,
2/9/2021,869905883.9,
2/10/2021,776770086,
2/11/2021,790942964.2,
2/12/2021,818658288.9,
2/13/2021,844121124.1,
2/14/2021,864128737.1,
2/15/2021,886636375.2,
2/16/2021,900755486.8,
2/17/2021,755744688.7,
2/18/2021,739920753.1,
2/19/2021,605658001.8,
2/20/2021,537378865.6,
2/21/2021,538485997.1,
2/22/2021,499789589.5,
2/23/2021,383567196.3,
2/24/2021,369116201.9,
2/25/2021,332118906,
2/26/2021,322674534.3,
2/27/2021,319609287.6,
2/28/2021,288272319.9,
3/1/2021,291206304.4,
3/2/2021,306045167.1,
3/3/2021,286265950.4,
3/4/2021,234135128.9,
3/5/2021,275828385.9,
3/6/2021,276712589.7,
3/7/2021,250289177.7,
3/8/2021,269191559.1,
3/9/2021,272697203.6,
3/10/2021,240048729.9,
3/11/2021,222026913.4,
3/12/2021,212218017.5,
3/13/2021,220027431.2,
3/14/2021,208265625.5,
3/15/2021,204620728.7,
3/16/2021,225553082.4,
3/17/2021,229588466.1,
3/18/2021,209483179.5,
3/19/2021,204054773.8,
3/20/2021,215067429.1,
3/21/2021,193735476.9,
3/22/2021,184175483.1,
3/23/2021,201773732.5,
3/24/2021,194716505.3,
3/25/2021,192680647.2,
3/26/2021,187807593.8,
