Date,Worldcoin (#),Ethereum Name Service (#),Zerion (#),The Graph (#),Tornado Cash (#),Flashbots (#),Toucan Protocol (#),Instadapp (#),Bounce Finance (#),Swarm (#),Chainlink (#)
11/3/2021,,1264,,23,336,,0,,,,
11/4/2021,,860,,111,280,,0,,,,
11/5/2021,,804,,109,304,,1,,,,
11/6/2021,,1114,,94,288,,0,,,,
11/7/2021,,1125,,92,309,,0,,,,
11/8/2021,,1881,,83,329,,0,,,,
11/9/2021,,5775,,51,317,,0,,,,
11/10/2021,,5749,,60,313,,0,,,,
11/11/2021,,4235,,62,323,,1,,,,
11/12/2021,,3091,,43,363,,0,,,,
11/13/2021,,2836,,52,319,,0,,,,
11/14/2021,,3212,,52,398,,0,,,,
11/15/2021,,2218,,55,352,,1,,,,
11/16/2021,,2269,,57,282,,0,,,,
11/17/2021,,2312,,44,314,,0,,,,
11/18/2021,,2277,,46,338,,0,,,,
11/19/2021,,2519,,53,353,,0,,,,
11/20/2021,,2435,,59,350,,0,,,,
11/21/2021,,2238,,55,350,,0,,,,
11/22/2021,,1376,,36,305,,0,,,,
11/23/2021,,1717,,31,380,,0,,,,
11/24/2021,,1601,,36,319,,0,,,,
11/25/2021,,1663,,36,388,,0,,,,
11/26/2021,,1702,,38,352,,0,,,,
11/27/2021,,1876,,40,287,,0,,,,
11/28/2021,,1852,,47,269,,0,,,,
11/29/2021,,2041,,36,316,,0,,,,
11/30/2021,,2254,,30,356,,0,,,,
12/1/2021,,1873,,41,371,,0,,,,
12/2/2021,,2253,,31,355,,0,2,,,
12/3/2021,,2345,,32,310,,0,1,,,
12/4/2021,,1720,,27,271,,0,0,,,
12/5/2021,,1939,,35,298,,0,1,,,
12/6/2021,,1689,,32,314,,1,30,,,
12/7/2021,,2066,,37,368,,0,94,,,
12/8/2021,,2451,,34,314,,0,91,,,
12/9/2021,,2214,,27,323,,1,110,,,
12/10/2021,,2540,,29,379,,0,103,,,
12/11/2021,,2840,,35,311,,0,84,,,
12/12/2021,,3425,,40,364,,0,75,,,
12/13/2021,,2462,,28,366,,0,107,,,
