Date,Bittensor ($),Tornado Cash ($),Chainlink ($),Bounce Finance ($),Livepeer ($),Ethereum Name Service ($),Helium ($),UMA ($),Aragon ($),Gitcoin ($),Render Network ($),Akash Network ($),Instadapp ($),Swarm ($),Ripple ($),Worldcoin ($),The Graph ($),Arkham ($),Pocket Network ($),Pyth Network ($)
2013-08-04,,,,,,,,,,,,,,,0.01,,,,,
2013-08-05,,,,,,,,,,,,,,,0.01,,,,,
2013-08-06,,,,,,,,,,,,,,,0.00,,,,,
2013-08-07,,,,,,,,,,,,,,,0.00,,,,,
2013-08-08,,,,,,,,,,,,,,,0.00,,,,,
2013-08-09,,,,,,,,,,,,,,,0.00,,,,,
2013-08-10,,,,,,,,,,,,,,,0.00,,,,,
2013-08-11,,,,,,,,,,,,,,,0.00,,,,,
2013-08-12,,,,,,,,,,,,,,,0.00,,,,,
2013-08-13,,,,,,,,,,,,,,,0.00,,,,,
2013-08-14,,,,,,,,,,,,,,,0.00,,,,,
2013-08-15,,,,,,,,,,,,,,,0.00,,,,,
2013-08-16,,,,,,,,,,,,,,,0.00,,,,,
2013-08-17,,,,,,,,,,,,,,,0.01,,,,,
2013-08-18,,,,,,,,,,,,,,,0.01,,,,,
2013-08-19,,,,,,,,,,,,,,,0.01,,,,,
2013-08-20,,,,,,,,,,,,,,,0.01,,,,,
2013-08-21,,,,,,,,,,,,,,,0.01,,,,,
2013-08-22,,,,,,,,,,,,,,,0.01,,,,,
2013-08-23,,,,,,,,,,,,,,,0.01,,,,,
2013-08-24,,,,,,,,,,,,,,,0.01,,,,,
2013-08-25,,,,,,,,,,,,,,,0.01,,,,,
2013-08-26,,,,,,,,,,,,,,,0.01,,,,,
2013-08-27,,,,,,,,,,,,,,,0.01,,,,,
2013-08-28,,,,,,,,,,,,,,,0.01,,,,,
2013-08-29,,,,,,,,,,,,,,,0.01,,,,,
2013-08-30,,,,,,,,,,,,,,,0.01,,,,,
2013-08-31,,,,,,,,,,,,,,,0.01,,,,,
2013-09-01,,,,,,,,,,,,,,,0.01,,,,,
2013-09-02,,,,,,,,,,,,,,,0.01,,,,,
2013-09-03,,,,,,,,,,,,,,,0.01,,,,,
2013-09-04,,,,,,,,,,,,,,,0.01,,,,,
2013-09-05,,,,,,,,,,,,,,,0.01,,,,,
