Date,Livepeer (#),Chainlink (#),Worldcoin (#),The Graph (#),Ethereum Name Service (#),Gitcoin (#),Render Network (#),UMA (#),Aragon (#),Kleros (#),Tornado Cash (#),Bounce Finance (#),Arkham (#),Instadapp (#)
2017-09-16,,8.00,,,,,,,,,,,,
2017-09-17,,8.00,,,,,,,,,,,,
2017-09-18,,8.00,,,,,,,,,,,,
2017-09-19,,8.00,,,,,,,,,,,,
2017-09-20,,3515.00,,,,,,,,,,,,
2017-09-21,,4351.00,,,,,,,,,,,,
2017-09-22,,4575.00,,,,,,,,,,,,
2017-09-23,,4753.00,,,,,,,,,,,,
2017-09-24,,4950.00,,,,,,,,,,,,
2017-09-25,,5123.00,,,,,,,,,,,,
2017-09-26,,5344.00,,,,,,,,,,,,
2017-09-27,,5555.00,,,,,,,,,,,,
2017-09-28,,6248.00,,,,,,,,,,,,
2017-09-29,,6613.00,,,,,,,,,,,,
2017-09-30,,7251.00,,,,,,,,,,,,
2017-10-01,,7531.00,,,,,,,,,,,,
2017-10-02,,7802.00,,,,,,,,,,,,
2017-10-03,,8014.00,,,,,,,,,,,,
2017-10-04,,8262.00,,,,,,,,,,,,
2017-10-05,,8524.00,,,,,,,,,,,,
2017-10-06,,8872.00,,,,,,,,,,,,
2017-10-07,,9152.00,,,,,,,,,,,,
2017-10-08,,9350.00,,,,,,,,,,,,
2017-10-09,,9515.00,,,,,,,,,,,,
2017-10-10,,9703.00,,,,,,,,,,,,
2017-10-11,,9893.00,,,,,,,,,,,,
2017-10-12,,10105.00,,,,,,,,,,,,
2017-10-13,,10199.00,,,,,,,,,,,,
2017-10-14,,10300.00,,,,,,,,,,,,
2017-10-15,,10417.00,,,,,,,,,,,,
2017-10-16,,10613.00,,,,,,,,,,,,
2017-10-17,,10797.00,,,,,,,,,,,,
2017-10-18,,10965.00,,,,,,,,,,,,
2017-10-19,,11157.00,,,,,,,,,,,,
2017-10-20,,11347.00,,,,,,,,,,,,
2017-10-21,,11484.00,,,,,,,,,,,,
2017-10-22,,11618.00,,,,,,,,,,,,
2017-10-23,,11839.00,,,,,,,,,,,,
2017-10-24,,12133.00,,,,,,,,,,,,
2017-10-25,,12228.00,,,,,,,,,,,,
2017-10-26,,12315.00,,,,,,,,,,,,
2017-10-27,,12408.00,,,,,,,,,,,,
2017-10-28,,12462.00,,,,,,,,,,,,
2017-10-29,,12529.00,,,,,,,,,,,,
2017-10-30,,12601.00,,,,,,,,,,,,
2017-10-31,,12666.00,,,,,,,,,,,,
2017-11-01,,12723.00,,,,,,,,,,,,
2017-11-02,,12803.00,,,,,,,,,,,,
2017-11-03,,12875.00,,,,,,,,,,,,
2017-11-04,,12937.00,,,,,,,,,,,,
2017-11-05,,12992.00,,,,,,,,,,,,
2017-11-06,,13044.00,,,,,,,,,,,,
2017-11-07,,13102.00,,,,,,,,,,,,
2017-11-08,,13202.00,,,,,,,,,,,,
2017-11-09,,13311.00,,,,,,,,,,,,
2017-11-10,,13362.00,,,,,,,,,,,,
2017-11-11,,13447.00,,,,,,,,,,,,
2017-11-12,,13527.00,,,,,,,,,,,,
2017-11-13,,13604.00,,,,,,,,,,,,
2017-11-14,,13676.00,,,,,,,,,,,,
2017-11-15,,13730.00,,,,,,,,,,,,
2017-11-16,,13812.00,,,,,,,,,,,,
2017-11-17,,13879.00,,,,,,,,,,,,
2017-11-18,,13956.00,,,,,,,,,,,,
