Date,Aave ($),Compound ($),Venus ($),BENQI ($),Morpho ($),Spark Protocol ($),TrueFi ($),Radiant Capital ($),Goldfinch ($),Euler ($),Fraxlend ($),Sonne Finance ($),Maple Finance ($),Gearbox ($),Silo Finance ($),BendDAO ($),Shoebill Finance ($)
2019-05-07,,112.93,,,,,,,,,,,,,,,
2019-05-08,,2451.25,,,,,,,,,,,,,,,
2019-05-09,,3450.17,,,,,,,,,,,,,,,
2019-05-10,,3956.53,,,,,,,,,,,,,,,
2019-05-11,,4192.20,,,,,,,,,,,,,,,
2019-05-12,,4192.20,,,,,,,,,,,,,,,
2019-05-13,,4175.92,,,,,,,,,,,,,,,
2019-05-14,,4368.88,,,,,,,,,,,,,,,
2019-05-15,,5538.02,,,,,,,,,,,,,,,
2019-05-16,,6735.72,,,,,,,,,,,,,,,
2019-05-17,,6504.82,,,,,,,,,,,,,,,
2019-05-18,,7646.40,,,,,,,,,,,,,,,
2019-05-19,,6775.07,,,,,,,,,,,,,,,
2019-05-20,,6650.97,,,,,,,,,,,,,,,
2019-05-21,,6591.35,,,,,,,,,,,,,,,
2019-05-22,,7211.74,,,,,,,,,,,,,,,
2019-05-23,,121042.41,,,,,,,,,,,,,,,
2019-05-24,,199442.06,,,,,,,,,,,,,,,
2019-05-25,,240203.28,,,,,,,,,,,,,,,
2019-05-26,,361602.92,,,,,,,,,,,,,,,
2019-05-27,,471858.29,,,,,,,,,,,,,,,
2019-05-28,,542212.93,,,,,,,,,,,,,,,
2019-05-29,,578813.61,,,,,,,,,,,,,,,
2019-05-30,,648006.23,,,,,,,,,,,,,,,
2019-05-31,,760070.68,,,,,,,,,,,,,,,
2019-06-01,,978427.49,,,,,,,,,,,,,,,
2019-06-02,,985808.79,,,,,,,,,,,,,,,
2019-06-03,,926348.68,,,,,,,,,,,,,,,
2019-06-04,,954272.73,,,,,,,,,,,,,,,
2019-06-05,,970078.43,,,,,,,,,,,,,,,
2019-06-06,,1000590.79,,,,,,,,,,,,,,,
2019-06-07,,1044497.02,,,,,,,,,,,,,,,
2019-06-08,,1015487.77,,,,,,,,,,,,,,,
2019-06-09,,1066922.28,,,,,,,,,,,,,,,
2019-06-10,,1206518.67,,,,,,,,,,,,,,,
2019-06-11,,1315000.61,,,,,,,,,,,,,,,
2019-06-12,,1404751.26,,,,,,,,,,,,,,,
2019-06-13,,1480239.76,,,,,,,,,,,,,,,
2019-06-14,,1600607.85,,,,,,,,,,,,,,,
2019-06-15,,1646497.42,,,,,,,,,,,,,,,
2019-06-16,,1715704.10,,,,,,,,,,,,,,,
2019-06-17,,1791996.28,,,,,,,,,,,,,,,
2019-06-18,,1910023.86,,,,,,,,,,,,,,,
2019-06-19,,1974603.45,,,,,,,,,,,,,,,
2019-06-20,,1994867.58,,,,,,,,,,,,,,,
2019-06-21,,2114772.07,,,,,,,,,,,,,,,
2019-06-22,,2168778.18,,,,,,,,,,,,,,,
2019-06-23,,2245913.37,,,,,,,,,,,,,,,
2019-06-24,,2228032.27,,,,,,,,,,,,,,,
2019-06-25,,2031898.97,,,,,,,,,,,,,,,
2019-06-26,,2069849.46,,,,,,,,,,,,,,,
2019-06-27,,2192938.84,,,,,,,,,,,,,,,
2019-06-28,,2350265.36,,,,,,,,,,,,,,,
2019-06-29,,2383248.10,,,,,,,,,,,,,,,
2019-06-30,,2392304.21,,,,,,,,,,,,,,,
2019-07-01,,2494242.16,,,,,,,,,,,,,,,
2019-07-02,,2533481.89,,,,,,,,,,,,,,,
2019-07-03,,3680485.90,,,,,,,,,,,,,,,
2019-07-04,,5343507.00,,,,,,,,,,,,,,,
2019-07-05,,5783532.46,,,,,,,,,,,,,,,
2019-07-06,,5784456.98,,,,,,,,,,,,,,,
2019-07-07,,5836162.42,,,,,,,,,,,,,,,
2019-07-08,,5766143.43,,,,,,,,,,,,,,,
2019-07-09,,5854549.20,,,,,,,,,,,,,,,
2019-07-10,,6222290.17,,,,,,,,,,,,,,,
2019-07-11,,6377513.26,,,,,,,,,,,,,,,
2019-07-12,,6592396.72,,,,,,,,,,,,,,,
2019-07-13,,6636018.59,,,,,,,,,,,,,,,
2019-07-14,,6641861.49,,,,,,,,,,,,,,,
2019-07-15,,5465873.80,,,,,,,,,,,,,,,
2019-07-16,,4529284.33,,,,,,,,,,,,,,,
2019-07-17,,4637556.47,,,,,,,,,,,,,,,
2019-07-18,,4764770.08,,,,,,,,,,,,,,,
2019-07-19,,4959104.26,,,,,,,,,,,,,,,
2019-07-20,,5395389.11,,,,,,,,,,,,,,,
2019-07-21,,5579340.91,,,,,,,,,,,,,,,
2019-07-22,,5618400.52,,,,,,,,,,,,,,,
2019-07-23,,5786497.86,,,,,,,,,,,,,,,
2019-07-24,,5970363.72,,,,,,,,,,,,,,,
2019-07-25,,6514160.76,,,,,,,,,,,,,,,
2019-07-26,,9167131.82,,,,,,,,,,,,,,,
2019-07-27,,9224935.96,,,,,,,,,,,,,,,
2019-07-28,,9382274.25,,,,,,,,,,,,,,,
2019-07-29,,9700913.72,,,,,,,,,,,,,,,
2019-07-30,,10487112.28,,,,,,,,,,,,,,,
2019-07-31,,11605354.63,,,,,,,,,,,,,,,
2019-08-01,,12561686.17,,,,,,,,,,,,,,,
2019-08-02,,13250485.98,,,,,,,,,,,,,,,
2019-08-03,,13918626.57,,,,,,,,,,,,,,,
2019-08-04,,14450523.27,,,,,,,,,,,,,,,
2019-08-05,,13807106.71,,,,,,,,,,,,,,,
2019-08-06,,14244587.22,,,,,,,,,,,,,,,
2019-08-07,,15775442.17,,,,,,,,,,,,,,,
2019-08-08,,16018191.61,,,,,,,,,,,,,,,
2019-08-09,,16144443.44,,,,,,,,,,,,,,,
2019-08-10,,16247105.47,,,,,,,,,,,,,,,
2019-08-11,,16342270.10,,,,,,,,,,,,,,,
2019-08-12,,16331601.98,,,,,,,,,,,,,,,
2019-08-13,,16625522.50,,,,,,,,,,,,,,,
2019-08-14,,17487516.66,,,,,,,,,,,,,,,
2019-08-15,,17196412.70,,,,,,,,,,,,,,,
2019-08-16,,17009839.17,,,,,,,,,,,,,,,
2019-08-17,,16963673.34,,,,,,,,,,,,,,,
2019-08-18,,17054610.11,,,,,,,,,,,,,,,
2019-08-19,,17187474.07,,,,,,,,,,,,,,,
2019-08-20,,17265439.43,,,,,,,,,,,,,,,
2019-08-21,,17169491.41,,,,,,,,,,,,,,,
2019-08-22,,17356636.44,,,,,,,,,,,,,,,
2019-08-23,,17499761.07,,,,,,,,,,,,,,,
2019-08-24,,17493284.17,,,,,,,,,,,,,,,
2019-08-25,,17461996.12,,,,,,,,,,,,,,,
2019-08-26,,17837433.18,,,,,,,,,,,,,,,
2019-08-27,,18154547.66,,,,,,,,,,,,,,,
2019-08-28,,18453323.06,,,,,,,,,,,,,,,
2019-08-29,,18421306.56,,,,,,,,,,,,,,,
2019-08-30,,18364242.66,,,,,,,,,,,,,,,
2019-08-31,,18370302.69,,,,,,,,,,,,,,,
2019-09-01,,18360707.20,,,,,,,,,,,,,,,
2019-09-02,,18086691.24,,,,,,,,,,,,,,,
2019-09-03,,17989933.85,,,,,,,,,,,,,,,
2019-09-04,,17558796.41,,,,,,,,,,,,,,,
2019-09-05,,17643880.51,,,,,,,,,,,,,,,
2019-09-06,,17476320.18,,,,,,,,,,,,,,,
2019-09-07,,17184715.67,,,,,,,,,,,,,,,
2019-09-08,,16549601.89,,,,,,,,,,,,,,,
2019-09-09,,16613541.51,,,,,,,,,,,,,,,
2019-09-10,,16639664.51,,,,,,,,,,,,,,,
2019-09-11,,16680612.91,,,,,,,,,,,,,,,
2019-09-12,,16778800.73,,,,,,,,,,,,,,,
2019-09-13,,17347928.44,,,,,,,,,,,,,,,
2019-09-14,,17415075.38,,,,,,,,,,,,,,,
2019-09-15,,17144295.61,,,,,,,,,,,,,,,
2019-09-16,,17673787.08,,,,,,,,,,,,,,,
2019-09-17,,18159989.83,,,,,,,,,,,,,,,
2019-09-18,,18210889.21,,,,,,,,,,,,,,,
2019-09-19,,18079197.51,,,,,,,,,,,,,,,
2019-09-20,,18496488.36,,,,,,,,,,,,,,,
2019-09-21,,19035366.58,,,,,,,,,,,,,,,
2019-09-22,,18840179.30,,,,,,,,,,,,,,,
2019-09-23,,19200878.50,,,,,,,,,,,,,,,
2019-09-24,,18749179.20,,,,,,,,,,,,,,,
2019-09-25,,18654198.23,,,,,,,,,,,,,,,
2019-09-26,,18479270.91,,,,,,,,,,,,,,,
2019-09-27,,18214342.51,,,,,,,,,,,,,,,
2019-09-28,,18089858.36,,,,,,,,,,,,,,,
2019-09-29,,17850514.32,,,,,,,,,,,,,,,
2019-09-30,,17730105.06,,,,,,,,,,,,,,,
2019-10-01,,17850155.90,,,,,,,,,,,,,,,
2019-10-02,,17673118.73,,,,,,,,,,,,,,,
2019-10-03,,17532262.07,,,,,,,,,,,,,,,
2019-10-04,,17492049.83,,,,,,,,,,,,,,,
2019-10-05,,17532489.10,,,,,,,,,,,,,,,
2019-10-06,,17621175.41,,,,,,,,,,,,,,,
2019-10-07,,17668281.66,,,,,,,,,,,,,,,
2019-10-08,,17590841.11,,,,,,,,,,,,,,,
2019-10-09,,17820495.49,,,,,,,,,,,,,,,
2019-10-10,,18062204.00,,,,,,,,,,,,,,,
2019-10-11,,17929412.90,,,,,,,,,,,,,,,
2019-10-12,,17910211.30,,,,,,,,,,,,,,,
2019-10-13,,17988675.35,,,,,,,,,,,,,,,
2019-10-14,,18042425.89,,,,,,,,,,,,,,,
2019-10-15,,18073426.85,,,,,,,,,,,,,,,
2019-10-16,,18116975.17,,,,,,,,,,,,,,,
2019-10-17,,18391450.77,,,,,,,,,,,,,,,
2019-10-18,,18195957.52,,,,,,,,,,,,,,,
2019-10-19,,18133075.33,,,,,,,,,,,,,,,
2019-10-20,,18117191.11,,,,,,,,,,,,,,,
2019-10-21,,18148198.97,,,,,,,,,,,,,,,
2019-10-22,,18199497.85,,,,,,,,,,,,,,,
2019-10-23,,18188318.31,,,,,,,,,,,,,,,
2019-10-24,,18229858.67,,,,,,,,,,,,,,,
2019-10-25,,18309078.85,,,,,,,,,,,,,,,
2019-10-26,,18073341.33,,,,,,,,,,,,,,,
2019-10-27,,17901903.33,,,,,,,,,,,,,,,
2019-10-28,,17793432.16,,,,,,,,,,,,,,,
2019-10-29,,17867678.61,,,,,,,,,,,,,,,
2019-10-30,,17843195.15,,,,,,,,,,,,,,,
2019-10-31,,17861674.98,,,,,,,,,,,,,,,
2019-11-01,,17769113.13,,,,,,,,,,,,,,,
2019-11-02,,17583981.35,,,,,,,,,,,,,,,
2019-11-03,,17269500.66,,,,,,,,,,,,,,,
2019-11-04,,17226769.07,,,,,,,,,,,,,,,
