Date,Aave ($),Compound ($),BENQI ($),Venus ($),Radiant Capital ($),TrueFi ($),Maple Finance ($),Notional Finance ($),Goldfinch ($),BendDAO ($),Euler ($),Sonne Finance ($),Silo Finance ($),Morpho ($),Shoebill Finance ($)
2020-06-15,,39176.00,,,,,,,,,,,,,
2020-06-16,,147026.56,,,,,,,,,,,,,
2020-06-17,,169704.28,,,,,,,,,,,,,
2020-06-18,,452907.81,,,,,,,,,,,,,
2020-06-19,,686094.74,,,,,,,,,,,,,
2020-06-20,,779587.87,,,,,,,,,,,,,
2020-06-21,,1040769.93,,,,,,,,,,,,,
2020-06-22,,1003453.42,,,,,,,,,,,,,
2020-06-23,,915412.16,,,,,,,,,,,,,
2020-06-24,,581941.90,,,,,,,,,,,,,
2020-06-25,,803479.13,,,,,,,,,,,,,
2020-06-26,,762484.38,,,,,,,,,,,,,
2020-06-27,,703864.68,,,,,,,,,,,,,
2020-06-28,,667161.90,,,,,,,,,,,,,
2020-06-29,,671473.47,,,,,,,,,,,,,
2020-06-30,,537161.71,,,,,,,,,,,,,
2020-07-01,,526694.25,,,,,,,,,,,,,
2020-07-02,,609793.53,,,,,,,,,,,,,
2020-07-03,,475391.69,,,,,,,,,,,,,
2020-07-04,,365175.82,,,,,,,,,,,,,
2020-07-05,,597183.49,,,,,,,,,,,,,
2020-07-06,,554864.18,,,,,,,,,,,,,
2020-07-07,,465536.64,,,,,,,,,,,,,
2020-07-08,,515342.18,,,,,,,,,,,,,
2020-07-09,,387740.50,,,,,,,,,,,,,
2020-07-10,,401351.95,,,,,,,,,,,,,
2020-07-11,,486445.51,,,,,,,,,,,,,
2020-07-12,,484769.26,,,,,,,,,,,,,
2020-07-13,,461008.62,,,,,,,,,,,,,
2020-07-14,,653892.23,,,,,,,,,,,,,
2020-07-15,,388768.63,,,,,,,,,,,,,
2020-07-16,,324520.72,,,,,,,,,,,,,
2020-07-17,,380581.44,,,,,,,,,,,,,
2020-07-18,,383643.07,,,,,,,,,,,,,
2020-07-19,,565554.80,,,,,,,,,,,,,
2020-07-20,,535442.62,,,,,,,,,,,,,
2020-07-21,,274317.66,,,,,,,,,,,,,
2020-07-22,,515913.93,,,,,,,,,,,,,
2020-07-23,,418894.76,,,,,,,,,,,,,
2020-07-24,,312146.70,,,,,,,,,,,,,
2020-07-25,,442033.72,,,,,,,,,,,,,
2020-07-26,,452271.21,,,,,,,,,,,,,
2020-07-27,,365887.27,,,,,,,,,,,,,
2020-07-28,,450202.76,,,,,,,,,,,,,
2020-07-29,,407447.77,,,,,,,,,,,,,
2020-07-30,,472443.78,,,,,,,,,,,,,
2020-07-31,,330155.95,,,,,,,,,,,,,
2020-08-01,,351439.33,,,,,,,,,,,,,
2020-08-02,,278600.19,,,,,,,,,,,,,
2020-08-03,,430020.35,,,,,,,,,,,,,
2020-08-04,,207315.40,,,,,,,,,,,,,
2020-08-05,,414655.56,,,,,,,,,,,,,
2020-08-06,,296837.70,,,,,,,,,,,,,
2020-08-07,,619621.32,,,,,,,,,,,,,
2020-08-08,,241685.43,,,,,,,,,,,,,
2020-08-09,,321675.08,,,,,,,,,,,,,
2020-08-10,,446575.35,,,,,,,,,,,,,
2020-08-11,,795706.37,,,,,,,,,,,,,
2020-08-12,,1144841.12,,,,,,,,,,,,,
2020-08-13,,371952.01,,,,,,,,,,,,,
2020-08-14,,780300.70,,,,,,,,,,,,,
2020-08-15,,202448.27,,,,,,,,,,,,,
