Date,Aave ($),Compound ($),Venus ($),BENQI ($),Maple Finance ($),TrueFi ($),Morpho ($),Radiant Capital ($),Goldfinch ($),BendDAO ($),Euler ($),Sonne Finance ($),Gearbox ($),Notional Finance ($),Shoebill Finance ($)
2019-05-07,,0.01,,,,,,,,,,,,,
2019-05-08,,0.81,,,,,,,,,,,,,
2019-05-09,,1.15,,,,,,,,,,,,,
2019-05-10,,0.17,,,,,,,,,,,,,
2019-05-11,,0.52,,,,,,,,,,,,,
2019-05-12,,0.00,,,,,,,,,,,,,
2019-05-13,,3.55,,,,,,,,,,,,,
2019-05-14,,0.98,,,,,,,,,,,,,
2019-05-15,,1.51,,,,,,,,,,,,,
2019-05-16,,0.43,,,,,,,,,,,,,
2019-05-17,,2.13,,,,,,,,,,,,,
2019-05-18,,0.36,,,,,,,,,,,,,
2019-05-19,,1.70,,,,,,,,,,,,,
2019-05-20,,0.58,,,,,,,,,,,,,
2019-05-21,,0.32,,,,,,,,,,,,,
2019-05-22,,3.17,,,,,,,,,,,,,
2019-05-23,,6.61,,,,,,,,,,,,,
2019-05-24,,17.40,,,,,,,,,,,,,
2019-05-25,,30.00,,,,,,,,,,,,,
2019-05-26,,32.77,,,,,,,,,,,,,
2019-05-27,,40.51,,,,,,,,,,,,,
2019-05-28,,71.67,,,,,,,,,,,,,
2019-05-29,,79.37,,,,,,,,,,,,,
2019-05-30,,93.11,,,,,,,,,,,,,
2019-05-31,,159.59,,,,,,,,,,,,,
2019-06-01,,205.00,,,,,,,,,,,,,
2019-06-02,,217.56,,,,,,,,,,,,,
2019-06-03,,175.83,,,,,,,,,,,,,
2019-06-04,,195.22,,,,,,,,,,,,,
2019-06-05,,156.09,,,,,,,,,,,,,
2019-06-06,,174.94,,,,,,,,,,,,,
2019-06-07,,183.65,,,,,,,,,,,,,
2019-06-08,,169.77,,,,,,,,,,,,,
2019-06-09,,189.29,,,,,,,,,,,,,
2019-06-10,,273.85,,,,,,,,,,,,,
2019-06-11,,331.90,,,,,,,,,,,,,
2019-06-12,,391.65,,,,,,,,,,,,,
2019-06-13,,439.05,,,,,,,,,,,,,
2019-06-14,,447.88,,,,,,,,,,,,,
