Date,Compound ($),Aave ($),Maple Finance ($),Venus ($),Euler ($),Goldfinch ($),Notional Finance ($),Homora ($),Centrifuge ($),TrueFi ($),dForce ($),Radiant Capital ($),Silo Finance ($),Sonne Finance ($),BENQI ($),Scallop ($),Mendi Finance ($),NAVI Protocol ($),BendDAO ($),Gearbox ($)
2020-01-17,,,,,,,,,,,0.46,,,,,,,,,
2020-01-18,,,,,,,,,,,0.49,,,,,,,,,
2020-02-03,,,,,,,,,,,0.50,,,,,,,,,
2020-02-07,,,,,,,,,,,0.50,,,,,,,,,
2020-02-10,,,,,,,,,,,0.14,,,,,,,,,
2020-02-11,,,,,,,,,,,0.13,,,,,,,,,
2020-02-12,,,,,,,,,,,0.13,,,,,,,,,
2020-02-28,,,,,,,,,,,0.15,,,,,,,,,
2020-02-29,,,,,,,,,,,0.14,,,,,,,,,
2020-03-06,,,,,,,,,,,0.17,,,,,,,,,
2020-03-13,,,,,,,,,,,0.11,,,,,,,,,
2020-03-17,,,,,,,,,,,0.11,,,,,,,,,
2020-03-18,,,,,,,,,,,0.11,,,,,,,,,
2020-03-20,,,,,,,,,,,0.11,,,,,,,,,
2020-03-22,,,,,,,,,,,0.10,,,,,,,,,
2020-03-23,,,,,,,,,,,0.10,,,,,,,,,
2020-04-04,,,,,,,,,,,0.11,,,,,,,,,
2020-04-05,,,,,,,,,,,0.15,,,,,,,,,
2020-04-06,,,,,,,,,,,0.15,,,,,,,,,
2020-04-08,,,,,,,,,,,0.17,,,,,,,,,
2020-04-09,,,,,,,,,,,0.17,,,,,,,,,
2020-04-16,,,,,,,,,,,0.18,,,,,,,,,
2020-04-17,,,,,,,,,,,0.19,,,,,,,,,
2020-04-18,,,,,,,,,,,0.22,,,,,,,,,
2020-04-20,,,,,,,,,,,0.14,,,,,,,,,
2020-04-21,,,,,,,,,,,0.14,,,,,,,,,
2020-04-22,,,,,,,,,,,0.17,,,,,,,,,
2020-04-25,,,,,,,,,,,0.19,,,,,,,,,
2020-05-08,,,,,,,,,,,0.21,,,,,,,,,
2020-05-10,,,,,,,,,,,0.19,,,,,,,,,
2020-05-11,,,,,,,,,,,0.19,,,,,,,,,
2020-05-13,,,,,,,,,,,0.20,,,,,,,,,
2020-05-19,,,,,,,,,,,0.20,,,,,,,,,
2020-05-27,,,,,,,,,,,0.22,,,,,,,,,
2020-06-05,,,,,,,,,,,0.28,,,,,,,,,
2020-06-06,,,,,,,,,,,0.26,,,,,,,,,
2020-06-11,,,,,,,,,,,0.27,,,,,,,,,
2020-06-12,,,,,,,,,,,0.27,,,,,,,,,
2020-06-15,110.06,,,,,,,,,,,,,,,,,,,
2020-06-16,75.51,,,,,,,,,,,,,,,,,,,
2020-06-17,67.31,,,,,,,,,,,,,,,,,,,
2020-06-18,147.98,,,,,,,,,,,,,,,,,,,
2020-06-19,216.10,,,,,,,,,,0.34,,,,,,,,,
2020-06-20,262.82,,,,,,,,,,0.34,,,,,,,,,
2020-06-21,328.34,,,,,,,,,,0.53,,,,,,,,,
2020-06-22,278.46,,,,,,,,,,0.37,,,,,,,,,
2020-06-23,241.21,,,,,,,,,,0.36,,,,,,,,,
2020-06-24,205.78,,,,,,,,,,0.39,,,,,,,,,
2020-06-25,227.12,,,,,,,,,,0.49,,,,,,,,,
2020-06-26,259.97,,,,,,,,,,0.42,,,,,,,,,
2020-06-27,231.00,,,,,,,,,,0.42,,,,,,,,,
2020-06-28,239.60,,,,,,,,,,0.36,,,,,,,,,
2020-06-29,230.60,,,,,,,,,,0.38,,,,,,,,,
2020-06-30,214.82,,,,,,,,,,0.36,,,,,,,,,
2020-07-01,198.65,,,,,,,,,,0.36,,,,,,,,,
2020-07-02,179.34,,,,,,,,,,0.50,,,,,,,,,
2020-07-03,169.86,,,,,,,,,,0.42,,,,,,,,,
2020-07-04,181.83,,,,,,,,,,0.34,,,,,,,,,
2020-07-05,199.44,,,,,,,,,,0.26,,,,,,,,,
2020-07-06,196.74,,,,,,,,,,0.24,,,,,,,,,
2020-07-07,185.69,,,,,,,,,,0.26,,,,,,,,,
2020-07-08,183.05,,,,,,,,,,0.27,,,,,,,,,
2020-07-09,178.80,,,,,,,,,,0.27,,,,,,,,,
2020-07-10,174.48,,,,,,,,,,0.28,,,,,,,,,
2020-07-11,178.20,,,,,,,,,,0.28,,,,,,,,,
2020-07-12,175.86,,,,,,,,,,0.28,,,,,,,,,
2020-07-13,165.18,,,,,,,,,,0.24,,,,,,,,,
2020-07-14,164.78,,,,,,,,,,0.22,,,,,,,,,
2020-07-15,160.18,,,,,,,,,,0.21,,,,,,,,,
2020-07-16,153.82,,,,,,,,,,0.23,,,,,,,,,
2020-07-17,167.20,,,,,,,,,,0.25,,,,,,,,,
2020-07-18,161.84,,,,,,,,,,0.26,,,,,,,,,
2020-07-19,162.70,,,,,,,,,,0.33,,,,,,,,,
2020-07-20,156.09,,,,,,,,,,0.41,,,,,,,,,
2020-07-21,157.40,,,,,,,,,,0.39,,,,,,,,,
2020-07-22,157.90,,,,,,,,,,0.30,,,,,,,,,
2020-07-23,156.60,,,,,,,,,,0.29,,,,,,,,,
2020-07-24,153.95,,,,,,,,,,0.31,,,,,,,,,
2020-07-25,156.36,,,,,,,,,,0.30,,,,,,,,,
2020-07-26,157.76,,,,,,,,,,0.39,,,,,,,,,
2020-07-27,135.74,,,,,,,,,,0.40,,,,,,,,,
2020-07-28,134.79,,,,,,,,,,0.33,,,,,,,,,
2020-07-29,131.26,,,,,,,,,,0.31,,,,,,,,,
2020-07-30,132.60,,,,,,,,,,0.29,,,,,,,,,
2020-07-31,135.91,,,,,,,,,,0.26,,,,,,,,,
2020-08-01,138.83,,,,,,,,,,0.29,,,,,,,,,
2020-08-02,127.08,,,,,,,,,,0.30,,,,,,,,,
2020-08-03,126.51,,,,,,,,,,0.29,,,,,,,,,
2020-08-04,131.27,,,,,,,,,,0.37,,,,,,,,,
2020-08-05,135.19,,,,,,,,,,0.36,,,,,,,,,
2020-08-06,136.64,,,,,,,,,,0.36,,,,,,,,,
2020-08-07,152.84,,,,,,,,,,0.38,,,,,,,,,
2020-08-08,152.60,,,,,,,,,,0.40,,,,,,,,,
2020-08-09,171.28,,,,,,,,,,0.41,,,,,,,,,
2020-08-10,177.24,,,,,,,,,,0.48,,,,,,,,,
2020-08-11,198.57,,,,,,,,,,0.70,,,,,,,,,
2020-08-12,214.70,,,,,,,,,,0.75,,,,,,,,,
2020-08-13,199.81,,,,,,,,,,0.69,,,,,,,,,
2020-08-14,195.06,,,,,,,,,,0.80,,,,,,,,,
2020-08-15,198.79,,,,,,,,,,0.69,,,,,,,,,
2020-08-16,199.27,,,,,,,,,,0.63,,,,,,,,,
2020-08-17,186.56,,,,,,,,,,0.69,,,,,,,,,
2020-08-18,186.50,,,,,,,,,,0.55,,,,,,,,,
2020-08-19,179.80,,,,,,,,,,0.52,,,,,,,,,
2020-08-20,178.09,,,,,,,,,,0.52,,,,,,,,,
2020-08-21,168.68,,,,,,,,,,0.55,,,,,,,,,
2020-08-22,172.55,,,,,,,,,,0.62,,,,,,,,,
2020-08-23,169.56,,,,,,,,,,0.64,,,,,,,,,
2020-08-24,180.08,,,,,,,,,,0.64,,,,,,,,,
2020-08-25,164.98,,,,,,,,,,0.75,,,,,,,,,
2020-08-26,179.19,,,,,,,,,,0.69,,,,,,,,,
2020-08-27,170.23,,,,,,,,,,0.71,,,,,,,,,
2020-08-28,192.06,,,,,,,,,,0.64,,,,,,,,,
2020-08-29,195.14,,,,,,,,,,0.69,,,,,,,,,
2020-08-30,214.67,,,,,,,,,,0.77,,,,,,,,,
