Date,MakerDAO (#),Abracadabra.money (#),Liquity (#),Vesta Finance (#),Prisma Finance (#),Lybra Finance (#),Origin DeFi (#),Ethena (#)
11/3/2021,169,1152,48,,,20,0,
11/4/2021,129,1503,46,,,26,1,
11/5/2021,103,1593,37,,,31,0,
11/6/2021,114,1063,46,,,20,3,
11/7/2021,115,1178,69,,,18,2,
11/8/2021,174,1401,68,,,13,1,
11/9/2021,107,1242,38,,,11,3,
11/10/2021,130,1515,46,,,13,2,
11/11/2021,119,1012,32,,,6,18,
11/12/2021,122,1320,32,,,11,7,
11/13/2021,92,997,46,,,9,5,
11/14/2021,99,884,37,,,3,6,
11/15/2021,110,1095,26,,,3,7,
11/16/2021,232,2050,59,,,2,8,
11/17/2021,200,1597,41,,,4,0,
11/18/2021,210,1741,50,,,0,7,
11/19/2021,146,1067,51,,,3,2,
11/20/2021,139,1695,33,,,4,8,
11/21/2021,112,1209,26,,,3,5,
11/22/2021,130,989,34,,,4,4,
11/23/2021,108,1080,21,,,0,5,
11/24/2021,107,1788,25,,,6,5,
11/25/2021,127,1098,34,,,13,9,
11/26/2021,204,1819,43,,,5,8,
11/27/2021,114,1026,22,,,13,6,
11/28/2021,122,1158,30,,,33,4,
11/29/2021,130,788,31,,,21,14,
11/30/2021,143,1162,43,,,22,9,
12/1/2021,148,854,31,,,18,5,
12/2/2021,113,980,32,,,26,8,
12/3/2021,140,1782,24,,,29,5,
12/4/2021,404,2559,87,,,28,7,
12/5/2021,184,1232,27,,,45,8,
12/6/2021,183,2138,33,,,63,15,
12/7/2021,140,1180,42,,,52,12,
12/8/2021,130,1182,28,,,78,9,
12/9/2021,127,3586,39,,,39,13,
12/10/2021,184,1607,35,,,39,6,
12/11/2021,128,894,27,,,22,12,
12/12/2021,114,678,33,,,21,9,
12/13/2021,202,1959,62,,,29,9,
12/14/2021,182,3447,42,,,23,15,
12/15/2021,152,1952,32,,,32,8,
12/16/2021,78,985,23,,,30,12,
12/17/2021,119,901,31,,,18,7,
12/18/2021,120,1093,21,,,17,14,
12/19/2021,89,776,22,,,21,10,
12/20/2021,111,755,31,,,49,11,
12/21/2021,112,1158,26,,,13,14,
12/22/2021,94,1181,28,,,18,5,
12/23/2021,101,926,21,,,8,3,
12/24/2021,86,1004,33,,,37,6,
