Date,Tether (#),Paxos (#),Frax Stablecoin (#),Archblock (#),Lybra Finance (#),Gemini (#),Inverse Finance (#),Aave GHO (#),MakerDAO (#),Origin DeFi (#),Circle (#),Reflexer (#),Angle (#),Liquity (#),Abracadabra.money (#),Monerium (#),Raft (#),Membrane Finance (#),Prisma Finance (#),Ethena (#)
11/3/2021,,,,,,,,,40,7,6,6,4,5,2,3,,,,
11/4/2021,,,,,,,,,40,6,6,6,4,5,2,3,,,,
11/5/2021,,,,,,,,,40,6,6,6,4,5,2,3,,,,
11/6/2021,,,,,,,,,41,6,6,6,4,5,2,3,,,,
11/7/2021,,,,,,,,,40,6,6,6,4,5,2,3,,,,
11/8/2021,,,,,,,,,41,6,6,6,4,5,2,3,,,,
11/9/2021,,,,,,,,,42,6,6,6,4,5,2,3,,,,
11/10/2021,,,,,,,,,41,6,6,6,4,5,2,2,,,,
11/11/2021,,,,,,,,,39,7,6,6,5,5,2,2,,,,
11/12/2021,,,,,,,,,37,7,6,6,5,4,2,2,,,,
11/13/2021,,,,,,,,,37,7,6,6,5,4,2,2,,,,
11/14/2021,,,,,,,,,35,8,6,6,5,4,2,2,,,,
11/15/2021,,,,,,,,,36,8,6,6,5,4,2,2,,,,
11/16/2021,,,,,,,,,38,8,5,6,5,4,2,2,,,,
11/17/2021,,,,,,,,,38,8,5,6,5,4,2,2,,,,
11/18/2021,,,,,,,,,38,8,5,6,5,4,2,2,,,,
11/19/2021,,,,,,,,,39,8,6,6,5,3,2,2,,,,
11/20/2021,,,,,,,,,38,8,6,5,5,3,2,2,,,,
11/21/2021,,,,,,,,,37,8,6,5,5,3,2,2,,,,
11/22/2021,,,,,,,,,37,9,6,5,5,4,2,2,,,,
11/23/2021,,,,,,,,,37,9,6,5,5,4,2,2,,,,
11/24/2021,,,,,,,,,38,9,6,5,5,4,2,2,,,,
11/25/2021,,,,,,,,,38,9,6,5,5,4,2,2,,,,
11/26/2021,,,,,,,,,38,9,6,5,5,4,2,2,,,,
11/27/2021,,,,,,,,,38,9,6,5,5,4,3,2,,,,
11/28/2021,,,,,,,,,37,9,6,5,5,4,3,2,,,,
11/29/2021,,,,,,,,,38,9,6,5,5,4,3,2,,,,
11/30/2021,,,,,,,,,39,10,6,5,5,4,3,2,,,,
12/1/2021,,,,,,,,,39,10,6,5,5,4,3,2,,,,
12/2/2021,,,,,,,,,38,10,6,5,5,4,3,2,,,,
12/3/2021,,,,,,,,,38,10,6,5,6,3,3,0,,,,
12/4/2021,,,,,,,,,38,10,6,5,6,3,3,0,,,,
12/5/2021,,,,,,,,,38,10,6,5,6,3,3,0,,,,
12/6/2021,,,,,,,,,39,10,6,5,6,3,3,0,,,,
12/7/2021,,,,,,,,,39,10,6,5,6,3,4,0,,,,
12/8/2021,,,,,,,,,40,10,8,6,6,3,4,0,,,,
12/9/2021,,,,,,,,,40,10,8,6,6,3,4,0,,,,
12/10/2021,,,,,,,,,41,10,9,6,6,3,4,0,,,,
12/11/2021,,,,,,,,,40,10,9,6,6,3,4,0,,,,
12/12/2021,,,,,,,,,40,10,9,6,6,3,4,0,,,,
12/13/2021,,,,,,,,,40,9,9,6,6,3,4,0,,,,
12/14/2021,,,,,,,,,40,8,9,6,6,3,4,0,,,,
12/15/2021,,,,,,,,,40,9,9,6,6,3,4,0,,,,
12/16/2021,,,,,,,,,39,9,9,6,6,2,4,0,,,,
12/17/2021,,,,,,,,,39,9,9,6,6,2,4,0,,,,
12/18/2021,,,,,,,,,39,9,9,6,6,2,4,0,,,,
12/19/2021,,,,,,,,,39,9,8,6,6,2,4,0,,,,
12/20/2021,,,,,,,,,41,9,8,6,6,2,4,0,,,,
12/21/2021,,,,,,,,,41,9,8,6,6,2,4,0,,,,
12/22/2021,,,,,,,,,41,7,8,6,6,1,4,0,,,,
12/23/2021,,,,,,,,,42,7,8,6,6,1,4,0,,,,
12/24/2021,,,,,,,,,41,6,8,6,6,1,4,0,,,,
12/25/2021,,,,,,,,,41,6,8,6,6,1,4,0,,,,
12/26/2021,,,,,,,,,40,6,8,6,6,1,4,0,,,,
12/27/2021,,,,,,,,,39,6,8,6,6,1,4,0,,,,
12/28/2021,,,,,,,,,39,6,8,6,6,1,4,0,,,,
12/29/2021,,,,,,,,,38,6,8,6,6,1,4,0,,,,
12/30/2021,,,,,,,,,38,5,8,6,6,2,4,0,,,,
12/31/2021,,,,,,,,,38,6,8,6,6,2,4,0,,,,
1/1/2022,,,,,,,,,37,7,8,6,6,2,4,0,,,,
1/2/2022,,,,,,,,,36,8,7,5,6,2,4,0,,,,
1/3/2022,,,,,,,,,37,8,7,5,6,2,4,0,,,,
1/4/2022,,,,,,,,,38,8,7,5,6,2,4,0,,,,
1/5/2022,,,,,,,,,38,8,7,5,6,2,4,0,,,,
1/6/2022,,,,,,,,,38,8,7,5,6,2,4,0,,,,
1/7/2022,,,,,,,,,38,8,6,4,6,2,4,0,,,,
1/8/2022,,,,,,,,,37,8,6,4,6,2,4,0,,,,
1/9/2022,,,,,,,,,36,8,6,4,6,2,4,0,,,,
1/10/2022,,,,,,,,,37,9,6,4,7,2,4,0,,,,
1/11/2022,,,,,,,,,39,9,6,4,7,2,4,0,,,,
1/12/2022,,,,,,,,,39,9,5,4,7,2,4,0,,,,
1/13/2022,,,,,,,,,40,8,5,4,7,2,4,0,,,,
1/14/2022,,,,,,,,,40,8,7,4,7,2,4,0,,,,
1/15/2022,,,,,,,,,40,8,7,4,7,2,4,0,,,,
1/16/2022,,,,,,,,,39,8,7,4,7,2,4,0,,,,
1/17/2022,,,,,,,,,39,8,7,5,7,2,4,0,,,,
1/18/2022,,,,,,,,,39,8,7,5,7,2,4,0,,,,
1/19/2022,,,,,,,,,38,8,7,5,7,4,4,0,,,,
1/20/2022,,,,,,,,,37,7,7,5,7,4,4,0,,,,
1/21/2022,,,,,,,,,37,7,7,5,7,4,4,1,,,,
1/22/2022,,,,,,,,,37,7,7,5,7,4,4,1,,,,
1/23/2022,,,,,,,,,37,7,7,5,7,4,4,1,,,,
1/24/2022,,,,,,,,,37,7,7,5,7,4,4,1,,,,
1/25/2022,,,,,,,,,38,7,8,5,7,4,4,1,,,,
1/26/2022,,,,,,,,,38,8,8,5,7,4,4,1,,,,
1/27/2022,,,,,,,,,39,9,8,6,7,4,4,1,,,,
1/28/2022,,,,,,,,,39,9,7,6,7,4,4,1,,,,
1/29/2022,,,,,,,,,38,9,7,6,7,3,4,1,,,,
1/30/2022,,,,,,,,,38,9,7,6,7,3,4,1,,,,
1/31/2022,,,,,,,,,38,9,7,6,7,3,4,1,,,,
2/1/2022,,,,,,,,,38,9,8,6,7,3,4,2,,,,
2/2/2022,,,,,,,,,39,9,8,6,7,3,4,2,,,,
2/3/2022,,,,,,,,,39,9,7,6,7,3,4,2,,,,
2/4/2022,,,,,,,,,39,9,7,6,7,3,4,2,,,,
2/5/2022,,,,,,,,,38,9,7,6,7,3,4,2,,,,
2/6/2022,,,,,,,,,38,9,7,6,7,3,4,2,,,,
2/7/2022,,,,,,,,,38,9,7,6,8,3,7,2,,,,
2/8/2022,,,,,,,,,38,9,8,6,8,3,10,2,,,,
2/9/2022,,,,,,,,,38,9,8,6,7,3,10,2,,,,
2/10/2022,,,,,,,,,38,9,8,6,7,3,11,2,,,,
2/11/2022,,,,,,,,,36,8,8,6,7,4,11,2,,,,
2/12/2022,,,,,,,,,33,8,8,6,7,4,11,2,,,,
2/13/2022,,,,,,,,,34,8,6,6,7,4,11,2,,,,
2/14/2022,,,,,,,,,34,8,6,6,7,4,11,2,,,,
2/15/2022,,,,,,,,,35,9,6,6,7,4,11,2,,,,
2/16/2022,,,,,,,,,35,8,9,6,7,4,11,2,,,,
2/17/2022,,,,,,,,,36,9,10,6,7,4,11,2,,,,
2/18/2022,,,,,,,,,36,9,11,6,8,3,11,2,,,,
2/19/2022,,,,,,,,,36,9,11,5,8,4,11,2,,,,
2/20/2022,,,,,,,,,35,9,11,5,8,4,11,2,,,,
2/21/2022,,,,,,,,,35,11,11,5,8,4,11,2,,,,
2/22/2022,,,,,,,,,37,11,11,5,8,4,11,2,,,,
2/23/2022,,,,,,,,,39,11,11,5,8,4,11,2,,,,
2/24/2022,,,,,,,,,40,11,10,5,8,4,11,2,,,,
2/25/2022,,,,,,,,,40,11,10,6,8,4,11,2,,,,
2/26/2022,,,,,,,,,39,11,10,5,8,4,11,2,,,,
2/27/2022,,,,,,,,,39,11,10,5,8,4,11,2,,,,
2/28/2022,,,,,,,,,39,11,10,5,8,5,11,2,,,,
3/1/2022,,,,,,,,,39,11,11,5,8,5,10,2,,,,
3/2/2022,,,,,,,,,39,11,14,5,8,5,10,2,,,,
3/3/2022,,,,,,,,,39,10,15,5,8,5,10,1,,,,
3/4/2022,,,,,,,,,40,11,17,5,8,5,10,2,,,,
3/5/2022,,,,,,,,,38,11,17,5,8,5,10,2,,,,
3/6/2022,,,,,,,,,38,11,17,5,8,5,10,2,,,,
3/7/2022,,,,,,,,,39,12,17,5,9,6,10,2,,,,
3/8/2022,,,,,,,,,39,12,17,5,9,6,10,2,,,,
3/9/2022,,,,,,,,,40,12,17,5,9,6,10,2,,,,
3/10/2022,,,,,,,,,42,13,16,5,9,6,8,2,,,,
3/11/2022,,,,,,,,,42,13,16,5,9,6,8,2,,,,
3/12/2022,,,,,,,,,42,13,16,5,9,6,7,2,,,,
3/13/2022,,,,,,,,,42,13,16,5,9,6,7,2,,,,
3/14/2022,,,,,,,,,43,13,16,5,9,6,7,2,,,,
3/15/2022,,,,,,,,,42,14,16,5,9,6,7,2,,,,
3/16/2022,,,,,,,,,42,14,16,5,9,6,7,2,,,,
3/17/2022,,,,,,,,,41,14,15,5,9,6,7,2,,,,
3/18/2022,,,,,,,,,41,13,13,5,9,6,8,2,,,,
3/19/2022,,,,,,,,,40,12,11,5,9,6,8,2,,,,
3/20/2022,,,,,,,,,40,12,11,5,9,6,8,2,,,,
3/21/2022,,,,,,,,,40,12,11,5,9,5,8,2,,,,
3/22/2022,,,,,,,,,40,12,11,5,9,5,8,2,,,,
3/23/2022,,,,,,,,,40,11,10,5,9,5,8,2,,,,
3/24/2022,,,,,,,,,39,11,11,5,9,5,7,2,,,,
3/25/2022,,,,,,,,,38,11,11,5,9,5,7,2,,,,
3/26/2022,,,,,,,,,38,11,11,5,9,5,7,2,,,,
3/27/2022,,,,,,,,,39,10,11,5,9,5,7,2,,,,
3/28/2022,,,,,,,,,40,11,11,5,9,5,7,2,,,,
3/29/2022,,,,,,,,,41,11,11,5,9,5,7,2,,,,
3/30/2022,,,,,,,,,41,11,13,5,9,4,7,2,,,,
3/31/2022,,,,,,,,,41,11,13,5,9,4,7,2,,,,
4/1/2022,,,,,,,,,42,11,11,5,9,4,7,2,,,,
4/2/2022,,,,,,,,,43,12,9,5,9,4,7,2,,,,
4/3/2022,,,,,,,,,43,11,9,5,9,4,7,2,,,,
4/4/2022,,,,,,,,,44,11,9,5,9,4,7,2,,,,
4/5/2022,,,,,,,,,46,11,9,5,9,4,7,2,,,,
4/6/2022,,,,,,,,,46,10,9,5,8,4,7,2,,,,
4/7/2022,,,,,,,,,46,10,10,5,8,4,7,2,,,,
4/8/2022,,,,,,,,,47,10,9,5,8,4,7,2,,,,
4/9/2022,,,,,,,,,46,10,9,5,8,4,7,2,,,,
4/10/2022,,,,,,,,,45,10,9,5,8,4,7,2,,,,
4/11/2022,,,,,,,,,45,10,10,5,8,4,7,2,,,,
