Date,MakerDAO ($),Ethena ($),Abracadabra.money ($),Vesta Finance ($),Origin DeFi ($),Reflexer ($),Liquity ($)
11/3/2021,69510.27,,-137281.46,,550.46,300.34,-6694.15
11/4/2021,287945.93,,-540015.99,,389.81,-226295.33,-139455.8
11/5/2021,154643.26,,106863.62,,276.8,-10834.06,-146208.71
11/6/2021,263353.92,,-240880.44,,399.68,-23254.81,-951699.09
11/7/2021,249763.14,,-130447.54,,879.82,-11273.52,-2428498.53
11/8/2021,259873.16,,-607339.31,,2349.8,-6453.06,-112109.08
11/9/2021,277767.39,,-241851.64,,359.93,1187.97,-227915.94
11/10/2021,-40965.24,,-238854.24,,428.91,559.61,-199204.41
11/11/2021,332439.17,,-76508.73,,728.63,-5866.94,-172298.9
11/12/2021,353075.31,,-35874.08,,285.3,1197.15,-271266.34
11/13/2021,337571.48,,547941.87,,688.21,996.77,-155457.29
11/14/2021,326802.67,,-407643.78,,266.26,-51.18,-442165.35
11/15/2021,535322.24,,-171957.3,,771.02,1197.15,-491814.41
11/16/2021,570250.51,,337736.85,,537.81,-23958.22,-132883.29
11/17/2021,395605.73,,2004611.41,,581.19,-10338.21,-214541.03
11/18/2021,385935.53,,-184530.94,,1483.97,-441241.23,-145406.25
11/19/2021,285955.21,,-59764.57,,807.36,-104157.6,-8913.34
11/20/2021,376465.24,,195613.24,,1007.46,-246847.58,-160691.87
11/21/2021,344256.85,,-67962.14,,216.24,-133746.11,-301024.34
11/22/2021,212483.29,,-425320.32,,1040.09,-17059.17,-2043423.53
11/23/2021,594658.85,,20604.73,,1944.57,-74687.43,-150852.29
11/24/2021,387793.11,,290672.48,,1629.88,-32453.08,-115802.48
11/25/2021,429615.98,,47483.94,,829.41,-49347.81,-107213.18
11/26/2021,53644.31,,379349,,1059.7,-81911.2,-71791.35
11/27/2021,372322.83,,49577.02,,1240.13,-1948.42,-198103.02
11/28/2021,468819.27,,37291.73,,2388.92,-23226.08,-158829.66
11/29/2021,-516495.96,,111792.32,,1850.69,-129231.6,-233099.17
11/30/2021,320103.82,,1962047.06,,2187.18,-44481.22,-510280.01
12/1/2021,152842.9,,96996.03,,1712.42,-389.59,-247968.3
12/2/2021,367455.83,,630761.74,,748.44,-1318.76,-27897.54
12/3/2021,382993.54,,163794.24,,1795.08,-18270.45,-194046.93
