Date,,,,,,,,,,,MakerDAO ($),Abracadabra.money ($),Liquity ($),Ethena ($),Origin DeFi ($),Reflexer ($),Vesta Finance ($),Angle ($)
11/2/2021,238146.21,56233.75,367692.66,,6422.96,1197.15,,,,,,,,,,,,
11/3/2021,252017.84,74515.97,128079.15,,5504.65,1197.15,,,,,,,,,,,,
11/4/2021,288886.88,234366.41,154726.74,,3898.13,1197.15,,,,,,,,,,,,
11/5/2021,260450.15,587930.48,85304.81,,2768.02,1197.15,,,,,,,,,,,,
11/6/2021,263386.99,218714.41,37891.72,,3996.77,1197.15,,,,,,,,,,,,
11/7/2021,249779.87,146332.57,208396.09,,8798.21,1197.15,,,,,,,,,,,,
11/8/2021,259892.81,334092.18,93575.7,,23497.96,1197.15,,,,,,,,,,,,
11/9/2021,277786.78,83472,26079.96,,3599.31,1197.15,,,,,,,,,,,,
11/10/2021,318657.25,346309.44,94556.12,,4289.07,1197.15,,,,,,,,,,,,
11/11/2021,332769.78,145413.47,8936.6,,7286.34,1197.15,,,,,,,,,,,,
11/12/2021,353091.31,105107.18,37709.65,,2852.99,1197.15,,,,,,,,,,,,
11/13/2021,337591.31,784445.16,25867.23,,6882.12,1197.15,,,,,,,,,,,,
11/14/2021,326816.28,190323.44,23556.69,,2662.59,1197.15,,,,,,,,,,,,
11/15/2021,535342.71,227466.52,10737.37,,7710.17,1197.15,,,,,,,,,,,,
11/16/2021,603314.03,490624.35,97155.57,,5378.08,1197.15,,,,,,,,,,,,
11/17/2021,396748.69,2185025.96,28539.65,,5811.92,1197.15,,,,,,,,,,,,
11/18/2021,386983.64,177446.32,119876.17,,14839.74,1197.15,,,,,,,,,,,,
11/19/2021,360324.31,125605.14,223360.04,,8073.58,1197.15,,,,,,,,,,,,
11/20/2021,376482.64,373206.23,124673.48,,10074.64,1197.15,,,,,,,,,,,,
11/21/2021,344272.35,109217.58,25449.67,,2162.41,1197.15,,,,,,,,,,,,
11/22/2021,398823.05,115130.05,12334.52,,10400.9,1197.15,,,,,,,,,,,,
11/23/2021,604135.38,168311.22,107529.99,,19445.66,1197.15,,,,,,,,,,,,
11/24/2021,404888.19,903031.17,24157.05,,16298.82,1197.15,,,,,,,,,,,,
11/25/2021,431446.66,200883.42,148469.62,,8294.1,1197.15,,,,,,,,,,,,
11/26/2021,520678.17,476886.28,74000.82,,10596.98,1197.15,,,,,,,,,,,,
11/27/2021,372943.06,155268.55,24558.9,,12401.34,1197.15,,,,,,,,,,,,
11/28/2021,469449.66,148282.38,84650.54,,23889.24,1197.15,,,,,,,,,,,,
11/29/2021,390908.31,180712.9,26909.64,,18506.88,1197.15,,,,,,,,,,,,
11/30/2021,387648.56,2281632.66,15208.59,,21871.75,1197.15,,,,,,,,,,,,
12/1/2021,394423.14,175238.58,23363.68,,17124.2,1197.15,,,,,,,,,,,,
12/2/2021,367477.81,685969.08,32570.46,,7484.35,1197.15,,,,,,,,,,,,
12/3/2021,466853.06,698912.84,10566.83,,17950.76,1197.15,,,,,,,,,,,,
12/4/2021,2095493.35,357401.27,64821.62,,16748.28,1197.15,,,,,,,,,,,,
12/5/2021,428106.03,1296196.68,24339.47,,28981.09,1197.15,,,,,,,,,,,,
12/6/2021,375975.32,359605.51,64458.75,,19618.71,1197.15,,,,,,,,,,,,
12/7/2021,396845.8,182516.03,30598.08,,30247.27,1197.15,,,,,,,,,,,,
12/8/2021,374371.41,271845.29,9479.81,,17126.37,1197.15,,,,,,,,,,,,
12/9/2021,408466.29,2678368.63,58105.05,,11829.06,1197.15,,,,,,,,,,,,
12/10/2021,357158.34,564943.28,52291.38,,27931.86,1197.15,,,,,,,,,,,,
12/11/2021,409716.48,149335.92,12429.26,,19520.95,1197.15,,,,,,,,,,,,
12/12/2021,441757.54,175514.66,49141.84,,28431.56,1197.15,,,,,,,,,,,,
12/13/2021,405080.13,240132.6,61170.54,,9268.99,1197.15,,,,,,,,,,,,
12/14/2021,542543.53,344621.6,9723.07,,17991.3,1197.15,,,,,,,,,,,,
12/15/2021,406183.31,226252.48,96478.9,,17160.78,1197.15,,,,,,,,,,,,
12/16/2021,394113.96,130934.64,6355.3,,17023.87,1197.15,,,,,,,,,,,,
12/17/2021,355475.75,183615.71,2681.75,,16672.8,1197.15,,,,,,,,,,,,
12/18/2021,437897.99,1757132.95,72593.64,,16910.8,1197.15,,,,,,,,,,,,
12/19/2021,420182.23,200671.73,4677.22,,0,1197.15,,,,,,,,,,,,
12/20/2021,367016.85,215709.24,83275.04,,0,1197.15,,,,,,,,,,,,
12/21/2021,409577.65,4243384.36,4498.58,,36411.52,1197.15,,,,,,,,,,,,
12/22/2021,401170.21,198408.22,130525.64,,11650.68,1197.15,,,,,,,,,,,,
12/23/2021,367424.1,249885.38,64615.62,,11671.94,1197.15,,,,,,,,,,,,
12/24/2021,433188.51,198839.96,25414.82,,12272.4,1197.15,,,,,,,,,,,,
12/25/2021,396216.2,229327.44,28506.85,,19815.72,1197.15,,,,,,,,,,,,
12/26/2021,331336.74,179870.12,15886.44,,15143.82,1197.15,,,,,,,,,,,,
12/27/2021,460617.38,247064.31,5065.39,,8004.36,1197.15,,,,,,,,,,,,
12/28/2021,366441.46,266545.91,3173.09,,4895.12,1197.15,,,,,,,,,,,,
12/29/2021,384305.18,218302.97,35149.24,,7598.51,1197.15,,,,,,,,,,,,
12/30/2021,401365.68,609798.76,25576.89,,8312.52,1197.15,,,,,,,,,,,,
12/31/2021,458303.8,302083.07,34632.09,,8200.46,1197.15,,,,,,,,,,,,
1/1/2022,389669.36,1174219.91,6703.93,,7808.12,1197.15,,,,,,,,,,,,
1/2/2022,338424.77,275275.29,5534.48,,219297.56,1197.15,,,,,,,,,,,,
1/3/2022,433560.21,328349.04,9915.39,,7169.51,1197.15,,,,,,,,,,,,
