Date,MakerDAO ($),Reflexer ($),Liquity ($),Vesta Finance ($),Lybra Finance ($),Prisma Finance ($),Angle ($),Origin DeFi ($),Abracadabra.money ($),Raft ($)
5/18/2020,328.56,,,,,,,,,
5/19/2020,322.52,,,,,,,,,
5/20/2020,324.51,,,,,,,,,
5/21/2020,312.99,,,,,,,,,
5/22/2020,319.54,,,,,,,,,
5/23/2020,334.77,,,,,,,,,
5/24/2020,330.27,,,,,,,,,
5/25/2020,340.7,,,,,,,,,
5/26/2020,342.31,,,,,,,,,
5/27/2020,343.95,,,,,,,,,
5/28/2020,347.25,,,,,,,,,
5/29/2020,485.67,,,,,,,,,
5/30/2020,515.68,,,,,,,,,
5/31/2020,456.59,,,,,,,,,
6/1/2020,467.37,,,,,,,,,
6/2/2020,443.57,,,,,,,,,
6/3/2020,431.01,,,,,,,,,
6/4/2020,420.7,,,,,,,,,
6/5/2020,478.41,,,,,,,,,
6/6/2020,495.7,,,,,,,,,
6/7/2020,540.83,,,,,,,,,
6/8/2020,556.73,,,,,,,,,
6/9/2020,695.7,,,,,,,,,
6/10/2020,669.18,,,,,,,,,
6/11/2020,604.41,,,,,,,,,
6/12/2020,596.43,,,,,,,,,
6/13/2020,546.67,,,,,,,,,
6/14/2020,499.63,,,,,,,,,
6/15/2020,552.17,,,,,,,,,
6/16/2020,544.91,,,,,,,,,
6/17/2020,536.38,,,,,,,,,
6/18/2020,526.44,,,,,,,,,
6/19/2020,516.22,,,,,,,,,
6/20/2020,521.83,,,,,,,,,
6/21/2020,509.09,,,,,,,,,
6/22/2020,523.31,,,,,,,,,
6/23/2020,491.5,,,,,,,,,
6/24/2020,483.48,,,,,,,,,
6/25/2020,465.32,,,,,,,,,
6/26/2020,453.37,,,,,,,,,
6/27/2020,440.81,,,,,,,,,
6/28/2020,447.88,,,,,,,,,
6/29/2020,455.48,,,,,,,,,
6/30/2020,450.98,,,,,,,,,
7/1/2020,445.99,,,,,,,,,
7/2/2020,436.47,,,,,,,,,
7/3/2020,444.91,,,,,,,,,
7/4/2020,494.9,,,,,,,,,
7/5/2020,464.77,,,,,,,,,
7/6/2020,472.21,,,,,,,,,
