Date,MakerDAO ($),Abracadabra.money ($),Liquity ($),Ethena ($),Origin DeFi ($),Reflexer ($),Vesta Finance ($),Angle ($)
11/3/2021,252017.84,74515.97,128079.15,,550.46,1197.15,,
11/4/2021,288886.88,234366.41,154726.74,,389.81,1197.15,,
11/5/2021,260450.15,587930.48,85304.81,,276.8,1197.15,,
11/6/2021,263386.99,218714.41,37891.72,,399.68,1197.15,,
11/7/2021,249779.87,146332.57,208396.09,,879.82,1197.15,,
11/8/2021,259892.81,334092.18,93575.7,,2349.8,1197.15,,
11/9/2021,277786.78,83472,26079.96,,359.93,1197.15,,
11/10/2021,318657.25,346309.44,94556.12,,428.91,1197.15,,
11/11/2021,332769.78,145413.47,8936.6,,728.63,1197.15,,
11/12/2021,353091.31,105107.18,37709.65,,285.3,1197.15,,
11/13/2021,337591.31,784445.16,25867.23,,688.21,1197.15,,
11/14/2021,326816.28,190323.44,23556.69,,266.26,1197.15,,
11/15/2021,535342.71,227466.52,10737.37,,771.02,1197.15,,
11/16/2021,603314.03,490624.35,97155.57,,537.81,1197.15,,
11/17/2021,396748.69,2185025.96,28539.65,,581.19,1197.15,,
11/18/2021,386983.64,177446.32,119876.17,,1483.97,1197.15,,
11/19/2021,360324.31,125605.14,223360.04,,807.36,1197.15,,
11/20/2021,376482.64,373206.23,124673.48,,1007.46,1197.15,,
11/21/2021,344272.35,109217.58,25449.67,,216.24,1197.15,,
11/22/2021,398823.05,115130.05,12334.52,,1040.09,1197.15,,
11/23/2021,604135.38,168311.22,107529.99,,1944.57,1197.15,,
11/24/2021,404888.19,903031.17,24157.05,,1629.88,1197.15,,
11/25/2021,431446.66,200883.42,148469.62,,829.41,1197.15,,
11/26/2021,520678.17,476886.28,74000.82,,1059.7,1197.15,,
11/27/2021,372943.06,155268.55,24558.9,,1240.13,1197.15,,
11/28/2021,469449.66,148282.38,84650.54,,2388.92,1197.15,,
11/29/2021,390908.31,180712.9,26909.64,,1850.69,1197.15,,
11/30/2021,387648.56,2281632.66,15208.59,,2187.18,1197.15,,
12/1/2021,394423.14,175238.58,23363.68,,1712.42,1197.15,,
12/2/2021,367477.81,685969.08,32570.46,,748.44,1197.15,,
12/3/2021,466853.06,698912.84,10566.83,,1795.08,1197.15,,
12/4/2021,2095493.35,357401.27,64821.62,,1674.83,1197.15,,
