Date,Liquity ($),Abracadabra.money ($),Reflexer ($),Angle ($),Origin DeFi ($),Vesta Finance ($),MakerDAO ($)
11/3/2021,134773.3,211797.42,896.82,,,,0
11/4/2021,294182.54,774382.4,227492.48,,,,0
11/5/2021,231513.52,481066.87,12031.21,,,,0
11/6/2021,989590.81,459594.85,24451.97,,,,0
11/7/2021,2636894.62,276780.11,12470.67,,,,0
11/8/2021,205684.77,941431.5,7650.22,,,,0
11/9/2021,253995.9,325323.64,9.18,,,,0
11/10/2021,293760.52,585163.68,637.54,,,,0
11/11/2021,181235.5,221922.2,7064.1,,,,0
11/12/2021,308975.99,140981.26,0,,,,0
11/13/2021,181324.53,236503.29,200.38,,,,0
11/14/2021,465722.04,597967.21,1248.33,,,,0
11/15/2021,502551.78,399423.82,0,,,,0
11/16/2021,230038.87,152887.51,25155.37,,,,0
11/17/2021,243080.67,180414.54,11535.36,,,,0
11/18/2021,265282.42,361977.26,442438.38,,,,0
11/19/2021,232273.38,185369.71,105354.75,,,,0
11/20/2021,285365.35,177592.99,248044.73,,,,0
11/21/2021,326474.01,177179.72,134943.27,,,,0
11/22/2021,2055758.05,540450.38,18256.32,,,,0
11/23/2021,258382.28,147706.48,75884.58,,,,0
11/24/2021,139959.53,612358.69,33650.23,,,,0
11/25/2021,255682.8,153399.48,50544.96,,,,0
11/26/2021,145792.17,97537.28,83108.35,,,,0
11/27/2021,222661.92,105691.52,3145.57,,,,0
11/28/2021,243480.2,110990.65,24423.24,,,,0
11/29/2021,260008.81,68920.59,130428.75,,,,0
11/30/2021,525488.59,319585.6,45678.37,,,,0
12/1/2021,271331.98,78242.54,1586.74,,,,0
12/2/2021,60468,55207.34,2515.91,,,,0
12/3/2021,204613.76,535118.59,19467.6,,,,0
12/4/2021,792522.77,37772.19,2679.24,,,,0
12/5/2021,153079.76,46810.19,5800.67,,,,0
12/6/2021,93670.54,101476.58,18463.04,,,,0
12/7/2021,359860.12,268133.79,1377360.88,,,,0
12/8/2021,185431.49,151844.53,22692.52,,,,0
12/9/2021,186460.29,321162.78,11612.28,,,,0
12/10/2021,201277.69,44105.4,7376.37,,,,0
12/11/2021,480527.67,83725.33,3442.52,,,,0
12/12/2021,1213256.74,66945.62,1923.41,,,,0
12/13/2021,282757.05,58859.95,67899.02,,,,0
12/14/2021,183634.78,49061.46,674.55,,,,0
12/15/2021,53707.91,61909.8,340719.07,,,,0
12/16/2021,98115.07,369494.07,0,,,,0
12/17/2021,121638.66,60212.22,1225308.68,,,,0
12/18/2021,42410.67,216671.08,302264.94,,,,0
12/19/2021,273146.38,50508.22,327867.5,,,,0
12/20/2021,202515.57,51736.36,116135.89,,,,0
12/21/2021,247687.3,137820.03,96999.62,,,,0
12/22/2021,100961.14,812056.6,58009.29,,,,0
12/23/2021,251206.58,183024.82,24050.74,,,,0
12/24/2021,133131.4,142585.99,10266.53,,,,0
12/25/2021,49176.96,652141.08,1288.22,,,,0
12/26/2021,109004,133296.18,9084.25,,,,0
12/27/2021,91975.36,162745.23,7970.21,,,,0
12/28/2021,16559.3,234422.12,47194.51,,,,0
12/29/2021,181429.14,64820.85,0,,,,0
12/30/2021,78452.73,134267.05,1113559.27,,,,0
12/31/2021,114889.87,250911.52,32281.19,,,,0
1/1/2022,80928.04,635135.1,883096.57,,,,0
1/2/2022,103369.48,148285.06,108714.11,,,,0
1/3/2022,85150.58,47360.93,7440.51,,,,0
1/4/2022,381888.45,101984.2,153648.32,,,,0
1/5/2022,145032.54,79800.52,13107.13,,,,0
1/6/2022,161939.89,102228,1159.81,,,,0
1/7/2022,202911.2,39331.53,198.45,,,,0
1/8/2022,118783.67,35790.9,1260.13,,,,0
1/9/2022,51568.45,34843.27,52062.26,,,,0
1/10/2022,137454.05,33394.67,35444.64,,,,0
1/11/2022,78108.54,38123.91,39875.44,,,,0
1/12/2022,165249.55,151575.53,1906.95,,,,0
1/13/2022,196681.31,204304.86,6398.12,,,,0
1/14/2022,96402.3,21744.23,0,,,,0
1/15/2022,176849.89,128743.47,2231.64,,,,0
1/16/2022,138352.6,335770.41,9497.3,,,,0
1/17/2022,598122.75,44455.09,0,,,,0
1/18/2022,1917182.77,15008.24,735.78,,,,0
1/19/2022,85957.21,241433.39,7277.48,,,,0
1/20/2022,219099.18,34879.16,654389.8,1539802.92,,,0
1/21/2022,282290.11,31844.52,58348.73,0,,,0
1/22/2022,505295.68,34304.59,66917.85,0,,,0
1/23/2022,67894.1,23541.23,1728.89,0,,,0
1/24/2022,217529.67,9912.98,67414.77,0,,,0
1/25/2022,23848.03,1776.73,35127.47,0,,,0
1/26/2022,17642.67,13592.69,15455.89,0,,,0
1/27/2022,133355.82,86577.02,0,1171938.67,,,0
1/28/2022,213352.77,18139.74,1243.99,0,,,0
1/29/2022,8660.57,25939.23,7479.91,0,,,0
1/30/2022,102759.45,14952.27,1160.01,0,,,0
1/31/2022,44316.89,22826.5,0,0,,,0
2/1/2022,154115.75,2411.66,35061.59,0,,,0
2/2/2022,8753.41,17691.76,2484.11,0,,,0
2/3/2022,102534.26,2041.07,5195.17,1548437.45,,,0
2/4/2022,83766.22,6716.14,23913.68,0,,,0
2/5/2022,69596.23,6878.13,7657.61,0,,,0
2/6/2022,42167.34,205282.76,50760.93,0,,,0
2/7/2022,64786.84,10609.42,982.09,0,,3799.23,0
2/8/2022,54937.13,9969.56,1890.85,0,,0,0
2/9/2022,60963.01,117276.55,9653.7,0,,4560.71,0
2/10/2022,54773.75,14041.26,32225.35,1214530.64,,7296.21,0
2/11/2022,104983.86,3002.16,8884.84,0,,15006.11,0
2/12/2022,30144.44,13092.75,2424.79,0,,5062.29,0
2/13/2022,136646.23,14356.69,27839.45,0,,17689.78,0
2/14/2022,58172.72,4299.04,57291.35,0,,11377.18,0
2/15/2022,8599.64,5297.56,0,0,,26560.46,0
2/16/2022,86288.08,7898.35,13598.76,0,,12639.99,0
2/17/2022,21113.87,2578.6,577765,1056927.98,,5709.17,0
2/18/2022,465395.04,5313.7,29428.74,0,,7487.62,0
2/19/2022,51527.73,5105.05,69318.51,0,,1766.5,0
2/20/2022,20716.64,4760.68,51950.81,0,,5709.07,0
2/21/2022,12446.84,19589.31,47677.8,0,,11120.3,0
2/22/2022,98358.76,6179.64,6217.59,0,,9029.78,0
2/23/2022,21244.2,4107.71,14242.78,0,,4407.85,0
2/24/2022,72420.3,26664.99,16883.52,660243.69,,4162.77,0
2/25/2022,6016.8,3314.55,13356.62,0,,1147.27,0
2/26/2022,106441.1,97464.9,898.82,0,,12204.16,0
2/27/2022,53040.23,4157.3,580.14,0,,1873.85,0
2/28/2022,2194.18,6355.05,8556.3,0,,2168.94,0
3/1/2022,24480.52,5885.72,2852.64,0,,4778.44,0
3/2/2022,153872.96,31681.73,30722.42,0,,5922.7,0
3/3/2022,60938.99,6831.49,13162.93,555243.56,,1850.06,0
3/4/2022,42575.98,5203.99,11045.85,0,,11665.43,0
3/5/2022,48668.69,18307.91,1553.69,0,,1239.3,0
3/6/2022,34690.09,10631.93,6464.2,0,,2137.17,0
3/7/2022,11347.43,2449.57,14469.18,0,,2067.6,0
3/8/2022,105760.43,2756.6,992.58,0,,1116.46,0
3/9/2022,55124.98,6205.51,999.66,0,,625.62,0
3/10/2022,85174.26,5976.36,0,459266.03,,1765.1,0
3/11/2022,65005.53,7314.8,2209.37,0,,705.09,0
3/12/2022,52622.58,7177.42,402.23,0,,553.07,0
3/13/2022,8974.42,5420.15,2256.03,0,,2106.17,0
3/14/2022,37824.33,4513.6,4053.42,0,,969.6,0
3/15/2022,2009.47,6152.55,894.46,0,,4289.12,0
3/16/2022,45867.82,13610.33,13675.76,0,,1418.64,0
3/17/2022,26227.06,5297.74,2468.68,498706.04,,3366.71,0
3/18/2022,466782.5,5053.75,159621.07,0,,5330.38,0
3/19/2022,198767.88,5253.77,176106.35,0,,738.36,0
3/20/2022,57786.45,2444.95,28360.28,0,,2607.81,0
3/21/2022,70427.41,15213.84,87387.6,0,,1091.2,0
3/22/2022,119476.82,7508.19,33119.48,0,,1781.67,0
3/23/2022,21561.26,39389.83,58443.53,0,,1049.51,0
3/24/2022,48535.97,9226.51,1723.78,468166.05,,1366.39,0
3/25/2022,21010.91,2490.97,1541.75,0,,1237.16,0
3/26/2022,18787.79,12214.93,7174.48,0,,1376.26,0
3/27/2022,108571.27,3438.82,1325.82,0,,1866.23,0
3/28/2022,34552.85,7953.33,21308.08,0,,639.41,0
3/29/2022,67895.21,4428.84,759.28,0,,5093.96,0
3/30/2022,126322.96,21228.8,26997.92,0,,2229.87,0
3/31/2022,51664.5,4662.65,622.45,430974.43,,592.43,0
4/1/2022,16332.69,4945.5,0,0,,771.7,0
4/2/2022,126.72,15075.99,5177.62,0,,1173.17,0
4/3/2022,84342.26,8777.2,3583.94,0,,1159.24,0
4/4/2022,47400.98,13006.97,3000.61,0,,2019.73,0
4/5/2022,66942.41,3488.35,713.39,0,,467.76,0
4/6/2022,21035.95,26749.44,9194.97,0,,2863.99,0
4/7/2022,39151.12,2548.89,107.71,394058.82,,1122.28,0
4/8/2022,132485.08,4197.07,0,0,,937.26,0
4/9/2022,26815.04,28501.66,112.49,0,,497.89,0
4/10/2022,41380.07,37113.47,692.52,0,,313.49,0
4/11/2022,5398.83,3592.15,1953.54,0,,1439.83,0
4/12/2022,3375.96,105302.95,2576.35,0,,639.97,0
4/13/2022,58775.68,5061.86,959.47,0,,859.35,0
4/14/2022,23033.97,4750.71,0,327697.4,,1340.92,0
4/15/2022,26968.37,17170.62,0,0,,759.75,0
4/16/2022,34228.7,6657.1,958.75,0,,1244.63,0
4/17/2022,68146.8,154632.07,38403.62,0,,289.23,0
4/18/2022,29065.89,18452.4,0,0,,692.89,0
4/19/2022,18594.54,5115.84,184025.52,0,,1471.32,0
4/20/2022,7813.42,6603.85,36710.37,0,,1793.33,0
4/21/2022,69976.78,2125,23580.14,342718.68,,907.66,0
4/22/2022,10071.91,22929.76,81111.3,0,,456.04,0
4/23/2022,324.65,15891.45,4530.4,0,,249.35,0
4/24/2022,37006.13,4031.45,15068.16,0,,572.88,0
4/25/2022,79912.43,4201.09,3894.83,0,,428.27,0
4/26/2022,5905.18,34926.35,619.02,0,,235.44,0
4/27/2022,34936.15,3374.21,547.52,0,,405.35,0
4/28/2022,11392.47,21757.19,6653.86,361621.17,,71.39,0
4/29/2022,60120.67,1644.81,0,0,,756.03,0
4/30/2022,27476.86,7381.05,0,0,,289.99,0
5/1/2022,3475.09,1549.48,0,0,,1214.02,0
5/2/2022,25416.49,16744.36,939.56,0,,1485.71,0
5/3/2022,24166.37,2197.07,6591.88,0,,702.39,0
5/4/2022,2789.08,3644.61,4340.63,0,,150.18,0
5/5/2022,43228.93,1433.31,4587.33,335122.75,,1427.32,0
5/6/2022,10983.97,31465.44,859.23,0,,5361.94,0
