Date,,,,,,,,MakerDAO ($),Liquity,Abracadabra,Reflexer,OriginDeFi,Angle
11/3/2021,18281209078,1964200732,4222023149,280878586.6,27002455.4,6780493.82,,,,,,,
11/4/2021,17988503709,1940651887,4199483668,282020671.2,27257921.49,40211839.38,,,,,,,
11/5/2021,18362390862,1916839319,4840443787,278168264.2,27252834.77,93267769.12,,,,,,,
11/6/2021,18475866850,1937007870,4815668043,287299060.4,27224904.67,125938964,,,,,,,
11/7/2021,18854855704,1999114022,4877576840,293455535.6,27097402.62,127972702.9,,,,,,,
11/8/2021,19631499384,2107862475,4912829798,301607524.9,27120769.25,127377662.9,,,,,,,
11/9/2021,19572341774,2090357126,5032058493,298784700.9,27120432.28,126607881.1,,,,,,,
11/10/2021,19101831368,2054492642,4985895082,313800012.5,27136407.56,125852965.2,,,,,,,
11/11/2021,19410989925,2102631207,4592071580,321390362.5,30485975.71,132115454.2,,,,,,,
11/12/2021,19266279223,2080435202,4599114290,317302147.9,33734237.88,137410102.7,,,,,,,
11/13/2021,19113712643,2073299820,4522926273,314671844.1,42317585.16,149450943.1,,,,,,,
11/14/2021,19041243500,2067387450,4738848294,312124501.5,49121964.1,153512634.1,,,,,,,
11/15/2021,18811026935,2053118457,4707519602,308760656,54830987.05,171037733.3,,,,,,,
11/16/2021,17788522644,1907404181,4619053785,282545500.1,61613233.5,175685565.3,,,,,,,
11/17/2021,18149516255,1955796502,4391795775,286197798.2,62056359.25,187104161.2,,,,,,,
11/18/2021,17253535379,1833005667,4691516074,210105593.8,68422804.63,185835657.6,,,,,,,
11/19/2021,18354657873,1985259259,4395259486,225468716.2,80042121.47,183505131,,,,,,,
11/20/2021,18758184973,2116469926,4613937607,231947087.1,89742471.13,196821957.6,,,,,,,
11/21/2021,18381805349,2065210231,4745173602,224847423.3,105623515.6,232569962.2,,,,,,,
11/22/2021,17711226832,1984009135,4735176996,215718075.8,108871169.6,223350674.5,,,,,,,
11/23/2021,18515676747,2141947302,4591216419,227159206.4,111150481.1,218585327.8,,,,,,,
11/24/2021,18315938895,2118456516,4676615116,223965156.7,121805921.9,221240815.5,,,,,,,
11/25/2021,19166707077,2246779321,4945598727,235541666.6,144378895.7,236867168.3,,,,,,,
11/26/2021,17581881939,2050309843,4989479503,210458938.1,156934884.6,236907411.3,,,,,,,
11/27/2021,18008374254,2077875774,4631504346,204421081.6,157658029.9,237027576.1,,,,,,,
11/28/2021,18751436135,2207704517,4640512591,215051968.6,161034710.8,234280043.1,,,,,,,
11/29/2021,19228665887,2290602084,4641159549,221701203.2,174658524,231996258.6,,,,,,,
11/30/2021,19785045294,2386322901,4751414954,231482706.1,189479728.5,231219517.7,,,,,,,
12/1/2021,19710291975,2334962977,4830105791,228424209.5,197957888.8,223703567.3,,,,,,,
12/2/2021,19484965239,2304885907,5034630165,226883174.2,209098987.2,218160997.8,,,,,,,
12/3/2021,18531532955,2156576850,5039814219,213020286.1,209130959.2,212629643.4,,,,,,,
12/4/2021,18345298712,2105446582,4908422786,207596367.3,209282283.3,207860433.3,,,,,,,
12/5/2021,18604350081,2138959499,4504141326,211300029.8,209954988.9,206180836,,,,,,,
12/6/2021,19242659442,2218252459,4545256675,221251623.6,211647505.8,204219305.6,,,,,,,
12/7/2021,19099683452,2188807261,4752152411,220449205.7,219707148.7,198702947.1,,,,,,,
12/8/2021,19480137326,2214521489,4863649479,228345600,226857225.7,200838269.4,,,,,,,
12/9/2021,18393012192,2062511623,4918724155,210381562.3,233078340,193830078.4,,,,,,,
12/10/2021,17678766861,1949357620,5049215714,201159214.7,232928963,191145635.9,,,,,,,
12/11/2021,18314127330,2042990023,4948524887,209859015,238050249.1,169468817.5,,,,,,,
12/12/2021,18500280966,2047950229,5032202118,212708236.1,247859712.8,169979810.3,,,,,,,
12/13/2021,17208627080,1859296712,5018633564,189835921.1,267933879.7,170752836.9,,,,,,,
12/14/2021,17608043363,1900647222,4777940642,192929382.2,273235437.9,171598410.1,,,,,,,
12/15/2021,18304739575,2011595795,4769367817,199794722.5,273215723.4,172576821.2,,,,,,,
12/16/2021,18075548206,1947579977,4897289227,198068300.6,272793223.4,169728884,,,,,,,
12/17/2021,17980489640,1904971944,4905970291,194198080.1,272770362.7,174704572.8,,,,,,,
12/18/2021,18276453774,1948671412,4861261928,198668150.9,272912508.2,183871119.3,,,,,,,
12/19/2021,18077746377,1938881774,5158875961,194954712.4,273176626.6,192201593.4,,,,,,,
12/20/2021,18196223711,1952755479,5161412949,199356941.9,272839084.7,196179364,,,,,,,
12/21/2021,18560932290,1923437715,5224041179,198909423.7,272497130,197307496.1,,,,,,,
12/22/2021,18456928770,1910124537,5892526784,198087156.9,272504548.8,206591326.1,,,,,,,
12/23/2021,18906990394,2005671056,5916469306,203928636.1,272122029,213605872.9,,,,,,,
12/24/2021,18792301025,1987499482,5998631480,203739594.8,272833937.7,218321207.6,,,,,,,
12/25/2021,18923720449,2013761197,6098029755,206520906.6,273394594.4,220743472.3,,,,,,,
12/26/2021,18943054437,1996260883,6166440650,206105653.6,294336987.9,220979704.1,,,,,,,
12/27/2021,18839446946,1977678531,6183597697,207845292.1,294672961.3,219037596.7,,,,,,,
12/28/2021,17936333716,1866363175,6276367758,196918785,296915560,217366485.6,,,,,,,
12/29/2021,17310454093,1773969229,6117942498,186689320.7,296606568,214281538.6,,,,,,,
12/30/2021,17543662127,1821608652,6080978422,198694432.5,295451310.8,215629333.1,,,,,,,
12/31/2021,17456851036,1811160745,6124597432,197172536.8,295226966.8,211080380.9,,,,,,,
1/1/2022,17800519217,1849233578,6128894105,204658771.8,295379242,207522822.8,,,,,,,
1/2/2022,18052569184,1886492839,6211782400,216223351.7,295872183.7,203880652.2,,,,,,,
1/3/2022,17822495520,1850769640,6255056717,214527226.4,296729814.9,206627537.5,,,,,,,
1/4/2022,17899742680,1865202906,6328974149,216681318.4,296403387.1,209916383.7,,,,,,,
1/5/2022,16992441750,1738880393,6424874678,193345015,295556975.6,220413346.7,,,,,,,
1/6/2022,16685020627,1679763067,6208986632,183370265.5,284001323.8,223813684.1,,,,,,,
1/7/2022,16143425685,1592199760,6189760751,173533071.6,277552980.7,235387218,,,,,,,
1/8/2022,15868559055,1546052775,5977986125,168502971.6,278014995.8,231411880.5,,,,,,,
1/9/2022,16066716302,1590147091,5708335511,175465592.4,278286261.5,232139907.4,,,,,,,
1/10/2022,15961418781,1546499426,5812264486,170067423.1,277604095.3,229296154.6,,,,,,,
1/11/2022,16441358813,1621853017,5675324286,181413331.1,278069576.1,231630425.9,,,,,,,
1/12/2022,16953409414,1693990345,5815781909,189516762.1,277297200.1,239303279.7,,,,,,,
1/13/2022,16564091627,1602462875,6108207942,181194662.4,277224943.4,240206883.4,,,,,,,
1/14/2022,16803268007,1625203109,6104214919,185039284.8,278151227.5,241549510.1,,,,,,,
1/15/2022,16944182146,1652499453,6075893098,186967410.8,278093683.7,239768528.6,,,,,,,
1/16/2022,17046307897,1657644714,6075917569,193889226.8,278540418.2,244638483.1,,,,,,,
1/17/2022,16672261844,1578264779,6092714220,186137233.6,278479078.7,243613273.2,,,,,,,
1/18/2022,16563060641,1519135235,5722460239,185255383.7,278545948.7,243744236.1,,,,,,,
1/19/2022,16380038621,1482305180,5693519117,180326767.4,278400695.5,238586015.7,,,,,,,
1/20/2022,16030764762,1393175712,5688998626,174805912.4,274727294.7,231206573.6,,,,,,,
1/21/2022,14612696817,1105287508,5608058815,136899380.5,266952925.1,228175685,,,,,,,
1/22/2022,14609983713,1000715378,5006992530,138126402.3,262404380.1,223870642.8,,,,,,,
1/23/2022,15141610940,1038832505,4658073812,146179516.6,261789767.5,212360339.9,,,,,,,
1/24/2022,15080348200,997371384.2,4667923126,141544303.2,260956511.4,210415393.8,,,,,,,
1/25/2022,15254622932,1011492972,4547664185,140396663.5,258857307.7,202539964.4,,,,,,,
1/26/2022,15308600332,1015873049,4466482839,141417303.3,259093272.1,202882868.8,,,,,,,
1/27/2022,15067408050,991525646.1,4464040795,139175110.6,260143512.6,213637347,,,,,,,
1/28/2022,15391140799,1019982584,3594045281,133279952.1,260096579.7,222572705.3,,,,,,,
1/29/2022,15592890393,1032697692,2964310384,135693164.1,260034428.8,222876473.4,,,,,,,
1/30/2022,15588097263,1030415999,3046366504,135939725.1,259974231,225302925.1,,,,,,,
1/31/2022,15763147941,1061296626,3032416011,139671774.8,259670098.3,229924390.6,,,,,,,
2/1/2022,16042513408,1114119785,3165204770,147109145.1,258983894.6,235919047.7,,,,,,,
2/2/2022,15634480223,1063540822,3190676026,138560166.3,259221370.1,241494610.1,,,,,,,
2/3/2022,15639221176,1069203091,3141260194,138518964.5,258941550.9,243508237.9,,,,,,,
2/4/2022,16692120720,1182046553,3082944498,159589638.6,259526687.5,246105996.7,,,,,,,
2/5/2022,16850819896,1217208000,3165668369,163367777.4,259366102.2,248276497.9,,,,,,,
2/6/2022,17053049322,1223634670,3243049349,165789236.7,259413444.6,240789068.5,,,,,,,
2/7/2022,17464347359,1255064100,3267071964,169707910.6,259337146.3,241756997.2,,,,,,,
2/8/2022,17658246402,1231166962,3339210902,168732879.6,259330730.1,240135078,,,,,,,
2/9/2022,18102418401,1276922770,3270528166,178403536.3,256388633.2,243782663.5,,,,,,,
2/10/2022,17305486180,1204339892,3299853476,167444208.6,253315231.6,243366233.1,,,,,,,
