Date,MakerDAO ($),Origin DeFi ($),Angle ($),Liquity ($)
2020-05-21,37330303.38,,,
2020-05-22,38116156.82,,,
2020-05-23,39914091.14,,,
2020-05-24,39372463.94,,,
2020-05-25,40606749.15,,,
2020-05-26,40793318.02,,,
2020-05-27,40998600.11,,,
2020-05-28,41407321.99,,,
2020-05-29,57742776.93,,,
2020-05-30,61321793.73,,,
2020-05-31,54332748.10,,,
2020-06-01,55632163.23,,,
2020-06-02,52808036.59,,,
2020-06-03,51335329.39,,,
2020-06-04,50118188.63,,,
2020-06-05,56923107.55,,,
2020-06-06,58965733.38,,,
2020-06-07,64295037.15,,,
2020-06-08,66175155.50,,,
2020-06-09,82568614.69,,,
2020-06-10,79447312.90,,,
2020-06-11,69004323.18,,,
2020-06-12,68113106.20,,,
2020-06-13,62469669.32,,,
2020-06-14,57121839.97,,,
2020-06-15,63084523.48,,,
2020-06-16,62268641.40,,,
2020-06-17,61293702.11,,,
2020-06-18,54983499.95,,,
2020-06-19,53919263.50,,,
2020-06-20,54500604.01,,,
2020-06-21,53180806.96,,,
2020-06-22,54677661.95,,,
2020-06-23,51383274.54,,,
2020-06-24,50538368.32,,,
2020-06-25,48659993.52,,,
2020-06-26,47416711.13,,,
2020-06-27,46101131.86,,,
2020-06-28,46946825.73,,,
2020-06-29,47739551.80,,,
2020-06-30,47270677.04,,,
2020-07-01,46764477.27,,,
2020-07-02,45775334.51,,,
2020-07-03,46646253.09,,,
2020-07-04,51835121.75,,,
2020-07-05,48714937.25,,,
2020-07-06,49510782.79,,,
2020-07-07,48252726.48,,,
2020-07-08,48647553.45,,,
2020-07-09,47787575.64,,,
2020-07-10,47467597.99,,,
2020-07-11,49275200.51,,,
2020-07-12,48453234.46,,,
2020-07-13,47023198.16,,,
2020-07-14,48440216.63,,,
2020-07-15,47851480.83,,,
2020-07-16,46134423.20,,,
2020-07-17,47068332.52,,,
2020-07-18,47484148.69,,,
2020-07-19,48851345.05,,,
2020-07-20,47394009.74,,,
2020-07-21,47756202.24,,,
2020-07-22,51884768.72,,,
2020-07-23,55810942.87,,,
2020-07-24,54224745.08,,,
2020-07-25,56166951.56,,,
2020-07-26,55049182.77,,,
2020-07-27,53083985.01,,,
2020-07-28,53754515.09,,,
2020-07-29,56732808.21,,,
2020-07-30,60096686.26,,,
2020-07-31,59114266.43,,,
2020-08-01,62659979.39,,,
2020-08-02,59518723.98,,,
2020-08-03,63454890.71,,,
2020-08-04,61746788.29,,,
2020-08-05,61915339.49,,,
2020-08-06,61836238.71,,,
2020-08-07,60582988.97,,,
2020-08-08,62271553.41,,,
2020-08-09,63025158.34,,,
2020-08-10,66102802.62,,,
2020-08-11,63870918.99,,,
2020-08-12,76018333.15,,,
2020-08-13,82301689.49,,,
2020-08-14,75886583.62,,,
2020-08-15,73303062.25,,,
2020-08-16,73688829.11,,,
2020-08-17,71748402.89,,,
2020-08-18,71125112.78,,,
2020-08-19,68810717.92,,,
2020-08-20,69503874.66,,,
2020-08-21,63209050.72,,,
2020-08-22,67295690.13,,,
2020-08-23,67010143.65,,,
2020-08-24,71614593.73,,,
2020-08-25,67198519.23,,,
2020-08-26,67284667.79,,,
2020-08-27,64871387.91,,,
2020-08-28,66058669.24,,,
2020-08-29,65391556.19,,,
2020-08-30,70947864.26,,,
2020-08-31,71873841.96,,,
2020-09-01,74785596.48,,,
2020-09-02,70668724.05,,,
2020-09-03,59052564.75,,,
2020-09-04,60180441.51,,,
2020-09-05,53237835.34,,,
2020-09-06,56961550.28,,,
2020-09-07,54482184.67,,,
2020-09-08,52632006.85,,,
2020-09-09,54523290.26,,,
2020-09-10,55497997.94,,,
2020-09-11,54783088.24,,,
2020-09-12,53256357.12,,,
2020-09-13,51808230.85,,,
2020-09-14,50957069.60,,,
2020-09-15,47927867.86,,,
2020-09-16,50006440.14,,,
2020-09-17,52546380.87,,,
2020-09-18,52324176.10,,,
2020-09-19,53293035.04,,,
2020-09-20,50243129.38,,,
2020-09-21,47584622.62,,,
2020-09-22,48591585.81,,,
2020-09-23,46111411.18,,,
2020-09-24,51605335.29,,,
2020-09-25,53670955.86,,,
2020-09-26,55294310.88,,,
2020-09-27,53067308.12,,,
2020-09-28,54085449.13,,,
2020-09-29,50394874.06,,,
2020-09-30,54898859.27,,,
2020-10-01,55315199.30,,,
2020-10-02,53003458.63,,,
2020-10-03,54238610.48,,,
2020-10-04,54741894.12,,,
2020-10-05,54475927.98,,,
2020-10-06,50395673.43,,,
2020-10-07,51011298.35,,,
2020-10-08,51923202.55,,,
2020-10-09,55338548.18,,,
2020-10-10,57063983.85,,,
2020-10-11,56891560.77,,,
2020-10-12,56820277.18,,,
2020-10-13,55971965.20,,,
2020-10-14,55555178.90,,,
2020-10-15,54496013.94,,,
2020-10-16,52935895.62,,,
2020-10-17,53990087.86,,,
2020-10-18,55546777.18,,,
2020-10-19,55318802.52,,,
2020-10-20,53795183.63,,,
2020-10-21,54946421.53,,,
2020-10-22,57062589.17,,,
2020-10-23,57193535.51,,,
2020-10-24,58183009.31,,,
2020-10-25,56988853.02,,,
2020-10-26,55653620.74,,,
2020-10-27,57059041.52,,,
2020-10-28,53096670.01,,,
2020-10-29,51931538.01,,,
2020-10-30,51343175.37,,,
2020-10-31,51273451.62,,,
2020-11-01,52861321.32,,,
2020-11-02,51217392.34,,,
2020-11-03,51092775.96,,,
2020-11-04,51606018.91,,,
2020-11-05,52715567.70,,,
2020-11-06,53937390.12,,,
2020-11-07,51775481.06,,,
2020-11-08,53437901.80,,,
2020-11-09,52229925.94,,,
2020-11-10,55068498.16,,,
2020-11-11,54377577.63,,,
2020-11-12,53608238.36,,,
2020-11-13,55103426.84,,,
2020-11-14,53093582.19,,,
2020-11-15,51877815.56,,,
2020-11-16,52235111.83,,,
2020-11-17,52968083.92,,,
2020-11-18,51886910.48,,,
2020-11-19,51877315.48,,,
2020-11-20,52496326.07,,,
2020-11-21,55647355.48,,,
2020-11-22,56150168.10,,,
2020-11-23,60361291.94,,,
2020-11-24,60354680.17,,,
2020-11-25,56636545.58,,,
2020-11-26,52881602.10,,,
2020-11-27,52333557.73,,,
2020-11-28,53686587.26,,,
2020-11-29,55027598.75,,,
2020-11-30,57631398.84,,,
2020-12-01,53144866.10,,,
2020-12-02,56592998.77,,,
2020-12-03,59387336.06,,,
2020-12-04,53429191.56,,,
2020-12-05,53590874.53,,,
2020-12-06,53783240.71,,,
2020-12-07,52556681.76,,,
2020-12-08,50855672.32,,,
2020-12-09,51704795.51,,,
2020-12-10,53041865.93,,,
2020-12-11,51590591.05,,,
2020-12-12,52253023.22,,,
2020-12-13,53298243.35,,,
2020-12-14,54373665.37,,,
2020-12-15,53863413.52,,,
2020-12-16,54582640.12,,,
2020-12-17,54470139.26,,,
2020-12-18,57547337.93,,,
2020-12-19,57374108.22,,,
2020-12-20,54908772.85,,,
2020-12-21,52923727.21,,,
2020-12-22,55389509.22,,,
2020-12-23,52181800.61,,,
2020-12-24,53492528.27,,,
2020-12-25,54465195.22,,,
2020-12-26,54745635.14,,,
2020-12-27,57236059.51,,,
2020-12-28,58541422.36,,,
2020-12-29,57398512.77,,,
2020-12-30,57840526.48,,,
2020-12-31,58616976.70,,,
2021-01-01,58379619.25,,,
2021-01-02,60951848.02,,,
2021-01-03,67497512.40,,,
2021-01-04,67703442.94,,,
2021-01-05,75187739.88,,,
2021-01-06,100605184.98,,,
2021-01-07,103662795.56,,,
2021-01-08,101414983.37,,,
2021-01-09,152997962.24,,,
2021-01-10,145149768.60,,,
2021-01-11,135068513.68,,,
2021-01-12,142552139.46,,,
2021-01-13,149771683.51,,,
2021-01-14,153293867.99,,,
2021-01-15,142228939.87,,,
2021-01-16,143658225.80,,,
2021-01-17,139421131.77,,,
2021-01-18,137312187.34,,,
2021-01-19,136345826.69,,,
2021-01-20,136605004.14,,,
2021-01-21,111831277.58,,,
2021-01-22,136050660.31,,,
2021-01-23,132866005.02,,,
2021-01-24,140496178.23,,,
2021-01-25,132423066.76,,,
2021-01-26,142763525.89,,,
2021-01-27,129575143.54,,,
2021-01-28,136738373.07,,,
2021-01-29,136512935.28,,,
2021-01-30,153735987.24,,,
2021-01-31,143212532.54,,,
2021-02-01,143105883.97,,,
2021-02-02,163920139.64,,,
2021-02-03,170388107.43,,,
2021-02-04,201027266.77,81.32,,
2021-02-05,258138949.00,238.00,,
2021-02-06,242276950.58,477.51,,
2021-02-07,237704272.12,782.20,,
2021-02-08,239968994.32,990.93,,
2021-02-09,248570622.40,1041.37,,
2021-02-10,242515893.08,2131.66,,
2021-02-11,243286117.04,2351.47,,
2021-02-12,262287228.48,2977.37,,
2021-02-13,250514049.02,3278.56,,
2021-02-14,244806615.33,3462.70,,
2021-02-15,238039466.85,3707.68,,
2021-02-16,240631752.78,3866.39,,
2021-02-17,251266074.35,4308.68,,
2021-02-18,254967034.77,4752.30,,
2021-02-19,249312670.36,4790.73,,
2021-02-20,251882739.53,4839.10,,
2021-02-21,252334967.69,5510.57,,
2021-02-22,231964403.29,5457.69,,
2021-02-23,217577242.77,5075.39,,
2021-02-24,220666640.24,5635.12,,
2021-02-25,199393084.25,5714.38,,
2021-02-26,193546739.19,5674.83,,
2021-02-27,196460750.64,5867.72,,
2021-02-28,201360985.30,6426.97,,
