Date,GMX (#),SynFutures (#),Perpetual Protocol (#),Synthetix (#),Pika Protocol (#),Kwenta (#),Pendle (#),Gains Network (#),MUX (#),Lyra (#),Thales (#),Vertex (#),ApolloX (#),Mummy Finance (#),Holdstation (#),Cap (#),Voltz (#),HMX (#),Polynomial Protocol (#),Level Finance (#)
11/3/2021,199,2192,309,14,,,,107,49,,,,,,,,,,,
11/4/2021,170,2388,261,13,,,,84,36,,,,,,,,,,,
11/5/2021,156,2307,242,11,,,,94,37,,,,,,,,,,,
11/6/2021,178,2514,262,5,,,,87,41,,,,,,,,,,,
11/7/2021,155,2594,263,9,,,,69,46,,,,,,,,,,,
11/8/2021,230,2283,299,14,,,,111,55,,,,,,,,,,,
11/9/2021,186,2466,311,14,,,,105,40,,,,,,,,,,,
11/10/2021,285,2519,344,22,,,,133,38,,,,,,,,,,,
11/11/2021,176,2484,271,17,,,,98,26,,,,,,,,,,,
11/12/2021,207,2807,362,255,,,,114,37,180,,,,,,,,,,
11/13/2021,118,2705,305,267,,,,76,27,148,,,,,,,,,,
11/14/2021,160,2798,365,414,,,,83,28,210,,,,,,,,,,
11/15/2021,182,2702,565,287,,,,111,62,240,,,,,,,,,,
11/16/2021,355,2209,481,220,,,,163,164,223,,,,,,,,,,
11/17/2021,219,2395,316,373,,,,90,296,328,,,,,,1,,,,
11/18/2021,258,2517,382,229,,,,130,340,337,,,,,,32,,,,
11/19/2021,177,2526,322,278,,,,96,507,651,,,,,,35,,,,
11/20/2021,148,2622,282,239,,,,90,252,213,,,,,,22,,,,
11/21/2021,135,2455,269,337,,,,78,216,188,,,,,,17,,,,
11/22/2021,209,2675,322,312,,,,100,165,128,,,,,,50,,,,
11/23/2021,186,2357,372,221,,,,81,320,123,,,,,,36,,,,
11/24/2021,150,2719,385,253,,,,77,263,133,,,,,,23,,,,
11/25/2021,186,2933,309,194,,,,81,282,103,,,,,,34,,,,
11/26/2021,298,2346,492,205,,,,111,175,175,,,,,,48,,,,
11/27/2021,125,2373,325,200,,,,69,77,134,,,,,,43,,,,
11/28/2021,164,2251,320,233,,,,80,107,97,,,,,,35,,,,
11/29/2021,204,2019,274,184,,,,83,197,141,,,,,,46,,,,
11/30/2021,240,1868,276,272,,,,78,118,125,,,,,,53,,,,
12/1/2021,189,1652,275,217,,,,74,57,106,,,,,,44,,,,
12/2/2021,157,2149,257,195,,,,77,230,115,,,,,,36,,,,
12/3/2021,240,2279,379,232,,,,100,257,127,,,,,,51,,,,
12/4/2021,346,2362,526,147,,,,129,236,98,,,,,,70,,,,
12/5/2021,167,1991,252,185,,,,95,126,78,,,,,,43,,,,
