Date,Synthetix (#),Kwenta (#),dYdX (#),Thales (#),Perpetual Protocol (#),Opyn (#),Drift Protocol (#),Pendle (#),Premia (#),Voltz (#),Dopex (#),GMX (#),Lyra (#),Deri Protocol (#),Bluefin (#),HMX (#),ApeX Protocol (#),Orderly Network (#),Vertex (#),Hyperliquid (#)
11/3/2021,28,10,5,8,13,4,6,4,6,3,5,2,2,3,,,4,,,
11/4/2021,27,10,5,8,13,4,6,4,6,3,5,2,2,3,,,4,,,
11/5/2021,27,10,5,8,13,3,6,4,6,3,6,2,2,3,,,4,,,
11/6/2021,28,10,5,8,13,3,6,4,6,3,6,2,2,3,,,4,,,
11/7/2021,29,10,5,8,13,3,6,3,6,3,6,2,2,3,,,4,,,
11/8/2021,30,10,5,8,13,3,6,3,6,3,6,3,2,3,,,4,,,
11/9/2021,30,10,6,8,13,3,6,3,6,3,6,3,2,3,,,4,,,
11/10/2021,30,10,6,8,13,3,6,3,6,3,6,3,2,3,,,4,,,
11/11/2021,29,10,6,8,13,3,6,3,6,3,5,3,2,3,,,4,,,
11/12/2021,29,10,6,8,13,3,6,3,7,3,5,3,2,3,,,4,,,
11/13/2021,29,10,6,8,13,3,5,3,7,3,5,3,2,3,,,4,,,
11/14/2021,29,9,6,8,13,3,4,3,7,3,5,3,2,3,,,4,,,
11/15/2021,29,9,6,8,13,3,4,3,7,3,5,3,2,3,,,4,,,
11/16/2021,29,9,6,8,13,3,4,3,7,3,5,3,2,3,,,4,,,
11/17/2021,28,9,6,9,13,3,4,3,7,3,5,3,2,3,,,4,,,
11/18/2021,28,9,6,10,13,3,4,3,7,3,5,3,2,3,,,4,,,
11/19/2021,28,9,6,10,13,3,4,4,7,3,5,3,2,3,,,4,,,
11/20/2021,28,8,6,10,13,3,4,4,7,3,5,3,2,3,,,4,,,
11/21/2021,28,8,5,10,12,2,4,5,7,3,5,3,2,3,,,4,,,
11/22/2021,27,8,5,11,12,2,4,5,7,2,5,3,2,3,,,4,,,
11/23/2021,27,8,6,11,12,2,4,5,7,2,5,3,2,3,,,4,,,
11/24/2021,28,8,6,11,11,2,4,5,8,2,5,3,2,3,,,4,,,
11/25/2021,29,8,5,11,10,2,5,5,6,2,5,3,2,3,,,4,,,
11/26/2021,28,8,5,10,10,2,5,5,6,2,5,3,2,3,,,4,,,
11/27/2021,27,8,4,10,10,2,5,5,5,2,5,3,2,3,,,4,,,
11/28/2021,27,7,4,10,10,2,5,5,5,2,5,3,2,3,,,3,,,
11/29/2021,27,7,4,11,10,2,5,5,6,2,5,3,2,3,,,3,,,
11/30/2021,29,8,4,11,9,3,6,5,6,2,5,3,2,3,,,3,,,
12/1/2021,29,7,4,11,9,2,6,5,5,2,5,3,2,2,,,3,,,
12/2/2021,29,7,4,11,9,2,6,5,5,2,5,3,2,3,,,3,,,
12/3/2021,29,6,4,11,9,2,6,5,5,2,4,3,2,3,,,3,,,
12/4/2021,29,6,4,11,9,2,6,5,5,3,4,3,2,3,,,3,,,
12/5/2021,29,6,4,11,10,2,6,5,5,3,4,3,2,3,,,3,,,
12/6/2021,28,6,5,11,10,2,6,5,5,3,4,4,2,3,,,3,,,
12/7/2021,27,8,5,11,10,2,6,5,5,3,4,4,2,3,,,3,,,
12/8/2021,28,8,5,11,10,2,6,5,5,3,4,4,2,4,,,3,,,
12/9/2021,28,8,6,11,10,2,6,5,5,3,5,4,2,4,,,3,,,
12/10/2021,29,8,6,11,10,2,6,5,5,3,5,4,2,4,,,3,,,
12/11/2021,30,9,6,11,10,2,6,5,5,3,5,4,2,4,,,3,,,
12/12/2021,30,9,6,11,10,2,6,5,4,3,5,4,2,4,,,3,,,
