Date,GMX ($),Gains Network ($),MUX ($),Hegic ($),Perpetual Protocol ($),Cap ($),SynFutures ($),Solv Protocol ($),Holdstation ($),Pika Protocol ($),Polynomial Protocol ($),Deri Protocol ($),Volmex ($),Opyn ($),Voltz ($),Metavault.Trade ($),Thales ($),Premia ($),IPOR Protocol ($),Mummy Finance ($)
2021-06-10,,,,,,,,,,,,,0.20,,,,,,,
2021-06-11,,,,,,,,,,,,,28.72,,,,,,,
2021-06-12,,,,,,,,,,,,,0.00,,,,,,,
2021-06-13,,,,,,,,,,,,,0.00,,,,,,,
2021-06-14,,,,,,,,,,,,,2.39,,,,,,,
2021-06-15,,,,,,,194.68,,,,,,34.98,,,,,,,
2021-06-16,,,,,,,272.83,,,,,,613.18,,,,,,,
2021-06-17,,,,,,,9.97,,,,,,84.24,,,,,,,
2021-06-18,,,,,,,10.96,,,,,,44.75,,,,,,,
2021-06-19,,,,,,,6.78,,,,,,51.65,,,,,,,
2021-06-20,,,,,,,18.22,,,,,,19.87,,,,,,,
2021-06-21,,,,,,,7.18,,,,,,4.55,,,,,,,
2021-06-22,,,,,,,6.98,,,,,,16.31,,,,,,,
2021-06-23,,,,,,,2.94,,,,,,54.56,,,,,,,
2021-06-24,,,,,,,418.39,,,,,,7.08,,,,,,,
2021-06-25,,,,,,,226.20,,,,,,0.10,,,,,,,
2021-06-26,,,,,,,56.28,,,,,,3.23,,,,,,,
2021-06-27,,,,,,,0.75,,,,,,1.17,,,,,,,
2021-06-28,,,,,,,6.96,,,,,,836.29,,,,,,,
2021-06-29,,,,,,,4.30,,,,,,100.04,,,,,,,
2021-06-30,,,,,,,4.07,,,,,,2.35,,,,,,,
2021-07-01,,,,,,,1.80,0.05,,,,,0.41,,,,,,,
2021-07-02,,,,,,,259.84,0.10,,,,,10.42,,,,,,,
2021-07-03,,,,,,,16.68,0.00,,,,,5.23,,,,,,,
2021-07-04,,,,,,,6.18,0.00,,,,,8.05,,,,,,,
2021-07-05,,,,,,,2.80,0.00,,,,,14.41,,,,,,,
2021-07-06,,,,,,,6.95,0.00,,,,,9.35,,,,,,,
2021-07-07,,,,,,,8.16,0.00,,,,,19.99,,,,,,,
2021-07-08,,,,,,,529.38,0.00,,,,,0.29,,,,,,,
2021-07-09,,,,,,,45.33,0.00,,,,,2.53,,,,,,,
2021-07-10,,,,,,,12.56,0.00,,,,,10.48,,,,,,,
2021-07-11,,,,,,,374.24,0.00,,,,,53.35,,,,,,,
2021-07-12,,,,,,,3.98,0.00,,,,,0.03,,,,,,,
2021-07-13,,,,,,,23.59,0.00,,,,,1.67,,,,,,,
2021-07-14,,,,,,,81.92,0.00,,,,,1.13,,,,,,,
2021-07-15,,,,,,,41.86,0.00,,,,,0.20,,,,,,,
2021-07-16,,,,,,,306.46,0.00,,,,,10.01,,,,,,,
2021-07-17,,,,,,,47.40,1.08,,,,,0.00,,,,,,,
2021-07-18,,,,,,,6.80,0.00,,,,,2.33,,,,,,,
2021-07-19,,,,,,,366.32,0.00,,,,,13.11,,,,,,,
2021-07-20,,,,,,,137.23,0.00,,,,,5.56,,,,,,,
2021-07-21,,,,,,,43.80,0.00,,,,,51.13,,,,,,,
2021-07-22,,,,,,,14.33,0.00,,,,,1.03,,,,,,,
2021-07-23,,,,,,,267.09,0.00,,,,,0.37,,,,,,,
2021-07-24,,,,,,,21.59,0.02,,,,,17.62,,,,,,,
2021-07-25,,,,,,,12.58,0.00,,,,,2.82,,,,,,,
2021-07-26,,,,,,,51.53,0.00,,,,,0.13,,,,,,,
2021-07-27,,,,,,,24.78,0.00,,,,,0.90,,,,,,,
2021-07-28,,,,,,,8.45,2041.37,,,,,37.23,,,,,,,
2021-07-29,,,,,,,8.29,3.25,,,,,1.53,,,,,,,
2021-07-30,,,,,,,189.57,133.02,,,,,0.00,,,,,,,
2021-07-31,,,,,,,107.74,43.61,,,,,8.62,,,,,,,
2021-08-01,,,,,,,14.89,0.00,,,,,6.83,,,,,,,
2021-08-02,,,,,,,142.88,15.00,,,,,14.69,,,,,,,
2021-08-03,,,,,,,10.84,0.00,,,,,0.33,,,,,,,
2021-08-04,,,,,,,8.87,0.00,,,,,35.19,,,,,,,
2021-08-05,,,,,,,22.81,23.47,,,,,16.17,,,,,,,
2021-08-06,,,,,,,443.51,105.70,,,,,45.73,,,,,,,
2021-08-07,,,,,,,77.10,0.00,,,,,9.42,,,,,,,
2021-08-08,,,,,,,39.29,35.94,,,,,21.78,,,,,,,
2021-08-09,,,,,,,106.07,1.86,,,,,11.07,,,,,,,
2021-08-10,,,,,,,26.40,224.62,,,,,1.37,,,,,,,
2021-08-11,,,,,,,24.57,0.00,,,,,45.09,,,,,,,
2021-08-12,,,,,,,195.20,0.00,,,,,7.47,,,,,,,
2021-08-13,,,,,,,230.23,0.00,,,,,4.65,,,,,,,
2021-08-14,,,,,,,13.60,253.89,,,,,11.38,,,,,,,
2021-08-15,,,,,,,11.14,0.00,,,,,12.90,,,,,,,
2021-08-16,,,,,,,56.05,117.11,,,,,7.24,,,,,,,
2021-08-17,,,,,,,9202.37,14.79,,,,,3.58,,,,,,,
2021-08-18,,,,,,,894.01,784.16,,,,,5.95,,,,,,,
2021-08-19,,,,,,,832.18,72.04,,,,,10.27,,,,,,,
2021-08-20,,,,,,,179.54,60.02,,,,,16.24,,,,,,,
2021-08-21,,,,,,,62.94,16.51,,,,,51.15,,,,,,,
2021-08-22,,,,,,,14.47,18.76,,,,,6.35,,,,,,,
2021-08-23,,,,,,,539.54,0.21,,,,,1.59,,,,,,,
2021-08-24,,,,,,,37.80,229.48,,,,,2.86,,,,,,,
2021-08-25,,,,,,,17.60,0.00,,,,,4.57,,,,,,,
2021-08-26,,,,,,,29.30,27.26,,,,,5.84,,,,,,,
2021-08-27,,,,,,,108.43,0.12,,,,,1.46,,,,,,,
2021-08-28,,,,,,,9.23,0.03,,,,,2.97,,,,,,,
2021-08-29,,,,,,,19.58,1.37,,,,,1.09,,,,,,,
2021-08-30,,,,,,,21.67,0.00,,,,,10.65,,,,,,,
2021-08-31,0.32,,,,,,11.65,0.00,,,,,28.27,,,,,,,
2021-09-01,2949.64,,,,,,37.82,0.00,,,,,20.09,,,,,,,
2021-09-02,1675.36,,,,,,8.66,0.00,,,,,5.75,,,,,,,
2021-09-03,2262.68,,,,,,15.55,0.00,,,,,0.10,,,,,,,
2021-09-04,528.45,,,,,,93.91,0.00,,,,,2.34,,,,,,,
2021-09-05,588.04,,,,,,59.58,53.97,,,,,0.82,,,,,,,
2021-09-06,3143.60,,,,,,24.06,0.00,,,,,2.44,,,,,,,
2021-09-07,10784.87,,,,,,91.96,0.00,,,,,1.00,,,,,,,
2021-09-08,14564.70,,,,,,67.61,0.00,,,,,0.00,,,,,,,
2021-09-09,2485.13,,,,,,97.95,0.00,,,,,1.44,,,,,,,
2021-09-10,4287.53,,,,,,57.39,1056.44,,,,,1.07,,,,,,,
2021-09-11,9911.27,,,,,,79.09,189.11,,,,,6.18,,,,,,,
2021-09-12,13415.19,,,,,,75.84,0.70,,,,,569.94,,,,,,,
2021-09-13,10955.03,,,,,,215.32,7.79,,,,,13.78,,,,,,,
2021-09-14,9077.18,,,,,,97.22,177.38,,,,,37.22,,,,,,,
2021-09-15,12920.34,,,,,,67.02,6.23,,,,,1.38,,,,,,,
2021-09-16,16594.84,,,,,,244.65,307.61,,,,,1.34,,,,,,,
2021-09-17,15803.23,,,,,,71.10,26.26,,,,,4.73,,,,,,,
2021-09-18,16168.36,,,,,,13.01,754.73,,,,,11.31,,,,,,,
2021-09-19,24231.85,,,,,,114.55,16.65,,,,,15.60,,,,,,,
2021-09-20,54257.07,,,,,,113.65,62.02,,,,,31.89,,,,,,,
2021-09-21,52668.85,,,,,,73.57,13.13,,,,,5.99,,,,,,,
2021-09-22,46775.84,,,,,,579.43,0.00,,,,,3.18,,,,,,,
2021-09-23,13925.55,,,,,,1294.96,44.80,,,,,0.00,,,,,,,
2021-09-24,31300.76,,,,,,481.16,0.00,,,,,48.20,,,,,,,
2021-09-25,16868.98,,,,,,17.05,0.00,,,,,10.25,,,,,,,
2021-09-26,23529.55,,,,,,59.03,0.00,,,,,3.82,,,,,,,
