Date,dYdX ($),GMX ($),Synthetix ($),SynFutures ($),Perpetual Protocol ($),Lyra ($),Gains Network ($),MUX ($),Level Finance ($),Kwenta ($),Vertex ($),Premia ($),ApolloX ($),Hegic ($),HMX ($),Holdstation ($),Cap ($),Mummy Finance ($),Dopex ($),Metavault.Trade ($)
11/3/2021,1699591.13,102489.6,66472.7,62118.89,102595.43,,6995.58,113552.03,,,,40254.12,,,,,,,,
11/4/2021,1340093.57,186635.1,21544,99012.92,68516.2,,9143.63,68902.66,,,,4545.46,,,,,,,,
11/5/2021,1201353.06,90722.36,18659.8,101088.79,53766.11,,3998.63,65142.91,,,,64817.3,,,,,,,,
11/6/2021,1176100.37,186185.4,2151.73,122179.97,46298.23,,7091.69,37494.58,,,,1403.13,,,,,,,,
11/7/2021,1167753.99,131212.63,7895.15,114750.51,42736.61,,4697.18,38395.08,,,,22904.74,,,,,,,,
11/8/2021,2125612.1,206104.55,14240.16,138528.15,50337.74,,6852.65,91247.56,,,,0,,,,,,,,
11/9/2021,1949747.8,78117.45,14549.64,110412.3,72981.62,,9509.25,66506.21,,,,0,,,,,,,,
11/10/2021,2929699.63,197048.55,204286.65,106653.05,106548.4,,11605.82,85042.17,,,,7316.47,,,,,,,,
11/11/2021,1384153.57,73302.96,87757.09,126032.7,59368.7,,8541.48,56682.99,,,,2428.37,,,,,,,,
11/12/2021,1804704.89,336141.67,29415.03,110183.45,85640.68,,7193.08,111448.42,,,,0,,,,,,,,
11/13/2021,835723.44,40074.75,41553.57,109909.93,40877.7,,3544.36,33510.82,,,,0,,,,,,,,
11/14/2021,946300.85,161182.46,27466.39,134048.87,32444.05,,3694.95,25834.01,,,,0,,,,,,,,
11/15/2021,1564698.8,135889.11,20401.43,119841.87,42229.78,1579.23,10654.76,81074.44,,,,27.79,,,,,,,,
11/16/2021,3119763.09,329124.48,60894.83,100442.23,125548.2,7971.88,12850.47,97435.83,,,,0.03,,,,,,,,
11/17/2021,2158937.38,81863.36,113013.66,108929.05,99273.51,2241.78,5830.27,32790.22,,,,30021.85,,,,,8.58,,,
11/18/2021,2171684.22,171933.24,42889.18,97436.79,122780.99,10.03,8454.13,87022.65,,,,29987.46,,,,,4418.82,,,
11/19/2021,1378475.73,51335.63,53830.93,91940.59,84987.11,106250.4,7435.35,27883.65,,,,24518.52,,,,,4559.66,,,
11/20/2021,1015996.95,89125,18861.24,119145.83,52529.34,108338.96,7059.12,32256.54,,,,5154.5,,,,,5215.58,,,
11/21/2021,1396544.16,44334.38,117296.99,110798.68,43948.26,161204.03,5036.78,22671.64,,,,12316.44,,,,,762.33,,,
11/22/2021,3408105.78,81476.36,156343.86,127552.32,88029.44,53338.19,4876.19,25628.95,,,,0,,,,,3430.41,,,
11/23/2021,5421638.84,100371.69,55665.29,125509.58,87219.64,124493.65,4274.87,22772.52,,,,0,,,,,4105.71,,,
11/24/2021,1608105.32,114796.83,58106.2,162907.73,76176.64,63128.07,5249.6,24431.6,,,,286.77,,,,,4071.04,,,
11/25/2021,1429951.48,142782.8,94448.55,197708.75,71921.18,54440.12,5069.21,19440.41,,,,25.71,,,,,5071.98,,,
11/26/2021,2757139.15,234165.8,20976.05,150331.89,136152.58,113265.35,6966.31,27491.39,,,,12896.97,,,,,22747.5,,,
11/27/2021,999592.05,88365.41,14010.69,105510.7,81172.04,80894.62,3482.08,16841.51,,,,12670.46,,,,,19001.37,,,
11/28/2021,1310740.64,95122.67,25006.97,139522.96,102461.4,38449.77,4076.83,16571.06,,,,14988.59,,,,,10538.82,,,
11/29/2021,958163.72,126018.25,49771.26,143073.89,54691.65,93296.11,3828.22,13761.57,,,,4085.61,,,,,5863.36,,,
11/30/2021,2018250.3,150516.65,23572.17,92959.98,98904.07,60837.43,7307.1,22018.61,,,,2844.09,,,,,20794.28,,,
12/1/2021,1554796.82,152162.32,75240.82,74103.68,89929.22,24677,9170.71,19019.76,,,,99853.35,,,,,6694.09,,,
12/2/2021,1552465.56,176883.8,16414.36,164974.01,73311.88,14888.42,8655.87,16516.6,,,,119546.06,,,,,5940.42,,,
12/3/2021,2034874.6,282245.11,329008.01,162338.02,114807.61,99082.15,19846.05,31414.88,,,,92332.37,,,,,15159.99,,,
12/4/2021,2577381.71,331868.94,26985.16,221941.41,247033.4,104381.62,19371.22,38506.31,,,,57813.3,,,,,55580.52,,,
12/5/2021,1231010.67,72660.14,23734.48,177464.49,140660.42,33016.54,17803.67,20053.04,,,,20408.57,,,,,14716.77,,,
12/6/2021,1682681.93,91954.83,75316.92,186742.55,167431.98,42299.96,16839.32,29405.63,,,,82499.55,,,,,18231.46,,,
12/7/2021,604378.47,66483.82,51042.4,173766.56,99551.12,49404.44,17746.01,15169.56,,,,74180.87,,,,,6580.94,,,
12/8/2021,762896.29,127427.73,85950.03,182896.81,118043.63,50683.96,8411.62,19007.25,,,,33138.9,,,,,4441.73,,,
12/9/2021,1076900.14,91884.68,8006.89,188984.04,128253.43,17992.69,17719.38,12598.95,,,,59302.28,,,,,8262.76,,,
12/10/2021,1213836.39,88766.15,92229.24,163374.12,120418.97,74528.25,17534.66,13992.4,,,,169710.34,,,,,34105.74,,,
12/11/2021,834496.95,59291.95,74664.64,135528.77,84813.05,475498.6,9973.23,7566.49,,,,62712.64,,,,,10746.94,,,
12/12/2021,504704.41,83590.29,23281.05,150411.19,46708.18,69902.18,10371.87,6547.98,,,,61706.93,,,,,2679.74,,,
12/13/2021,1403605.17,168237.9,102596.7,199807.49,121464.45,166892.16,13608.44,8170.87,,,,30048.81,,,,,24475.15,,,
12/14/2021,865326.91,93821,114447.76,217799.33,102582.45,43444.56,10393.1,4863.19,,,,23225.1,,,,,13468.34,,,
12/15/2021,1377599.02,151265.64,12622.53,138887.21,118987.92,79929.43,10731.72,6136.03,,,,27672.06,,,,,14971.91,,,
12/16/2021,945706.3,90988.06,17396.16,187876.93,75433.68,63188.31,9367.49,1270.49,,,,4506.12,,,,,4760.65,,,
12/17/2021,1271115.41,123322.37,58740.39,136315.44,118730.22,156107.58,15707.8,1729.13,,,,16478.24,,,,,22017.28,,,
12/18/2021,703228.84,78381.02,18309.58,149950.59,79655.13,55711.05,12001.48,3631.82,,,,41192.4,,,,,15100.26,,,
12/19/2021,794048.15,74648.04,16190.42,117547.63,61202.08,26967.75,11988.35,2324.75,,,,29119.76,,,,,9677.33,,,
12/20/2021,1569116.9,113124.17,24052.1,183310.39,89756.68,85810.79,8958.85,1698.21,,,,45411.55,,,,,32390.02,,,
12/21/2021,1246176.26,59006.09,16185.01,206112.08,63023,34862.09,30857.74,1262.8,,,,6831.74,,,,,17594.21,,,
12/22/2021,715725,72641.29,16218.47,172017.84,76017.93,65212.73,43770.01,1535.55,,,,40010.66,,,,,12170.38,,,
12/23/2021,820650.24,149690.61,23983.9,183719.17,84043.27,20350.15,36490.31,1444.43,,,,3749.89,,,,,37869.49,,,
12/24/2021,728434.54,61262.61,30701.2,151317.23,64739.38,60483.07,31609.01,1496.12,,,,44448.52,,,,,4265.78,,,
12/25/2021,596752.42,40902.63,3401.32,170212.24,44144.45,22610.14,12772.17,489.6,,,,11192.81,,,,,6687.65,,,
12/26/2021,594708.97,47174.17,26984.86,144874.85,48963.92,42332.94,21363.24,2114.75,,,,43635.45,,,,,4753.89,,,
12/27/2021,661374.48,68284.03,13823.08,156436.9,55685.05,38062.33,21104.32,981.07,,,,103325.92,,,,,1813.11,,,
12/28/2021,1175299.81,196820.49,13617.33,190256.12,113063.45,76728.64,17379.86,2196.91,,,,53177.61,,,,,20891.2,,,
12/29/2021,1180594.18,165675.45,73589.21,144232.27,101233.6,25372.24,19790.21,2410.1,,,,25365.87,,,,,8892.87,,,
12/30/2021,735237.87,60175.2,69902,123437.29,74489.32,38493.28,13273.63,3202.19,,,,31520.61,,,,,1676.23,,,
12/31/2021,946800.34,100949.1,22710.31,83184.4,83345.46,72537.59,26902.21,3743.71,,,,43339.66,,,,,3369,,,
1/1/2022,650478.65,69323.34,4258.12,73917.56,54684.93,29998.39,6653.47,1331.95,,,,32442.01,,,,,313.37,,,
1/2/2022,662035.72,59230.72,2110.19,88579.77,54839.18,8130.23,17051.02,1328.45,,,,49100.06,,,,,83.6,,,
1/3/2022,664818.48,267964.06,47650.53,74637.15,84518.16,29457.98,29548.55,1568.31,,,,14605.99,,,,,4850.21,,,
1/4/2022,878223,206343.87,17271.94,38778.45,84776.73,14706.14,16452.3,1752.64,,,,27916.84,,,,,611.46,,,
1/5/2022,1357673.89,530863.84,50748.68,27050.6,146739.24,36869.51,12929.01,6720.92,,,,31267.06,,,,,34646.95,,,
1/6/2022,1120344.41,321210.79,86143.43,54901.75,130983.52,10099.79,11406.7,880,,,,187524.07,,,,,11793.9,,,
