Date,Dopex ($),Cap ($),Kwenta ($),GMX ($),MUX ($),Synthetix ($),Perpetual Protocol ($),dYdX ($),Gains Network ($),HMX ($),Level Finance ($),Premia ($),Metavault.Trade ($),Mummy Finance ($),Pendle ($),IPOR Protocol ($),Holdstation ($),ApeX Protocol ($),Pika Protocol ($),Aevo ($)
2020-05-18,,,,,,0.85,,,,,,,,,,,,,,
2020-05-19,,,,,,0.85,,,,,,,,,,,,,,
2020-05-20,,,,,,0.80,,,,,,,,,,,,,,
2020-05-21,,,,,,0.77,,,,,,,,,,,,,,
2020-05-22,,,,,,0.82,,,,,,,,,,,,,,
2020-05-23,,,,,,0.81,,,,,,,,,,,,,,
2020-05-24,,,,,,0.79,,,,,,,,,,,,,,
2020-05-25,,,,,,0.79,,,,,,,,,,,,,,
2020-05-26,,,,,,0.78,,,,,,,,,,,,,,
2020-05-27,,,,,,0.74,,,,,,,,,,,,,,
2020-05-28,,,,,,0.75,,,,,,,,,,,,,,
2020-05-29,,,,,,0.75,,,,,,,,,,,,,,
2020-05-30,,,,,,0.81,,,,,,,,,,,,,,
2020-05-31,,,,,,0.79,,,,,,,,,,,,,,
2020-06-01,,,,,,0.80,,,,,,,,,,,,,,
2020-06-02,,,,,,0.79,,,,,,,,,,,,,,
2020-06-03,,,,,,0.85,,,,,,,,,,,,,,
2020-06-04,,,,,,0.90,,,,,,,,,,,,,,
2020-06-05,,,,,,0.90,,,,,,,,,,,,,,
2020-06-06,,,,,,0.88,,,,,,,,,,,,,,
2020-06-07,,,,,,0.92,,,,,,,,,,,,,,
2020-06-08,,,,,,0.92,,,,,,,,,,,,,,
2020-06-09,,,,,,0.92,,,,,,,,,,,,,,
2020-06-10,,,,,,1.07,,,,,,,,,,,,,,
2020-06-11,,,,,,1.00,,,,,,,,,,,,,,
2020-06-12,,,,,,1.08,,,,,,,,,,,,,,
2020-06-13,,,,,,1.15,,,,,,,,,,,,,,
2020-06-14,,,,,,1.12,,,,,,,,,,,,,,
2020-06-15,,,,,,1.12,,,,,,,,,,,,,,
2020-06-16,,,,,,1.12,,,,,,,,,,,,,,
2020-06-17,,,,,,1.08,,,,,,,,,,,,,,
2020-06-18,,,,,,1.17,,,,,,,,,,,,,,
2020-06-19,,,,,,1.42,,,,,,,,,,,,,,
2020-06-20,,,,,,1.35,,,,,,,,,,,,,,
2020-06-21,,,,,,1.39,,,,,,,,,,,,,,
2020-06-22,,,,,,1.55,,,,,,,,,,,,,,
2020-06-23,,,,,,1.61,,,,,,,,,,,,,,
2020-06-24,,,,,,1.91,,,,,,,,,,,,,,
2020-06-25,,,,,,1.88,,,,,,,,,,,,,,
2020-06-26,,,,,,1.92,,,,,,,,,,,,,,
2020-06-27,,,,,,1.70,,,,,,,,,,,,,,
2020-06-28,,,,,,1.87,,,,,,,,,,,,,,
2020-06-29,,,,,,1.79,,,,,,,,,,,,,,
2020-06-30,,,,,,2.00,,,,,,,,,,,,,,
2020-07-01,,,,,,2.37,,,,,,,,,,,,,,
2020-07-02,,,,,,2.52,,,,,,,,,,,,,,
2020-07-03,,,,,,2.47,,,,,,,,,,,,,,
2020-07-04,,,,,,2.48,,,,,,,,,,,,,,
2020-07-05,,,,,,2.52,,,,,,,,,,,,,,
2020-07-06,,,,,,2.46,,,,,,,,,,,,,,
2020-07-07,,,,,,2.58,,,,,,,,,,,,,,
2020-07-08,,,,,,2.81,,,,,,,,,,,,,,
2020-07-09,,,,,,2.93,,,,,,,,,,,,,,
2020-07-10,,,,,,2.89,,,,,,,,,,,,,,
2020-07-11,,,,,,2.77,,,,,,,,,,,,,,
2020-07-12,,,,,,2.83,,,,,,,,,,,,,,
2020-07-13,,,,,2.05,2.52,,,,,,,,,,,,,,
2020-07-14,,,,,1.97,2.75,,,,,,,,,,,,,,
2020-07-15,,,,,2.77,3.09,,,,,,,,,,,,,,
2020-07-16,,,,,2.92,3.10,,,,,,,,,,,,,,
2020-07-17,,,,,2.47,3.36,,,,,,,,,,,,,,
2020-07-18,,,,,2.48,3.31,,,,,,,,,,,,,,
2020-07-19,,,,,2.04,3.36,,,,,,,,,,,,,,
2020-07-20,,,,,1.89,3.88,,,,,,,,,,,,,,
2020-07-21,,,,,7.31,3.48,,,,,,,,,,,,,,
2020-07-22,,,,,10.78,3.48,,,,,,,,,,,,,,
2020-07-23,,,,,12.16,3.34,,,,,,,,,,,,,,
2020-07-24,,,,,10.15,3.32,,,,,,,,,,,,,,
2020-07-25,,,,,12.47,3.63,,,,,,,,,,,,,,
2020-07-26,,,,,10.49,3.09,,,,,,,,,,,,,,
2020-07-27,,,,,4.77,2.85,,,,,,,,,,,,,,
2020-07-28,,,,,4.74,3.33,,,,,,,,,,,,,,
2020-07-29,,,,,4.26,3.30,,,,,,,,,,,,,,
2020-07-30,,,,,3.41,3.62,,,,,,,,,,,,,,
2020-07-31,,,,,3.74,3.93,,,,,,,,,,,,,,
2020-08-01,,,,,4.35,3.78,,,,,,,,,,,,,,
2020-08-02,,,,,3.65,4.28,,,,,,,,,,,,,,
2020-08-03,,,,,3.85,4.19,,,,,,,,,,,,,,
2020-08-04,,,,,4.10,4.49,,,,,,,,,,,,,,
2020-08-05,,,,,4.06,4.37,,,,,,,,,,,,,,
2020-08-06,,,,,4.16,4.51,,,,,,,,,,,,,,
2020-08-07,,,,,4.17,4.28,,,,,,,,,,,,,,
2020-08-08,,,,,4.45,4.41,,,,,,,,,,,,,,
2020-08-09,,,,,4.72,4.24,,,,,,,,,,,,,,
2020-08-10,,,,,7.11,4.92,,,,,,,,,,,,,,
2020-08-11,,,,,5.70,4.98,,,,,,,,,,,,,,
2020-08-12,,,,,4.45,5.70,,,,,,,,,,,,,,
2020-08-13,,,,,5.01,5.12,,,,,,,,,,,,,,
2020-08-14,,,,,6.06,6.18,,,,,,,,,,,,,,
2020-08-15,,,,,4.75,6.80,,,,,,,,,,,,,,
2020-08-16,,,,,5.08,6.55,,,,,,,,,,,,,,
2020-08-17,,,,,4.92,6.17,,,,,,,,,,,,,,
2020-08-18,,,,,4.73,6.15,,,,,,,,,,,,,,
2020-08-19,,,,,4.49,6.13,,,,,,,,,,,,,,
2020-08-20,,,,,4.55,6.22,,,,,,,,,,,,,,
2020-08-21,,,,,3.91,5.39,,,,,,,,,,,,,,
2020-08-22,,,,,4.03,5.87,,,,,,,,,,,,,,
2020-08-23,,,,,3.20,5.68,,,,,,,,,,,,,,
2020-08-24,,,,,4.37,6.27,,,,,,,,,,,,,,
2020-08-25,,,,,4.22,5.83,,,,,,,,,,,,,,
2020-08-26,,,,,4.02,6.14,,,,,,,,,,,,,,
2020-08-27,,,,,3.90,6.01,,,,,,,,,,,,,,
2020-08-28,,,,,4.46,6.82,,,,,,,,,,,,,,
2020-08-29,,,,,4.66,6.49,,,,,,,,,,,,,,
2020-08-30,,,,,4.50,7.27,,,,,,,,,,,,,,
2020-08-31,,,,,4.40,7.41,,,,,,,,,,,,,,
2020-09-01,,,,,4.29,7.17,,,,,,,,,,,,,,
2020-09-02,,,,,4.38,6.50,,,,,,,,,,,,,,
2020-09-03,,,,,4.79,5.38,,,,,,,,,,,,,,
2020-09-04,,,,,5.02,5.34,,,,,,,,,,,,,,
2020-09-05,,,,,3.75,4.32,,,,,,,,,,,,,,
2020-09-06,,,,,3.88,5.07,,,,,,,,,,,,,,
2020-09-07,,,,,3.50,4.53,,,,,,,,,,,,,,
2020-09-08,,,,,3.84,4.25,,,,,,,,,,,,,,
2020-09-09,,,,,4.39,5.04,,,,,,,,,,,,,,
2020-09-10,,,,,3.70,5.67,,,,,,,,,,,,,,
2020-09-11,,,,,3.06,6.04,,,,,,,,,,,,,,
2020-09-12,,,,,3.35,6.05,2.51,,,,,,,,,,,,,
