Date,dYdX ($),Synthetix ($),GMX ($),Gains Network ($),Level Finance ($),Vertex ($),Perpetual Protocol ($),MUX ($),Hegic ($),ApolloX ($),Cap ($),SynFutures ($),HMX ($),Mummy Finance ($),Holdstation ($),Pendle ($),Pika Protocol ($),Solv Protocol ($),Thales ($),Metavault.Trade ($)
11/3/2021,1699591.13,66472.7,30746.88,2402.21,,,,,,,,2389.19,,,,,,5.91,,
11/4/2021,1340093.57,21544,55990.53,3300.18,,,,,,,,3808.19,,,,,,1.21,,
11/5/2021,1201353.06,18659.8,27216.71,1904.09,,,,,,,,3888.03,,,,,,0,,
11/6/2021,1176100.37,2151.73,55855.62,2837.46,,,,,,,,4699.23,,,,,,0,,
11/7/2021,1167753.99,7895.15,39363.79,1231.66,,,,,,,,4413.48,,,,,,1.35,,
11/8/2021,2125612.1,14240.16,61831.37,2720.93,,,,,,,,5328.01,,,,,,450.78,,
11/9/2021,1949747.8,14549.64,23435.24,3081.84,,,,,,,,4246.63,,,,,,149.07,,
11/10/2021,2929699.63,204286.65,59114.56,3964.34,,,,,,,,4102.04,,,,,,117.01,,
11/11/2021,1384153.57,87757.09,21990.89,3467.62,,,,,,,,4847.41,,,,,,24.83,,
11/12/2021,1804704.89,29415.03,100842.5,2343.32,,,,,,,,4237.82,,,,,,19.77,,
11/13/2021,835723.44,41553.57,12022.42,1446.02,,,,,,,,4227.3,,,,,,0.53,,
11/14/2021,946300.85,27466.39,48354.74,1356.03,,,,,,,,5155.73,,,,,,4.03,,
11/15/2021,1564698.8,20401.43,40766.73,4141.61,,,,,,,,4609.3,,,,,,3.01,,
11/16/2021,3119763.09,60894.83,98737.34,4043.91,,,,,,,,3863.16,,,,,,45.44,,
11/17/2021,2158937.38,113013.66,24559.01,2333.39,,,,,,,4.29,4189.58,,,,,,2.59,,
11/18/2021,2171684.22,42889.18,51579.97,2921.19,,,,,,,2209.41,3747.57,,,,,,0.05,,
11/19/2021,1378475.73,53830.93,15400.69,2846.61,,,,,,,2279.83,3536.18,,,,,,0.17,,
11/20/2021,1015996.95,18861.24,26737.5,2570.69,,,,,,,2607.79,4582.53,,,,,,345.84,,
11/21/2021,1396544.16,117296.99,13300.31,1681.27,,,,,,,381.17,4261.49,,,,,,2402.51,,
11/22/2021,3408105.78,156343.86,24442.91,1842.23,,,,,,,1715.21,4905.86,,,,,,3082.26,,
11/23/2021,5421638.84,55665.29,30111.51,1775.49,,,,,,,2052.85,4827.29,,,,,,172.56,,
