Date,dYdX ($),Synthetix ($),GMX ($),Level Finance ($),Vertex ($),Lyra ($),ApolloX ($),Pendle ($),HMX ($),Perpetual Protocol ($),Kwenta ($),Mummy Finance ($),IPOR Protocol ($),Premia ($),Thales ($),Metavault.Trade ($),MUX ($),Pika Protocol ($),Holdstation ($),Buffer Finance ($)
11/3/2021,8786957.56,4403747.81,10313.26,,,,,,,,,,,0,,,1469.67,,,
11/4/2021,34493015.1,483748.67,8543.69,,,,,,,,,,,8179.39,,,7219.46,,,
11/5/2021,4696186.37,155440.11,13917.26,,,,,,,,,,,841.74,,,1691.34,,,
11/6/2021,13200185.24,33668.65,3471.09,,,,,,,,,,,579.95,,,4212.14,,,
11/7/2021,2612444.37,93782.63,12412.19,,,,,,,,,,,18211.27,,,1896.15,,,
11/8/2021,2260598.45,326297.89,18060.7,,,,,,,,,,,686.29,,,1812.69,,,
11/9/2021,2294945.38,63778.42,4256.46,,,,,,,,,,,0,,,1480.47,,,
11/10/2021,318201.86,1170504.08,4974.94,,,,,,,,,,,0,,,1144.27,,,
11/11/2021,883863.15,172234.17,28304.97,,,,,,,,,,,0,,,971.09,,,
11/12/2021,488194.43,353386.91,5163.65,,,,,,,,,,,1023.05,,,1629.54,,,
11/13/2021,3470187.61,73002.96,9754.72,,,,,,,,,,,0,,,1555.04,,,
11/14/2021,335504.24,90751.08,7986.88,,,,,,,,,,,157.93,,,481.77,,,
11/15/2021,745737.63,71181.58,8397.25,,,,,,,,,,,21129.22,,,1027.81,,,
11/16/2021,365504.13,708066.28,8934.97,,,,,,,,,,,0,,,4670.23,,,
11/17/2021,315500.77,1906974.87,8749.46,,,,,,,,,,,19974.66,,,766.74,,,
11/18/2021,157678.21,962108.65,2020.22,,,,,,,,,,,0,,,368849.66,,,
11/19/2021,185225.73,510891.44,18376.16,,,,,,,,,,,8314.95,,,34.78,,,
11/20/2021,1572288.85,220958.86,37917.93,,,,,,,,,,,1416.55,,,1145.54,,,
11/21/2021,1391891.21,75183.44,7367.29,,,,,,,,,,,882.24,,,79.56,,,
11/22/2021,398167.39,57364.62,15702.73,,,,,,,,,,,1524.38,,,16432.14,,,
11/23/2021,787499.79,360818.77,12661.72,,,,,,,,,,,0,,,1910.53,,,
11/24/2021,437251.99,645254.99,10454.67,,,,,,,,,,,0,,,79.03,,,
11/25/2021,84413.45,820726.97,14290.81,,,,,,,,,,,0,,,1494.6,,,
11/26/2021,195966.87,847791.03,22732.25,,,,,,,,,,,44722.92,,,1545.12,,,
11/27/2021,875496.76,32822.85,52277.05,,,,,,,,,,,7290.61,,,135.22,,,
11/28/2021,1384076.55,29973.55,11145.34,,,,,,,,,,,0,,,266.69,,,
11/29/2021,850510.7,99758.15,12804.27,,,,,,,,,,,18586.59,,,38765.87,,,
11/30/2021,15660539.47,411393.78,10859.46,,,,,,,,,,,32291.01,,,3406.34,,,
12/1/2021,14385694.78,1693594.7,8293.43,,,,,,,,,,,2470.58,,,605.07,,,
12/2/2021,9278454.88,150811.08,50894.56,,,,,,,,,,,20877.56,,,469.21,,,
12/3/2021,1639015.68,95538.15,9873.55,,,,,,,,,,,12063.92,,,746.67,,,
12/4/2021,1858399.83,79749.9,4739.66,,,,,,,,,,,1004.48,,,1231.94,,,
12/5/2021,3888092.46,220102.85,3476.82,,,,,,,,,,,6023.47,,,530.19,,,
12/6/2021,3486173.81,29736.74,8243.34,,,,,,,,,,,7944.05,,,316.82,,,
12/7/2021,494705.94,329687.05,56336.09,,,,,,,,,,,2986.66,,,339.5,,,
12/8/2021,738656.69,928813.02,12618.58,,,,,,,,,,,7092.27,,,70.53,,,
12/9/2021,128110.36,115302.52,6132.78,,,,,,,,,,,2225.11,,,40.15,,,
12/10/2021,285150.87,60000.9,7262.79,,,,,,,,,,,21538.17,,,2811.17,,,
12/11/2021,219471.77,37356.52,6449.84,,,,,,,,,,,31403.4,,,282.43,,,
12/12/2021,259246.1,65346.45,34924.36,,,,,,,,,,,12028.38,,,48.76,,,
12/13/2021,197799.38,28446.85,5030.08,,,,,,,,,,,7635.84,,,152.88,,,
12/14/2021,80980.11,185207.77,6892.95,,,17038180.85,,,,,,,,10475.38,,,310.97,,,
12/15/2021,5286049.19,1521519.15,6828.01,,,896403.49,,,,,,,,1285.61,,,287.24,,,
12/16/2021,167936.62,82612.56,10105.89,,,490160.3,,,,,,,,16274.22,,,745.05,,,
12/17/2021,112690.43,263905.97,11079.53,,,536023.79,,,,,,,,2924.53,,,1759.36,,,
12/18/2021,41470.47,28266.61,3864.08,,,99529.1,,,,,,,,12798.73,,,224.16,,,
12/19/2021,735107.69,42275.75,46233.2,,,85063.78,,,,,,,,2571.5,,,833.56,,,
12/20/2021,582055.21,68972.18,16275.37,,,219624.71,,,,,,,,7715.23,,,4074.04,,,
12/21/2021,576794.91,90065.53,3319.9,,,190329.24,,,,,,,,5586.15,,,378.79,,,
12/22/2021,159979.61,2099681.57,11838.46,,,479168.78,,,,,,,,3210.67,,,289.77,,,
12/23/2021,3160356.78,826667.94,7923.11,,,372800.96,,,,,,,,8898.84,,,629.38,,,
12/24/2021,101841.12,20472.95,7952.12,,,60782.23,,,,,,,,36587.4,,,2940.85,,,
12/25/2021,2906016.46,17507.77,34364.36,,,40005.28,,,,,,,,11951.21,,,277.97,,,
12/26/2021,86847.25,40938.49,12171.65,,,92685.88,,,,,,,,7552.15,,,270.45,,,
12/27/2021,213988.14,29851.53,6263.83,,,43291.66,,,,,,,,8620.27,,,530.99,,,
