Date,Synthetix,dYdX,GMX,Gains_Network,ApolloX,MUX,Lyra,Perpetual_Protocol,Solv Protocol ($),Vertex ($),Opyn ($),Level Finance ($),IPOR Protocol ($),HMX ($),Premia,Deri_Protocol,Hegic ($),Pika Protocol ($),Mummy Finance ($),Holdstation ($)
11/3/2021,2077240269,1082919285,79692388.08,3105.12,,,11485206.57,13811561.22,,,,,,,4623127.98,22097171.01,,,,
11/4/2021,2233504451,1073108824,80894009.7,3803.92,,,13729819.83,13593442.81,,,,,,,4002685.76,20561195.52,,,,
11/5/2021,2103235552,1057546177,83113036.13,10506.79,,,16526026.38,13188645.66,,,,,,,3682030.26,24464544.23,,,,
11/6/2021,2066513306,1029240809,88208237.38,9995.12,,,19824500.2,12916865.08,,,,,,,3963246.21,17408009.07,,,,
11/7/2021,2042554471,1024933319,93795541.65,10227.03,,,24016058.71,13221897.78,,,,,,,4373644.47,16991890.76,,,,
11/8/2021,2090976277,1040253186,102157179.8,9779.27,,,25509300.09,11675206.24,,,,,,,4738316.78,20492081.63,,,,
11/9/2021,2131361621,1038764221,101581533.4,10337.46,,,26726384.46,10979567.51,,,,,,,4710876.51,20719277.13,,,,
11/10/2021,2143563051,1038484837,97881701.19,13233.71,,,31490579.58,11466722.13,,,,,,,4488001.07,21256001.89,,,,
11/11/2021,2049783351,1024482909,100626932,15306.25,115.89,,31824588.45,10312726.13,,,,,,,4593837.7,25356872.98,,,,
11/12/2021,2046960671,1027640985,101602533.4,17968.68,8738.53,,33575016.75,10502932.96,,,,,,,4869747.71,26250132.27,,,,
11/13/2021,1994069481,1021725057,100765229.5,29484.81,8808.44,,35076994.29,10493597.37,,,,,,,4858730.18,26318455.17,,,,
11/14/2021,2023589172,1024920751,100284617.7,14494.17,7980.68,,37700900.58,10498288.95,,,,,,,4995971.94,25353066.06,,,,
11/15/2021,2035928760,1032454431,99234786.91,18247.26,7988.6,,39555266.1,9769646.63,,,,,,,4982177.6,25267227.11,,,,
11/16/2021,1984524974,1033932154,94750999.18,16481.98,8746.79,,41703989.87,10157920.07,,,,,,,4962063.59,23790853.81,,,,
11/17/2021,1828821585,1030804077,97695820.98,12265.85,11052.35,,48617511.65,11586514.57,,,,,,,5363017.16,22200179.61,,,,
11/18/2021,1905506402,1025403030,94266510.67,23166.67,14694.34,,55106808.35,13058642.37,,,,,,,5164866.4,22281601.87,,,,
