Date,Perpetual Protocol ($),Synthetix ($),Premia ($),Dopex ($),IPOR Protocol ($),Gains Network ($),Buffer Finance ($),HMX ($)
11/3/2021,1627676065,504032158.6,125971131,,,,,
11/4/2021,1615909052,492783534.2,132086978.5,,,,,
11/5/2021,1659531246,470140196.7,122761019.9,,,,,
11/6/2021,1670553780,465550752.3,137128692,,,,,
11/7/2021,1656378084,479329176.2,147875498.6,,,,,
11/8/2021,1710566969,479565342.9,142279180.8,,,,,
11/9/2021,1687390737,487338592.5,133329211.1,,,,,
11/10/2021,1611343357,444817433.1,126195121.6,,,,,
11/11/2021,1600020849,462005528.6,125583284.1,,,,,
11/12/2021,1678421726,450051892.1,131572065.6,,,,,
11/13/2021,1659955004,455834428.4,124420530.9,,,,,
11/14/2021,1661678760,466968731.3,124993270,,,,,
11/15/2021,1574139767,449015686.4,119867068.3,,,,,
11/16/2021,1459275780,411658322.1,107749319.8,,,,,
11/17/2021,1482769342,414447182.7,108677641.3,,,,,
11/18/2021,1331985175,383605673.8,95163157.35,,,,,
11/19/2021,1431137288,405471823.5,101103257.1,,,,,
11/20/2021,1458184935,413088507.6,101634063.3,,,,,
11/21/2021,1458611725,407444985.4,99738492.04,,,,,
11/22/2021,1422225908,390331620.4,95920479.05,,,,,
11/23/2021,1433700665,394192351.6,96192571.73,,,,,
11/24/2021,1374450480,383532938.7,98926755.78,,,,,
11/25/2021,1415772279,373389901,123916920.7,,,,,
11/26/2021,1170221694,334925824.7,103864191.3,,,,,
11/27/2021,1206806926,345392371,106765166.3,,,,,
11/28/2021,1204530109,348065623.7,135550347.5,,,,,
11/29/2021,1231663662,359636401.3,146400508.9,,,,,
11/30/2021,1200204701,352562187.2,146343699.8,,,,,
12/1/2021,1238708532,340195072.3,127092016.7,,,,,
12/2/2021,1256375977,333505765.6,131959323.5,,,,,
12/3/2021,1199011304,321486660.3,117345746.6,,,,,
12/4/2021,1115218933,287883927.6,109510316.8,,,,,
